id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Sooner Manor,1000 Main Street,Stilwell,Adair,OK,73001,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90001,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.adair-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.8264,-94.67540000000001
83,Broken Arrow Commons,1700 Tulsa Drive,Norman,Cleveland,OK,73083,(412) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,OK-ALF-90083,Oklahoma Department of Health,2024-10-08,82,False,False,False,https://www.cleveland-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.2419,-97.4094
84,Lawton Manor,1800 Norman Street,Norman,Cleveland,OK,73084,(413) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,43,OK-ALF-90084,Oklahoma Department of Health,2024-11-09,83,False,True,True,https://www.cleveland-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.2519,-97.47940000000001
85,Edmond Village,1900 Broken Arrow Avenue,Norman,Cleveland,OK,73085,(414) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,44,OK-ALF-90085,Oklahoma Department of Health,2024-03-10,84,True,False,False,https://www.cleveland-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.2619,-97.46940000000001
86,Moore Commons,2000 Lawton Boulevard,Norman,Cleveland,OK,73086,(415) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,45,OK-ALF-90086,Oklahoma Department of Health,2024-04-11,85,False,True,False,https://www.cleveland-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.1719,-97.4594
87,Midwest City Manor,2100 Edmond Drive,Norman,Cleveland,OK,73087,(416) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,46,OK-ALF-90087,Oklahoma Department of Health,2024-05-12,86,False,False,False,https://www.cleveland-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.1819,-97.44940000000001
88,Stillwater Village,2200 Moore Street,Norman,Cleveland,OK,73088,(417) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,47,OK-ALF-90088,Oklahoma Department of Health,2024-06-13,87,True,True,True,https://www.cleveland-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.1919,-97.4394
89,Enid Commons,2300 Midwest City Avenue,Norman,Cleveland,OK,73089,(418) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,48,OK-ALF-90089,Oklahoma Department of Health,2024-07-14,88,False,False,False,https://www.cleveland-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.201899999999995,-97.4294
90,Muskogee Manor,2400 Stillwater Boulevard,Norman,Cleveland,OK,73090,(419) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,49,OK-ALF-90090,Oklahoma Department of Health,2024-08-15,89,False,True,False,https://www.cleveland-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.2119,-97.41940000000001
91,Sooner Manor,1000 Main Street,Coalgate,Coal,OK,73091,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90091,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.coal-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.476400000000005,-96.2754
92,Pioneer Village,1100 Oklahoma Avenue,Coalgate,Coal,OK,73092,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90092,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.coal-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.4864,-96.2654
93,Oil Country Commons,1200 Sooner Boulevard,Coalgate,Coal,OK,73093,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90093,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.coal-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.4964,-96.2554
94,Red River Village,1300 Pioneer Drive,Coalgate,Coal,OK,73094,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90094,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.coal-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.5064,-96.2454
95,Oklahoma City Commons,1400 Oil Country Street,Coalgate,Coal,OK,73095,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90095,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.coal-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.516400000000004,-96.2354
96,Sooner Manor,1000 Main Street,Lawton,Comanche,OK,73096,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90096,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.comanche-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.552800000000005,-98.4359
97,Pioneer Village,1100 Oklahoma Avenue,Lawton,Comanche,OK,73097,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90097,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.comanche-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.5628,-98.4259
98,Oil Country Commons,1200 Sooner Boulevard,Lawton,Comanche,OK,73098,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90098,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.comanche-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.5728,-98.4159
99,Red River Village,1300 Pioneer Drive,Lawton,Comanche,OK,73099,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90099,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.comanche-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.5828,-98.4059
100,Oklahoma City Commons,1400 Oil Country Street,Lawton,Comanche,OK,73100,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90100,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.comanche-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.592800000000004,-98.3959
101,Tulsa Manor,1500 Red River Avenue,Lawton,Comanche,OK,73101,(410) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,OK-ALF-90101,Oklahoma Department of Health,2024-08-06,80,False,False,False,https://www.comanche-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.6028,-98.38589999999999
102,Norman Village,1600 Oklahoma City Boulevard,Lawton,Comanche,OK,73102,(411) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,OK-ALF-90102,Oklahoma Department of Health,2024-09-07,81,True,True,False,https://www.comanche-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.6128,-98.3759
103,Broken Arrow Commons,1700 Tulsa Drive,Lawton,Comanche,OK,73103,(412) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,OK-ALF-90103,Oklahoma Department of Health,2024-10-08,82,False,False,False,https://www.comanche-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.622800000000005,-98.3659
104,Lawton Manor,1800 Norman Street,Lawton,Comanche,OK,73104,(413) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,43,OK-ALF-90104,Oklahoma Department of Health,2024-11-09,83,False,True,True,https://www.comanche-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.6328,-98.4359
105,Edmond Village,1900 Broken Arrow Avenue,Lawton,Comanche,OK,73105,(414) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,44,OK-ALF-90105,Oklahoma Department of Health,2024-03-10,84,True,False,False,https://www.comanche-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.6428,-98.4259
106,Moore Commons,2000 Lawton Boulevard,Lawton,Comanche,OK,73106,(415) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,45,OK-ALF-90106,Oklahoma Department of Health,2024-04-11,85,False,True,False,https://www.comanche-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.552800000000005,-98.4159
107,Midwest City Manor,2100 Edmond Drive,Lawton,Comanche,OK,73107,(416) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,46,OK-ALF-90107,Oklahoma Department of Health,2024-05-12,86,False,False,False,https://www.comanche-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.5628,-98.4059
108,Stillwater Village,2200 Moore Street,Lawton,Comanche,OK,73108,(417) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,47,OK-ALF-90108,Oklahoma Department of Health,2024-06-13,87,True,True,True,https://www.comanche-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.5728,-98.3959
109,Enid Commons,2300 Midwest City Avenue,Lawton,Comanche,OK,73109,(418) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,48,OK-ALF-90109,Oklahoma Department of Health,2024-07-14,88,False,False,False,https://www.comanche-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.5828,-98.38589999999999
110,Muskogee Manor,2400 Stillwater Boulevard,Lawton,Comanche,OK,73110,(419) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,49,OK-ALF-90110,Oklahoma Department of Health,2024-08-15,89,False,True,False,https://www.comanche-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.592800000000004,-98.3759
111,Sooner Manor,1000 Main Street,Walters,Cotton,OK,73111,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90111,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.cotton-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.1764,-98.37540000000001
112,Pioneer Village,1100 Oklahoma Avenue,Walters,Cotton,OK,73112,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90112,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.cotton-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.1864,-98.36540000000001
113,Oil Country Commons,1200 Sooner Boulevard,Walters,Cotton,OK,73113,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90113,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.cotton-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.1964,-98.3554
114,Red River Village,1300 Pioneer Drive,Walters,Cotton,OK,73114,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90114,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.cotton-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.206399999999995,-98.34540000000001
115,Oklahoma City Commons,1400 Oil Country Street,Walters,Cotton,OK,73115,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90115,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.cotton-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.2164,-98.3354
116,Sooner Manor,1000 Main Street,Vinita,Craig,OK,73116,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90116,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.craig-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.876400000000004,-95.0754
117,Pioneer Village,1100 Oklahoma Avenue,Vinita,Craig,OK,73117,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90117,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.craig-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.8864,-95.0654
118,Oil Country Commons,1200 Sooner Boulevard,Vinita,Craig,OK,73118,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90118,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.craig-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.8964,-95.05539999999999
119,Red River Village,1300 Pioneer Drive,Vinita,Craig,OK,73119,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90119,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.craig-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.9064,-95.0454
120,Oklahoma City Commons,1400 Oil Country Street,Vinita,Craig,OK,73120,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90120,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.craig-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.9164,-95.0354
121,Sooner Manor,1000 Main Street,Sapulpa,Creek,OK,73121,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90121,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.creek-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.9264,-96.17540000000001
122,Pioneer Village,1100 Oklahoma Avenue,Sapulpa,Creek,OK,73122,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90122,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.creek-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.9364,-96.1654
123,Oil Country Commons,1200 Sooner Boulevard,Sapulpa,Creek,OK,73123,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90123,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.creek-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.9464,-96.1554
124,Red River Village,1300 Pioneer Drive,Sapulpa,Creek,OK,73124,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90124,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.creek-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.956399999999995,-96.14540000000001
125,Oklahoma City Commons,1400 Oil Country Street,Sapulpa,Creek,OK,73125,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90125,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.creek-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.9664,-96.1354
126,Tulsa Manor,1500 Red River Avenue,Sapulpa,Creek,OK,73126,(410) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,OK-ALF-90126,Oklahoma Department of Health,2024-08-06,80,False,False,False,https://www.creek-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.9764,-96.1254
127,Norman Village,1600 Oklahoma City Boulevard,Sapulpa,Creek,OK,73127,(411) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,OK-ALF-90127,Oklahoma Department of Health,2024-09-07,81,True,True,False,https://www.creek-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.986399999999996,-96.11540000000001
128,Broken Arrow Commons,1700 Tulsa Drive,Sapulpa,Creek,OK,73128,(412) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,OK-ALF-90128,Oklahoma Department of Health,2024-10-08,82,False,False,False,https://www.creek-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.9964,-96.1054
129,Lawton Manor,1800 Norman Street,Sapulpa,Creek,OK,73129,(413) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,43,OK-ALF-90129,Oklahoma Department of Health,2024-11-09,83,False,True,True,https://www.creek-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.0064,-96.17540000000001
130,Edmond Village,1900 Broken Arrow Avenue,Sapulpa,Creek,OK,73130,(414) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,44,OK-ALF-90130,Oklahoma Department of Health,2024-03-10,84,True,False,False,https://www.creek-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.0164,-96.1654
131,Moore Commons,2000 Lawton Boulevard,Sapulpa,Creek,OK,73131,(415) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,45,OK-ALF-90131,Oklahoma Department of Health,2024-04-11,85,False,True,False,https://www.creek-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.9264,-96.1554
132,Midwest City Manor,2100 Edmond Drive,Sapulpa,Creek,OK,73132,(416) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,46,OK-ALF-90132,Oklahoma Department of Health,2024-05-12,86,False,False,False,https://www.creek-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.9364,-96.14540000000001
133,Sooner Manor,1000 Main Street,Arapaho,Custer,OK,73133,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90133,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.custer-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.5764,-99.17540000000001
134,Pioneer Village,1100 Oklahoma Avenue,Arapaho,Custer,OK,73134,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90134,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.custer-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.5864,-99.1654
135,Oil Country Commons,1200 Sooner Boulevard,Arapaho,Custer,OK,73135,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90135,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.custer-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.596399999999996,-99.1554
136,Red River Village,1300 Pioneer Drive,Arapaho,Custer,OK,73136,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90136,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.custer-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.606399999999994,-99.14540000000001
137,Oklahoma City Commons,1400 Oil Country Street,Arapaho,Custer,OK,73137,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90137,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.custer-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.6164,-99.1354
138,Sooner Manor,1000 Main Street,Jay,Delaware,OK,73138,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90138,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.delaware-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.376400000000004,-94.7754
139,Pioneer Village,1100 Oklahoma Avenue,Jay,Delaware,OK,73139,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90139,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.delaware-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.3864,-94.7654
140,Oil Country Commons,1200 Sooner Boulevard,Jay,Delaware,OK,73140,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90140,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.delaware-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.3964,-94.7554
141,Red River Village,1300 Pioneer Drive,Jay,Delaware,OK,73141,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90141,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.delaware-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.4064,-94.7454
142,Oklahoma City Commons,1400 Oil Country Street,Jay,Delaware,OK,73142,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90142,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.delaware-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.4164,-94.7354
143,Sooner Manor,1000 Main Street,Taloga,Dewey,OK,73143,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90143,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.dewey-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.726400000000005,-99.0754
144,Pioneer Village,1100 Oklahoma Avenue,Taloga,Dewey,OK,73144,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90144,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.dewey-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.7364,-99.0654
145,Oil Country Commons,1200 Sooner Boulevard,Taloga,Dewey,OK,73145,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90145,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.dewey-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.7464,-99.05539999999999
146,Red River Village,1300 Pioneer Drive,Taloga,Dewey,OK,73146,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90146,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.dewey-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.7564,-99.0454
147,Oklahoma City Commons,1400 Oil Country Street,Taloga,Dewey,OK,73147,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90147,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.dewey-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.766400000000004,-99.0354
148,Sooner Manor,1000 Main Street,Arnett,Ellis,OK,73148,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90148,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.ellis-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.1764,-99.7754
149,Pioneer Village,1100 Oklahoma Avenue,Arnett,Ellis,OK,73149,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90149,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.ellis-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.1864,-99.7654
150,Oil Country Commons,1200 Sooner Boulevard,Arnett,Ellis,OK,73150,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90150,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.ellis-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.1964,-99.7554
151,Red River Village,1300 Pioneer Drive,Arnett,Ellis,OK,73151,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90151,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.ellis-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.206399999999995,-99.7454
152,Oklahoma City Commons,1400 Oil Country Street,Arnett,Ellis,OK,73152,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90152,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.ellis-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.2164,-99.7354
153,Sooner Manor,1000 Main Street,Enid,Garfield,OK,73153,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90153,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.garfield-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.3453,-97.9184
154,Pioneer Village,1100 Oklahoma Avenue,Enid,Garfield,OK,73154,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90154,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.garfield-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.3553,-97.9084
155,Oil Country Commons,1200 Sooner Boulevard,Enid,Garfield,OK,73155,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90155,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.garfield-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.3653,-97.8984
156,Red River Village,1300 Pioneer Drive,Enid,Garfield,OK,73156,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90156,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.garfield-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.375299999999996,-97.8884
157,Oklahoma City Commons,1400 Oil Country Street,Enid,Garfield,OK,73157,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90157,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.garfield-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.3853,-97.8784
158,Tulsa Manor,1500 Red River Avenue,Enid,Garfield,OK,73158,(410) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,OK-ALF-90158,Oklahoma Department of Health,2024-08-06,80,False,False,False,https://www.garfield-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.3953,-97.8684
159,Norman Village,1600 Oklahoma City Boulevard,Enid,Garfield,OK,73159,(411) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,OK-ALF-90159,Oklahoma Department of Health,2024-09-07,81,True,True,False,https://www.garfield-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.4053,-97.8584
160,Broken Arrow Commons,1700 Tulsa Drive,Enid,Garfield,OK,73160,(412) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,OK-ALF-90160,Oklahoma Department of Health,2024-10-08,82,False,False,False,https://www.garfield-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.4153,-97.8484
161,Sooner Manor,1000 Main Street,Pauls Valley,Garvin,OK,73161,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90161,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.garvin-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.6764,-97.2754
162,Pioneer Village,1100 Oklahoma Avenue,Pauls Valley,Garvin,OK,73162,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90162,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.garvin-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.6864,-97.2654
163,Oil Country Commons,1200 Sooner Boulevard,Pauls Valley,Garvin,OK,73163,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90163,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.garvin-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.6964,-97.2554
164,Red River Village,1300 Pioneer Drive,Pauls Valley,Garvin,OK,73164,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90164,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.garvin-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.706399999999995,-97.2454
165,Oklahoma City Commons,1400 Oil Country Street,Pauls Valley,Garvin,OK,73165,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90165,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.garvin-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.7164,-97.2354
166,Sooner Manor,1000 Main Street,Chickasha,Grady,OK,73166,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90166,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.grady-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.976400000000005,-97.97540000000001
