id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Chesapeake Bay Manor,1000 Main Street,Cumberland,Allegany,MD,20001,(240) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,MD-ALF-20001,Maryland Department of Health,2024-03-01,80,True,True,True,https://www.allegany-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5764,-78.8054
84,Bethesda Commons,1800 Gaithersburg Street,Denton,Caroline,MD,20084,(240) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,MD-ALF-20084,Maryland Department of Health,2024-11-09,88,False,True,True,https://www.caroline-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.9564,-75.8554
85,Towson Village,1900 Silver Spring Avenue,Ridgely,Caroline,MD,20085,(240) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,MD-ALF-20085,Maryland Department of Health,2024-03-10,89,True,False,False,https://www.caroline-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.9664,-75.8454
86,Chesapeake Bay Manor,1000 Main Street,Westminster,Carroll,MD,20086,(240) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,MD-ALF-20086,Maryland Department of Health,2024-03-01,80,True,True,True,https://www.carroll-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5264,-77.1054
87,Old Line Village,1100 Maryland Avenue,Eldersburg,Carroll,MD,20087,(240) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,MD-ALF-20087,Maryland Department of Health,2024-04-02,81,False,False,False,https://www.carroll-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5364,-77.0954
88,Baltimore Commons,1200 Chesapeake Boulevard,Sykesville,Carroll,MD,20088,(240) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,MD-ALF-20088,Maryland Department of Health,2024-05-03,82,False,True,False,https://www.carroll-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5464,-77.08539999999999
89,Annapolis Village,1300 Old Line Drive,Taneytown,Carroll,MD,20089,(240) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,MD-ALF-20089,Maryland Department of Health,2024-06-04,83,True,False,False,https://www.carroll-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5564,-77.0754
90,Frederick Manor,1400 Baltimore Street,Mount Airy,Carroll,MD,20090,(240) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,MD-ALF-20090,Maryland Department of Health,2024-07-05,84,False,True,True,https://www.carroll-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5664,-77.0654
91,Rockville Commons,1500 Annapolis Avenue,New Windsor,Carroll,MD,20091,(240) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,MD-ALF-20091,Maryland Department of Health,2024-08-06,85,False,False,False,https://www.carroll-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5764,-77.05539999999999
92,Gaithersburg Village,1600 Frederick Boulevard,Hampstead,Carroll,MD,20092,(240) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,MD-ALF-20092,Maryland Department of Health,2024-09-07,86,True,True,False,https://www.carroll-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5864,-77.0454
93,Silver Spring Manor,1700 Rockville Drive,Union Bridge,Carroll,MD,20093,(240) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,MD-ALF-20093,Maryland Department of Health,2024-10-08,87,False,False,False,https://www.carroll-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5964,-77.0354
94,Bethesda Commons,1800 Gaithersburg Street,Westminster,Carroll,MD,20094,(240) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,MD-ALF-20094,Maryland Department of Health,2024-11-09,88,False,True,True,https://www.carroll-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.6064,-77.1054
95,Towson Village,1900 Silver Spring Avenue,Eldersburg,Carroll,MD,20095,(240) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,MD-ALF-20095,Maryland Department of Health,2024-03-10,89,True,False,False,https://www.carroll-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.6164,-77.0954
96,Columbia Manor,2000 Bethesda Boulevard,Sykesville,Carroll,MD,20096,(240) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,MD-ALF-20096,Maryland Department of Health,2024-04-11,90,False,True,False,https://www.carroll-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5264,-77.08539999999999
97,Bowie Commons,2100 Towson Drive,Taneytown,Carroll,MD,20097,(240) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,MD-ALF-20097,Maryland Department of Health,2024-05-12,91,False,False,False,https://www.carroll-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5364,-77.0754
98,Hagerstown Village,2200 Columbia Street,Mount Airy,Carroll,MD,20098,(240) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,42,MD-ALF-20098,Maryland Department of Health,2024-06-13,92,True,True,True,https://www.carroll-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5464,-77.0654
99,Salisbury Manor,2300 Bowie Avenue,New Windsor,Carroll,MD,20099,(240) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,43,MD-ALF-20099,Maryland Department of Health,2024-07-14,93,False,False,False,https://www.carroll-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5564,-77.05539999999999
100,Cumberland Commons,2400 Hagerstown Boulevard,Hampstead,Carroll,MD,20100,(240) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,44,MD-ALF-20100,Maryland Department of Health,2024-08-15,94,False,True,False,https://www.carroll-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5664,-77.0454
101,Chesapeake Bay Manor,1000 Main Street,Elkton,Cecil,MD,20101,(240) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,MD-ALF-20101,Maryland Department of Health,2024-03-01,80,True,True,True,https://www.cecil-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5764,-75.95540000000001
102,Old Line Village,1100 Maryland Avenue,North East,Cecil,MD,20102,(240) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,MD-ALF-20102,Maryland Department of Health,2024-04-02,81,False,False,False,https://www.cecil-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5864,-75.9454
103,Baltimore Commons,1200 Chesapeake Boulevard,Perryville,Cecil,MD,20103,(240) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,MD-ALF-20103,Maryland Department of Health,2024-05-03,82,False,True,False,https://www.cecil-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.596399999999996,-75.9354
104,Annapolis Village,1300 Old Line Drive,Rising Sun,Cecil,MD,20104,(240) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,MD-ALF-20104,Maryland Department of Health,2024-06-04,83,True,False,False,https://www.cecil-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.606399999999994,-75.92540000000001
105,Frederick Manor,1400 Baltimore Street,Chesapeake City,Cecil,MD,20105,(240) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,MD-ALF-20105,Maryland Department of Health,2024-07-05,84,False,True,True,https://www.cecil-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.6164,-75.9154
106,Rockville Commons,1500 Annapolis Avenue,Port Deposit,Cecil,MD,20106,(240) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,MD-ALF-20106,Maryland Department of Health,2024-08-06,85,False,False,False,https://www.cecil-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.6264,-75.9054
107,Gaithersburg Village,1600 Frederick Boulevard,Charlestown,Cecil,MD,20107,(240) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,MD-ALF-20107,Maryland Department of Health,2024-09-07,86,True,True,False,https://www.cecil-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.636399999999995,-75.89540000000001
108,Silver Spring Manor,1700 Rockville Drive,Cecilton,Cecil,MD,20108,(240) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,MD-ALF-20108,Maryland Department of Health,2024-10-08,87,False,False,False,https://www.cecil-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.6464,-75.8854
109,Bethesda Commons,1800 Gaithersburg Street,Elkton,Cecil,MD,20109,(240) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,MD-ALF-20109,Maryland Department of Health,2024-11-09,88,False,True,True,https://www.cecil-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.6564,-75.95540000000001
110,Towson Village,1900 Silver Spring Avenue,North East,Cecil,MD,20110,(240) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,MD-ALF-20110,Maryland Department of Health,2024-03-10,89,True,False,False,https://www.cecil-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.666399999999996,-75.9454
111,Chesapeake Bay Manor,1000 Main Street,Waldorf,Charles,MD,20111,(240) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,MD-ALF-20111,Maryland Department of Health,2024-03-01,80,True,True,True,https://www.charles-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4264,-77.0554
112,Old Line Village,1100 Maryland Avenue,La Plata,Charles,MD,20112,(240) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,MD-ALF-20112,Maryland Department of Health,2024-04-02,81,False,False,False,https://www.charles-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4364,-77.0454
113,Baltimore Commons,1200 Chesapeake Boulevard,Indian Head,Charles,MD,20113,(240) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,MD-ALF-20113,Maryland Department of Health,2024-05-03,82,False,True,False,https://www.charles-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4464,-77.0354
114,Annapolis Village,1300 Old Line Drive,Port Tobacco,Charles,MD,20114,(240) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,MD-ALF-20114,Maryland Department of Health,2024-06-04,83,True,False,False,https://www.charles-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.456399999999995,-77.0254
115,Frederick Manor,1400 Baltimore Street,Bryans Road,Charles,MD,20115,(240) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,MD-ALF-20115,Maryland Department of Health,2024-07-05,84,False,True,True,https://www.charles-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4664,-77.0154
116,Rockville Commons,1500 Annapolis Avenue,Hughesville,Charles,MD,20116,(240) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,MD-ALF-20116,Maryland Department of Health,2024-08-06,85,False,False,False,https://www.charles-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4764,-77.0054
117,Gaithersburg Village,1600 Frederick Boulevard,Newburg,Charles,MD,20117,(240) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,MD-ALF-20117,Maryland Department of Health,2024-09-07,86,True,True,False,https://www.charles-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.486399999999996,-76.9954
118,Silver Spring Manor,1700 Rockville Drive,Pomfret,Charles,MD,20118,(240) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,MD-ALF-20118,Maryland Department of Health,2024-10-08,87,False,False,False,https://www.charles-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4964,-76.9854
119,Bethesda Commons,1800 Gaithersburg Street,Waldorf,Charles,MD,20119,(240) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,MD-ALF-20119,Maryland Department of Health,2024-11-09,88,False,True,True,https://www.charles-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.5064,-77.0554
120,Towson Village,1900 Silver Spring Avenue,La Plata,Charles,MD,20120,(240) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,MD-ALF-20120,Maryland Department of Health,2024-03-10,89,True,False,False,https://www.charles-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.5164,-77.0454
121,Columbia Manor,2000 Bethesda Boulevard,Indian Head,Charles,MD,20121,(240) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,MD-ALF-20121,Maryland Department of Health,2024-04-11,90,False,True,False,https://www.charles-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4264,-77.0354
122,Bowie Commons,2100 Towson Drive,Port Tobacco,Charles,MD,20122,(240) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,MD-ALF-20122,Maryland Department of Health,2024-05-12,91,False,False,False,https://www.charles-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4364,-77.0254
123,Hagerstown Village,2200 Columbia Street,Bryans Road,Charles,MD,20123,(240) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,42,MD-ALF-20123,Maryland Department of Health,2024-06-13,92,True,True,True,https://www.charles-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4464,-77.0154
124,Salisbury Manor,2300 Bowie Avenue,Hughesville,Charles,MD,20124,(240) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,43,MD-ALF-20124,Maryland Department of Health,2024-07-14,93,False,False,False,https://www.charles-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.456399999999995,-77.0054
125,Cumberland Commons,2400 Hagerstown Boulevard,Newburg,Charles,MD,20125,(240) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,44,MD-ALF-20125,Maryland Department of Health,2024-08-15,94,False,True,False,https://www.charles-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4664,-76.9954
126,Chesapeake Bay Manor,1000 Main Street,Cambridge,Dorchester,MD,20126,(240) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,MD-ALF-20126,Maryland Department of Health,2024-03-01,80,True,True,True,https://www.dorchester-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.376400000000004,-76.1554
127,Old Line Village,1100 Maryland Avenue,Hurlock,Dorchester,MD,20127,(240) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,MD-ALF-20127,Maryland Department of Health,2024-04-02,81,False,False,False,https://www.dorchester-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.3864,-76.1454
128,Baltimore Commons,1200 Chesapeake Boulevard,Secretary,Dorchester,MD,20128,(240) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,MD-ALF-20128,Maryland Department of Health,2024-05-03,82,False,True,False,https://www.dorchester-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.3964,-76.13539999999999
129,Annapolis Village,1300 Old Line Drive,East New Market,Dorchester,MD,20129,(240) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,MD-ALF-20129,Maryland Department of Health,2024-06-04,83,True,False,False,https://www.dorchester-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4064,-76.1254
130,Frederick Manor,1400 Baltimore Street,Galestown,Dorchester,MD,20130,(240) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,MD-ALF-20130,Maryland Department of Health,2024-07-05,84,False,True,True,https://www.dorchester-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4164,-76.1154
131,Rockville Commons,1500 Annapolis Avenue,Rhodesdale,Dorchester,MD,20131,(240) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,MD-ALF-20131,Maryland Department of Health,2024-08-06,85,False,False,False,https://www.dorchester-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4264,-76.10539999999999
132,Gaithersburg Village,1600 Frederick Boulevard,Linkwood,Dorchester,MD,20132,(240) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,MD-ALF-20132,Maryland Department of Health,2024-09-07,86,True,True,False,https://www.dorchester-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4364,-76.0954
133,Silver Spring Manor,1700 Rockville Drive,Vienna,Dorchester,MD,20133,(240) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,MD-ALF-20133,Maryland Department of Health,2024-10-08,87,False,False,False,https://www.dorchester-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.446400000000004,-76.08539999999999
134,Bethesda Commons,1800 Gaithersburg Street,Cambridge,Dorchester,MD,20134,(240) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,MD-ALF-20134,Maryland Department of Health,2024-11-09,88,False,True,True,https://www.dorchester-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4564,-76.1554
135,Towson Village,1900 Silver Spring Avenue,Hurlock,Dorchester,MD,20135,(240) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,MD-ALF-20135,Maryland Department of Health,2024-03-10,89,True,False,False,https://www.dorchester-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.4664,-76.1454
136,Chesapeake Bay Manor,1000 Main Street,Frederick,Frederick,MD,20136,(240) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,MD-ALF-20136,Maryland Department of Health,2024-03-01,80,True,True,True,https://www.frederick-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.376400000000004,-77.45540000000001
137,Old Line Village,1100 Maryland Avenue,Urbana,Frederick,MD,20137,(240) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,MD-ALF-20137,Maryland Department of Health,2024-04-02,81,False,False,False,https://www.frederick-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.3864,-77.4454
138,Baltimore Commons,1200 Chesapeake Boulevard,Middletown,Frederick,MD,20138,(240) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,MD-ALF-20138,Maryland Department of Health,2024-05-03,82,False,True,False,https://www.frederick-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.3964,-77.4354
139,Annapolis Village,1300 Old Line Drive,Mount Airy,Frederick,MD,20139,(240) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,MD-ALF-20139,Maryland Department of Health,2024-06-04,83,True,False,False,https://www.frederick-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4064,-77.42540000000001
140,Frederick Manor,1400 Baltimore Street,New Market,Frederick,MD,20140,(240) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,MD-ALF-20140,Maryland Department of Health,2024-07-05,84,False,True,True,https://www.frederick-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4164,-77.4154
141,Rockville Commons,1500 Annapolis Avenue,Thurmont,Frederick,MD,20141,(240) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,MD-ALF-20141,Maryland Department of Health,2024-08-06,85,False,False,False,https://www.frederick-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4264,-77.4054
142,Gaithersburg Village,1600 Frederick Boulevard,Emmitsburg,Frederick,MD,20142,(240) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,MD-ALF-20142,Maryland Department of Health,2024-09-07,86,True,True,False,https://www.frederick-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4364,-77.39540000000001
143,Silver Spring Manor,1700 Rockville Drive,Myersville,Frederick,MD,20143,(240) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,MD-ALF-20143,Maryland Department of Health,2024-10-08,87,False,False,False,https://www.frederick-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.446400000000004,-77.3854
144,Bethesda Commons,1800 Gaithersburg Street,Frederick,Frederick,MD,20144,(240) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,MD-ALF-20144,Maryland Department of Health,2024-11-09,88,False,True,True,https://www.frederick-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4564,-77.45540000000001
145,Towson Village,1900 Silver Spring Avenue,Urbana,Frederick,MD,20145,(240) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,MD-ALF-20145,Maryland Department of Health,2024-03-10,89,True,False,False,https://www.frederick-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4664,-77.4454
146,Columbia Manor,2000 Bethesda Boulevard,Middletown,Frederick,MD,20146,(240) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,MD-ALF-20146,Maryland Department of Health,2024-04-11,90,False,True,False,https://www.frederick-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.376400000000004,-77.4354
147,Bowie Commons,2100 Towson Drive,Mount Airy,Frederick,MD,20147,(240) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,MD-ALF-20147,Maryland Department of Health,2024-05-12,91,False,False,False,https://www.frederick-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.3864,-77.42540000000001
148,Hagerstown Village,2200 Columbia Street,New Market,Frederick,MD,20148,(240) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,42,MD-ALF-20148,Maryland Department of Health,2024-06-13,92,True,True,True,https://www.frederick-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.3964,-77.4154
149,Salisbury Manor,2300 Bowie Avenue,Thurmont,Frederick,MD,20149,(240) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,43,MD-ALF-20149,Maryland Department of Health,2024-07-14,93,False,False,False,https://www.frederick-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4064,-77.4054
150,Cumberland Commons,2400 Hagerstown Boulevard,Emmitsburg,Frederick,MD,20150,(240) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,44,MD-ALF-20150,Maryland Department of Health,2024-08-15,94,False,True,False,https://www.frederick-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4164,-77.39540000000001
151,Chesapeake Bay Manor,1000 Main Street,Oakland,Garrett,MD,20151,(240) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,MD-ALF-20151,Maryland Department of Health,2024-03-01,80,True,True,True,https://www.garrett-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.476400000000005,-79.3554
152,Old Line Village,1100 Maryland Avenue,Mountain Lake Park,Garrett,MD,20152,(240) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,MD-ALF-20152,Maryland Department of Health,2024-04-02,81,False,False,False,https://www.garrett-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4864,-79.3454
153,Baltimore Commons,1200 Chesapeake Boulevard,Accident,Garrett,MD,20153,(240) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,MD-ALF-20153,Maryland Department of Health,2024-05-03,82,False,True,False,https://www.garrett-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.4964,-79.33539999999999
154,Annapolis Village,1300 Old Line Drive,Grantsville,Garrett,MD,20154,(240) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,MD-ALF-20154,Maryland Department of Health,2024-06-04,83,True,False,False,https://www.garrett-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5064,-79.3254
155,Frederick Manor,1400 Baltimore Street,Deer Park,Garrett,MD,20155,(240) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,MD-ALF-20155,Maryland Department of Health,2024-07-05,84,False,True,True,https://www.garrett-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.516400000000004,-79.3154
156,Rockville Commons,1500 Annapolis Avenue,Loch Lynn Heights,Garrett,MD,20156,(240) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,MD-ALF-20156,Maryland Department of Health,2024-08-06,85,False,False,False,https://www.garrett-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5264,-79.30539999999999
157,Gaithersburg Village,1600 Frederick Boulevard,Kitzmiller,Garrett,MD,20157,(240) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,MD-ALF-20157,Maryland Department of Health,2024-09-07,86,True,True,False,https://www.garrett-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5364,-79.2954
158,Silver Spring Manor,1700 Rockville Drive,Friendsville,Garrett,MD,20158,(240) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,MD-ALF-20158,Maryland Department of Health,2024-10-08,87,False,False,False,https://www.garrett-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.546400000000006,-79.2854
159,Bethesda Commons,1800 Gaithersburg Street,Oakland,Garrett,MD,20159,(240) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,MD-ALF-20159,Maryland Department of Health,2024-11-09,88,False,True,True,https://www.garrett-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.556400000000004,-79.3554
160,Towson Village,1900 Silver Spring Avenue,Mountain Lake Park,Garrett,MD,20160,(240) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,MD-ALF-20160,Maryland Department of Health,2024-03-10,89,True,False,False,https://www.garrett-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5664,-79.3454
161,Chesapeake Bay Manor,1000 Main Street,Bel Air,Harford,MD,20161,(240) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,MD-ALF-20161,Maryland Department of Health,2024-03-01,80,True,True,True,https://www.harford-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5764,-76.3554
162,Old Line Village,1100 Maryland Avenue,Aberdeen,Harford,MD,20162,(240) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,MD-ALF-20162,Maryland Department of Health,2024-04-02,81,False,False,False,https://www.harford-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5864,-76.3454
163,Baltimore Commons,1200 Chesapeake Boulevard,Havre de Grace,Harford,MD,20163,(240) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,MD-ALF-20163,Maryland Department of Health,2024-05-03,82,False,True,False,https://www.harford-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.596399999999996,-76.33539999999999
164,Annapolis Village,1300 Old Line Drive,Edgewood,Harford,MD,20164,(240) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,MD-ALF-20164,Maryland Department of Health,2024-06-04,83,True,False,False,https://www.harford-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.606399999999994,-76.3254
165,Frederick Manor,1400 Baltimore Street,Joppa,Harford,MD,20165,(240) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,MD-ALF-20165,Maryland Department of Health,2024-07-05,84,False,True,True,https://www.harford-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.6164,-76.3154
166,Rockville Commons,1500 Annapolis Avenue,Fallston,Harford,MD,20166,(240) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,MD-ALF-20166,Maryland Department of Health,2024-08-06,85,False,False,False,https://www.harford-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.6264,-76.30539999999999
167,Gaithersburg Village,1600 Frederick Boulevard,Forest Hill,Harford,MD,20167,(240) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,MD-ALF-20167,Maryland Department of Health,2024-09-07,86,True,True,False,https://www.harford-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.636399999999995,-76.2954
168,Silver Spring Manor,1700 Rockville Drive,Churchville,Harford,MD,20168,(240) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,MD-ALF-20168,Maryland Department of Health,2024-10-08,87,False,False,False,https://www.harford-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.6464,-76.2854
