id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Northern Lights Manor,100 Main Street,Anchorage,Anchorage,AK,99501,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20001,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.anchorage-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.1681,-149.94029999999998
79,Northern Lights Manor,100 Main Street,Sitka,Sitka,AK,99579,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20079,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.sitka-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,57.0031,-135.37
80,Denali Care Center,150 Alaska Street,Sitka,Sitka,AK,99580,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20080,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.sitka-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,57.0131,-135.36
81,Glacier View Commons,200 Frontier Avenue,Sitka,Sitka,AK,99581,(907) 202-1002,Senior Living,Personal Care; Adult Day Services; Dementia Care,17,AK-ALF-20081,Alaska Department of Health and Social Services,2024-05-03,72,False,True,False,https://www.sitka-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,57.0231,-135.35000000000002
82,Aurora Village,250 Northern Lights Boulevard,Sitka,Sitka,AK,99582,(907) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Nursing Care,18,AK-ALF-20082,Alaska Department of Health and Social Services,2024-06-04,73,True,False,False,https://www.sitka-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,57.0331,-135.34
83,Northern Lights Manor,100 Main Street,Yakutat,Yakutat,AK,99583,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20083,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.yakutat-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,59.496900000000004,-139.76749999999998
84,Denali Care Center,150 Alaska Street,Yakutat,Yakutat,AK,99584,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20084,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.yakutat-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,59.5069,-139.7575
85,Northern Lights Manor,100 Main Street,Hoonah,Hoonah-Angoon,AK,99585,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20085,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.hoonahangoon-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,58.06,-135.4828
86,Denali Care Center,150 Alaska Street,Hoonah,Hoonah-Angoon,AK,99586,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20086,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.hoonahangoon-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,58.07,-135.4728
87,Northern Lights Manor,100 Main Street,Craig,Prince of Wales-Hyder,AK,99587,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20087,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.princeofwaleshyder-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,55.4256,-132.98
88,Denali Care Center,150 Alaska Street,Craig,Prince of Wales-Hyder,AK,99588,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20088,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.princeofwaleshyder-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,55.4356,-132.97
