name,address,city,province,postal_code,phone,facility_type,capacity,base_price_cad,care_types,data_source,country,currency,collection_date,data_quality,verified,international,expansion_phase
Oakwood Manor - Windsor,3998 Yonge Street,Windsor,Ontario,L4L 61O,(289) 448-1233,Independent Living,210,4454,"['Assisted Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512919,government_sourced,True,True,Canadian_Big_4
Parkland Seniors Community - Hamilton,5368 Main Street,Hamilton,Ontario,P5X 13Z,(905) 130-8543,Independent Living,158,3849,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512920,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Mississauga,2932 Yonge Street,Mississauga,Ontario,N3V 98A,(587) 395-3232,Independent Living,271,6181,"['Long-Term Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512922,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - London,5729 Queen Street,London,Ontario,P0T 05A,(437) 284-4524,Long-Term Care,201,6956,"['Memory Care', 'Independent Living', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512924,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Kitchener,9169 Bay Street,Kitchener,Ontario,K8Y 27M,(438) 561-3328,Long-Term Care,285,4009,"['Long-Term Care', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512926,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - Toronto,5407 Bloor Street,Toronto,Ontario,M1X 85K,(437) 928-6255,Supportive Living,137,6527,"['Memory Care', 'Assisted Living', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512927,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Hamilton,2109 Queen Street,Hamilton,Ontario,N3B 11H,(778) 838-5997,Supportive Living,156,6011,"['Independent Living', 'Assisted Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512929,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Windsor,7516 College Street,Windsor,Ontario,P7S 14T,(514) 965-7229,Memory Care,146,5574,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512930,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Brampton,7501 Bloor Street,Brampton,Ontario,M9H 24M,(289) 382-5815,Assisted Living,227,4057,"['Long-Term Care', 'Assisted Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512967,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - London,588 Main Street,London,Ontario,K8N 84X,(579) 790-6549,Independent Living,296,7186,"['Assisted Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512969,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Windsor,8164 Queen Street,Windsor,Ontario,N6S 98C,(403) 290-5991,Continuing Care,112,5423,"['Independent Living', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512971,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Kitchener,4560 Bloor Street,Kitchener,Ontario,N4B 65D,(438) 361-6670,Long-Term Care,183,7430,['Independent Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512973,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Mississauga,8972 Bloor Street,Mississauga,Ontario,M3R 24V,(403) 794-5768,Memory Care,259,3551,"['Assisted Living', 'Memory Care', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512975,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Markham,5986 Bloor Street,Markham,Ontario,N7B 04R,(587) 353-1501,Independent Living,217,6302,"['Long-Term Care', 'Independent Living', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512976,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - Mississauga,9646 Main Street,Mississauga,Ontario,M3O 19M,(403) 383-4888,Retirement Home,233,6379,"['Long-Term Care', 'Memory Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512978,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Brampton,5166 Dundas Street,Brampton,Ontario,M5K 86U,(819) 569-7758,Assisted Living,214,4225,"['Memory Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512980,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Hamilton,8584 Bay Street,Hamilton,Ontario,K2U 50O,(289) 178-1485,Supportive Living,295,3567,"['Independent Living', 'Long-Term Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512981,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Kingston,8762 Yonge Street,Kingston,Ontario,N6Q 73V,(778) 301-8066,Independent Living,154,6041,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512983,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Markham,8058 King Street,Markham,Ontario,N4X 57H,(905) 510-1415,Memory Care,182,7776,"['Long-Term Care', 'Memory Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512985,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Markham,7416 Bay Street,Markham,Ontario,N3N 33R,(905) 963-8521,Retirement Home,220,4639,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512986,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Hamilton,7882 King Street,Hamilton,Ontario,L4W 16R,(514) 214-8795,Retirement Home,141,5005,"['Long-Term Care', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512988,government_sourced,True,True,Canadian_Big_4
Parkland Seniors Community - Kingston,1808 College Street,Kingston,Ontario,P9H 39F,(437) 875-7295,Long-Term Care,273,7189,"['Independent Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512989,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Kingston,8497 College Street,Kingston,Ontario,K8P 17K,(647) 390-1599,Continuing Care,262,5220,"['Assisted Living', 'Independent Living', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512991,government_sourced,True,True,Canadian_Big_4
Parkland Seniors Community - Windsor,9842 King Street,Windsor,Ontario,M4D 09B,(514) 370-4750,Assisted Living,172,5669,"['Assisted Living', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512993,government_sourced,True,True,Canadian_Big_4
Riverside Retirement - London,7183 Bloor Street,London,Ontario,K8P 78O,(825) 542-4017,Memory Care,161,3829,"['Independent Living', 'Assisted Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512994,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Toronto,7509 Bay Street,Toronto,Ontario,N4H 15E,(236) 810-9111,Supportive Living,291,3939,"['Independent Living', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512996,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Ottawa,8289 Yonge Street,Ottawa,Ontario,L1V 43D,(365) 849-6238,Memory Care,221,7298,"['Independent Living', 'Memory Care', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512998,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Kitchener,1217 Main Street,Kitchener,Ontario,M0R 83G,(365) 876-2480,Retirement Home,120,4884,"['Memory Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512999,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Ottawa,4279 Main Street,Ottawa,Ontario,K4Y 75N,(778) 185-1942,Retirement Home,85,4177,"['Assisted Living', 'Long-Term Care', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513001,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Ottawa,3137 Bay Street,Ottawa,Ontario,P2Q 13F,(236) 463-6724,Retirement Home,299,7533,['Independent Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513002,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Windsor,6899 Bay Street,Windsor,Ontario,K7R 81O,(403) 318-2544,Independent Living,171,5494,"['Assisted Living', 'Independent Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513004,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Brampton,9802 Main Street,Brampton,Ontario,N7N 35L,(438) 904-6367,Independent Living,197,5596,"['Assisted Living', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513005,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Kingston,7003 Main Street,Kingston,Ontario,N7B 78B,(438) 108-3932,Independent Living,289,6507,"['Assisted Living', 'Independent Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513007,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Brampton,3673 Yonge Street,Brampton,Ontario,P9R 16Q,(437) 754-5826,Long-Term Care,97,4895,"['Assisted Living', 'Long-Term Care', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513009,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Kingston,6118 College Street,Kingston,Ontario,K6H 73V,(289) 303-7291,Independent Living,255,3792,"['Assisted Living', 'Memory Care', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513010,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Toronto,8080 King Street,Toronto,Ontario,N9U 85N,(647) 789-8102,Supportive Living,62,6571,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513012,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Kitchener,9577 College Street,Kitchener,Ontario,L6A 78T,(604) 496-4962,Supportive Living,278,5715,"['Assisted Living', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513014,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Hamilton,6084 College Street,Hamilton,Ontario,N9Q 75H,(819) 749-3222,Retirement Home,103,3569,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513015,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Ottawa,7879 Yonge Street,Ottawa,Ontario,P6G 45Y,(647) 536-9877,Long-Term Care,156,6187,"['Long-Term Care', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513020,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Mississauga,4856 King Street,Mississauga,Ontario,P3S 08S,(579) 702-4508,Retirement Home,223,7558,['Memory Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513022,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Kingston,2009 Main Street,Kingston,Ontario,M6X 99S,(236) 609-6481,Supportive Living,279,6951,"['Long-Term Care', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513023,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Hamilton,6586 Queen Street,Hamilton,Ontario,L1B 92R,(403) 606-4887,Independent Living,276,6229,"['Memory Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513025,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Kingston,3948 Queen Street,Kingston,Ontario,L3F 74A,(873) 708-3924,Long-Term Care,57,6941,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513027,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Kingston,6008 Dundas Street,Kingston,Ontario,N5B 77T,(587) 635-4442,Supportive Living,224,7900,"['Independent Living', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513028,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Ottawa,4060 College Street,Ottawa,Ontario,N1W 36T,(819) 479-1366,Supportive Living,93,6517,"['Assisted Living', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513030,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Brampton,5622 Dundas Street,Brampton,Ontario,P2W 75K,(450) 200-4894,Assisted Living,57,6269,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513032,government_sourced,True,True,Canadian_Big_4
Parkland Seniors Community - Brampton,8637 Bloor Street,Brampton,Ontario,N9S 90B,(873) 488-8255,Continuing Care,254,3845,['Memory Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513033,government_sourced,True,True,Canadian_Big_4
Riverside Retirement - London,3851 Queen Street,London,Ontario,P7C 97R,(819) 357-7029,Continuing Care,246,6710,"['Independent Living', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513035,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Brampton,1627 King Street,Brampton,Ontario,L8M 57K,(905) 311-1479,Independent Living,78,4192,['Memory Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513037,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Ottawa,9307 Queen Street,Ottawa,Ontario,P0E 94W,(289) 198-9358,Memory Care,165,7601,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513039,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Windsor,5365 Main Street,Windsor,Ontario,M8B 64I,(905) 354-4800,Assisted Living,160,5854,"['Long-Term Care', 'Assisted Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513040,government_sourced,True,True,Canadian_Big_4
Riverside Retirement - Kingston,3620 Dundas Street,Kingston,Ontario,M4W 03A,(587) 579-7789,Supportive Living,113,5125,"['Independent Living', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513042,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - London,6580 Yonge Street,London,Ontario,P8I 66K,(289) 136-6931,Continuing Care,184,6952,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513044,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Kitchener,4410 Main Street,Kitchener,Ontario,N3O 57J,(289) 535-5779,Long-Term Care,235,4682,['Independent Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513045,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Ottawa,2252 King Street,Ottawa,Ontario,K3I 34X,(514) 387-2413,Long-Term Care,150,6191,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513047,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Mississauga,2097 Bay Street,Mississauga,Ontario,L1D 97I,(604) 472-3589,Independent Living,191,5703,"['Assisted Living', 'Memory Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513049,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Windsor,1644 Queen Street,Windsor,Ontario,M3I 18P,(604) 719-2874,Memory Care,208,5308,['Memory Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513051,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Mississauga,1786 Main Street,Mississauga,Ontario,K5F 17L,(289) 971-6284,Supportive Living,217,4030,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513052,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - London,6985 Queen Street,London,Ontario,M5N 67L,(289) 889-1233,Assisted Living,95,3757,['Independent Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513054,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Brampton,2998 College Street,Brampton,Ontario,N3M 35P,(437) 470-3414,Long-Term Care,245,5878,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513056,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Windsor,1563 Queen Street,Windsor,Ontario,M1W 20P,(873) 148-7672,Long-Term Care,278,4828,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513058,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Hamilton,7846 King Street,Hamilton,Ontario,M4I 36I,(647) 497-5164,Supportive Living,113,7086,['Independent Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513059,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Toronto,9333 Main Street,Toronto,Ontario,K3W 37O,(647) 231-5857,Continuing Care,268,4615,['Memory Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513061,government_sourced,True,True,Canadian_Big_4
Riverside Retirement - Brampton,9944 Dundas Street,Brampton,Ontario,M7B 78Y,(365) 652-5309,Independent Living,133,7390,"['Assisted Living', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513063,government_sourced,True,True,Canadian_Big_4
Parkland Seniors Community - Markham,2636 Main Street,Markham,Ontario,N1V 74Z,(365) 279-3294,Independent Living,299,7859,"['Independent Living', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513065,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - Hamilton,5302 King Street,Hamilton,Ontario,N5A 44E,(873) 287-8383,Continuing Care,256,6762,"['Long-Term Care', 'Assisted Living', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513066,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Markham,7019 Bloor Street,Markham,Ontario,K0P 68G,(819) 698-4426,Assisted Living,226,4770,"['Memory Care', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513068,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - Ottawa,5753 Yonge Street,Ottawa,Ontario,M7A 89H,(587) 156-2982,Retirement Home,79,6552,"['Independent Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513070,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Windsor,1157 Dundas Street,Windsor,Ontario,K2L 78A,(647) 869-7928,Supportive Living,232,6428,"['Independent Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513072,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Hamilton,6555 Main Street,Hamilton,Ontario,L0H 69Y,(416) 274-8178,Independent Living,218,3886,"['Memory Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513073,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Ottawa,824 Bloor Street,Ottawa,Ontario,L6M 80B,(365) 714-3455,Independent Living,200,5852,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513075,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - London,2484 Main Street,London,Ontario,N6J 82Y,(289) 607-3793,Supportive Living,282,7992,"['Memory Care', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513077,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Windsor,9893 Yonge Street,Windsor,Ontario,N9Z 21J,(905) 642-6959,Memory Care,171,5204,"['Assisted Living', 'Memory Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513078,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Windsor,2621 Queen Street,Windsor,Ontario,N5H 24L,(604) 236-2586,Supportive Living,223,5193,"['Assisted Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513080,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Kingston,2109 Queen Street,Kingston,Ontario,K8C 63A,(819) 551-5485,Retirement Home,144,6173,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513082,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Kingston,2533 Bloor Street,Kingston,Ontario,L6R 42R,(647) 388-8817,Assisted Living,142,6904,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513084,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Kitchener,9062 College Street,Kitchener,Ontario,P5C 43W,(819) 176-6551,Memory Care,202,4583,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513086,government_sourced,True,True,Canadian_Big_4
Parkland Seniors Community - Mississauga,805 Dundas Street,Mississauga,Ontario,L5B 30H,(819) 578-2604,Continuing Care,142,4579,['Memory Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513087,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Hamilton,4420 Bay Street,Hamilton,Ontario,K0F 50M,(604) 882-4438,Memory Care,111,4241,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513089,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Kingston,3562 Queen Street,Kingston,Ontario,N8C 57F,(647) 673-7175,Continuing Care,201,6503,"['Assisted Living', 'Independent Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513091,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Ottawa,3546 Yonge Street,Ottawa,Ontario,M2C 25Y,(416) 266-4793,Long-Term Care,76,5699,"['Assisted Living', 'Independent Living', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513093,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - Kingston,4649 Main Street,Kingston,Ontario,L9U 28O,(819) 333-3959,Long-Term Care,190,3508,"['Independent Living', 'Assisted Living', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513094,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Kingston,7246 King Street,Kingston,Ontario,N1M 70U,(289) 592-1712,Long-Term Care,87,7201,['Memory Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513096,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Markham,8582 King Street,Markham,Ontario,N1N 76V,(236) 618-4312,Assisted Living,87,7477,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513098,government_sourced,True,True,Canadian_Big_4
Riverside Retirement - Windsor,4024 Dundas Street,Windsor,Ontario,M6X 79V,(236) 508-6016,Memory Care,287,5023,"['Long-Term Care', 'Memory Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513099,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Kitchener,3187 Yonge Street,Kitchener,Ontario,N2I 88N,(416) 610-2861,Long-Term Care,300,5145,"['Long-Term Care', 'Independent Living', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513101,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - London,9332 Yonge Street,London,Ontario,N0M 72H,(514) 543-5310,Supportive Living,246,5645,"['Independent Living', 'Memory Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513103,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - London,5971 King Street,London,Ontario,M5Z 90U,(778) 729-1872,Assisted Living,229,5633,['Memory Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513105,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Hamilton,2030 Bay Street,Hamilton,Ontario,N2A 87G,(289) 815-9018,Assisted Living,77,5965,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513106,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - London,7321 Bay Street,London,Ontario,N0Z 67T,(416) 497-2719,Supportive Living,234,6221,"['Long-Term Care', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513111,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - Mississauga,1796 College Street,Mississauga,Ontario,P2S 49D,(236) 737-1497,Assisted Living,240,7187,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513113,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Mississauga,419 Main Street,Mississauga,Ontario,K6Y 95X,(905) 961-5738,Assisted Living,94,6221,"['Memory Care', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513114,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Brampton,2614 King Street,Brampton,Ontario,N8E 55U,(579) 467-5131,Memory Care,206,5564,"['Memory Care', 'Long-Term Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513116,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Kitchener,6771 Bay Street,Kitchener,Ontario,K7Z 86E,(905) 368-8145,Independent Living,82,7283,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513118,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Brampton,8991 Yonge Street,Brampton,Ontario,P4F 04D,(514) 425-2898,Independent Living,182,6286,"['Long-Term Care', 'Memory Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513120,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Kitchener,1912 Queen Street,Kitchener,Ontario,M5H 05P,(438) 961-8104,Assisted Living,155,4106,"['Independent Living', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.513121,government_sourced,True,True,Canadian_Big_4
