id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Badger State Manor,1000 Main Street,Friendship,Adams,WI,53001,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40001,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
82,Dairyland Village,1300 Oak Street,Madison,Dane,WI,53082,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40082,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.dane-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
83,Wisconsin Rapids Manor,1400 Maple Avenue,Madison,Dane,WI,53083,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40083,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.dane-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
84,Great Lakes Commons,1500 Pine Street,Madison,Dane,WI,53084,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40084,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.dane-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
85,Timber Ridge Care,1600 Cedar Avenue,Madison,Dane,WI,53085,(420) 506-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,WI-ALF-40085,Wisconsin Department of Health Services,2024-09-07,81,True,True,False,https://www.dane-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.083099999999995,-89.3812
86,Prairie Creek Manor,1700 First Street,Madison,Dane,WI,53086,(421) 507-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,WI-ALF-40086,Wisconsin Department of Health Services,2024-10-08,82,False,False,False,https://www.dane-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0931,-89.3712
87,Lakeside Village,1800 Second Street,Madison,Dane,WI,53087,(422) 508-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,WI-ALF-40087,Wisconsin Department of Health Services,2024-11-09,83,False,True,True,https://www.dane-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.1031,-89.44120000000001
88,Brewers Ridge,1900 Third Street,Madison,Dane,WI,53088,(423) 509-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,WI-ALF-40088,Wisconsin Department of Health Services,2024-03-10,84,True,False,False,https://www.dane-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.113099999999996,-89.4312
89,Packers Commons,2000 Fourth Street,Madison,Dane,WI,53089,(424) 510-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,WI-ALF-40089,Wisconsin Department of Health Services,2024-04-11,85,False,True,False,https://www.dane-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.4212
90,Maple Ridge Manor,2100 Fifth Street,Madison,Dane,WI,53090,(425) 511-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,WI-ALF-40090,Wisconsin Department of Health Services,2024-05-12,86,False,False,False,https://www.dane-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.41120000000001
91,Cranberry Creek,2200 Lincoln Avenue,Madison,Dane,WI,53091,(426) 512-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,42,WI-ALF-40091,Wisconsin Department of Health Services,2024-06-13,87,True,True,True,https://www.dane-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4012
92,Paper Mill Village,2300 Washington Street,Madison,Dane,WI,53092,(427) 513-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,43,WI-ALF-40092,Wisconsin Department of Health Services,2024-07-14,88,False,False,False,https://www.dane-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.3912
93,Dairy Farm Commons,2400 Jefferson Street,Madison,Dane,WI,53093,(428) 514-1014,Senior Living,Assisted Living; Memory Care; Independent Living,44,WI-ALF-40093,Wisconsin Department of Health Services,2024-08-15,89,False,True,False,https://www.dane-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.3812
94,Badger State Manor,1000 Main Street,Beaver Dam,Dodge,WI,53094,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40094,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.dodge-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.390800000000006,-88.83040000000001
95,Cheese Country Commons,1100 Wisconsin Avenue,Beaver Dam,Dodge,WI,53095,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40095,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.dodge-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.400800000000004,-88.8204
96,Northwoods Care,1200 State Street,Beaver Dam,Dodge,WI,53096,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40096,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.dodge-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.4108,-88.8104
97,Dairyland Village,1300 Oak Street,Beaver Dam,Dodge,WI,53097,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40097,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.dodge-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.4208,-88.80040000000001
98,Wisconsin Rapids Manor,1400 Maple Avenue,Beaver Dam,Dodge,WI,53098,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40098,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.dodge-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.430800000000005,-88.7904
99,Great Lakes Commons,1500 Pine Street,Beaver Dam,Dodge,WI,53099,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40099,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.dodge-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.4408,-88.7804
100,Badger State Manor,1000 Main Street,Sturgeon Bay,Door,WI,53100,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40100,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.door-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
101,Cheese Country Commons,1100 Wisconsin Avenue,Sturgeon Bay,Door,WI,53101,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40101,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.door-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
102,Northwoods Care,1200 State Street,Sturgeon Bay,Door,WI,53102,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40102,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.door-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
103,Dairyland Village,1300 Oak Street,Sturgeon Bay,Door,WI,53103,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40103,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.door-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
104,Wisconsin Rapids Manor,1400 Maple Avenue,Sturgeon Bay,Door,WI,53104,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40104,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.door-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
105,Great Lakes Commons,1500 Pine Street,Sturgeon Bay,Door,WI,53105,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40105,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.door-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
106,Badger State Manor,1000 Main Street,Superior,Douglas,WI,53106,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40106,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.douglas-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
107,Cheese Country Commons,1100 Wisconsin Avenue,Superior,Douglas,WI,53107,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40107,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.douglas-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
108,Northwoods Care,1200 State Street,Superior,Douglas,WI,53108,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40108,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.douglas-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
109,Dairyland Village,1300 Oak Street,Superior,Douglas,WI,53109,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40109,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.douglas-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
110,Wisconsin Rapids Manor,1400 Maple Avenue,Superior,Douglas,WI,53110,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40110,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.douglas-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
111,Great Lakes Commons,1500 Pine Street,Superior,Douglas,WI,53111,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40111,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.douglas-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
112,Badger State Manor,1000 Main Street,Menomonie,Dunn,WI,53112,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40112,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.dunn-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
113,Cheese Country Commons,1100 Wisconsin Avenue,Menomonie,Dunn,WI,53113,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40113,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.dunn-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
114,Northwoods Care,1200 State Street,Menomonie,Dunn,WI,53114,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40114,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.dunn-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
115,Dairyland Village,1300 Oak Street,Menomonie,Dunn,WI,53115,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40115,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.dunn-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
116,Wisconsin Rapids Manor,1400 Maple Avenue,Menomonie,Dunn,WI,53116,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40116,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.dunn-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
117,Great Lakes Commons,1500 Pine Street,Menomonie,Dunn,WI,53117,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40117,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.dunn-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
118,Badger State Manor,1000 Main Street,Eau Claire,Eau Claire,WI,53118,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40118,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.eauclaire-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.6058,-91.53850000000001
119,Cheese Country Commons,1100 Wisconsin Avenue,Eau Claire,Eau Claire,WI,53119,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40119,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.eauclaire-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.6158,-91.52850000000001
120,Northwoods Care,1200 State Street,Eau Claire,Eau Claire,WI,53120,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40120,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.eauclaire-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.6258,-91.5185
121,Dairyland Village,1300 Oak Street,Eau Claire,Eau Claire,WI,53121,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40121,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.eauclaire-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.635799999999996,-91.50850000000001
122,Wisconsin Rapids Manor,1400 Maple Avenue,Eau Claire,Eau Claire,WI,53122,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40122,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.eauclaire-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.6458,-91.4985
123,Great Lakes Commons,1500 Pine Street,Eau Claire,Eau Claire,WI,53123,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40123,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.eauclaire-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.6558,-91.4885
124,Timber Ridge Care,1600 Cedar Avenue,Eau Claire,Eau Claire,WI,53124,(420) 506-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,WI-ALF-40124,Wisconsin Department of Health Services,2024-09-07,81,True,True,False,https://www.eauclaire-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.6658,-91.47850000000001
125,Prairie Creek Manor,1700 First Street,Eau Claire,Eau Claire,WI,53125,(421) 507-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,WI-ALF-40125,Wisconsin Department of Health Services,2024-10-08,82,False,False,False,https://www.eauclaire-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.6758,-91.4685
126,Badger State Manor,1000 Main Street,Florence,Florence,WI,53126,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40126,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.florence-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
127,Cheese Country Commons,1100 Wisconsin Avenue,Florence,Florence,WI,53127,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40127,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.florence-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
128,Northwoods Care,1200 State Street,Florence,Florence,WI,53128,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40128,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.florence-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
129,Dairyland Village,1300 Oak Street,Florence,Florence,WI,53129,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40129,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.florence-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
130,Wisconsin Rapids Manor,1400 Maple Avenue,Florence,Florence,WI,53130,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40130,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.florence-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
131,Great Lakes Commons,1500 Pine Street,Florence,Florence,WI,53131,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40131,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.florence-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
132,Badger State Manor,1000 Main Street,Fond du Lac,Fond du Lac,WI,53132,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40132,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.fonddulac-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.723000000000006,-88.4876
133,Cheese Country Commons,1100 Wisconsin Avenue,Fond du Lac,Fond du Lac,WI,53133,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40133,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.fonddulac-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.733000000000004,-88.4776
134,Northwoods Care,1200 State Street,Fond du Lac,Fond du Lac,WI,53134,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40134,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.fonddulac-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.743,-88.46759999999999
135,Dairyland Village,1300 Oak Street,Fond du Lac,Fond du Lac,WI,53135,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40135,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.fonddulac-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.753,-88.4576
136,Wisconsin Rapids Manor,1400 Maple Avenue,Fond du Lac,Fond du Lac,WI,53136,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40136,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.fonddulac-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.763000000000005,-88.4476
137,Great Lakes Commons,1500 Pine Street,Fond du Lac,Fond du Lac,WI,53137,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40137,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.fonddulac-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.773,-88.43759999999999
138,Badger State Manor,1000 Main Street,Crandon,Forest,WI,53138,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40138,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.forest-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
139,Cheese Country Commons,1100 Wisconsin Avenue,Crandon,Forest,WI,53139,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40139,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.forest-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
140,Northwoods Care,1200 State Street,Crandon,Forest,WI,53140,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40140,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.forest-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
141,Dairyland Village,1300 Oak Street,Crandon,Forest,WI,53141,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40141,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.forest-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
142,Wisconsin Rapids Manor,1400 Maple Avenue,Crandon,Forest,WI,53142,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40142,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.forest-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
143,Great Lakes Commons,1500 Pine Street,Crandon,Forest,WI,53143,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40143,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.forest-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
144,Badger State Manor,1000 Main Street,Lancaster,Grant,WI,53144,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40144,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.grant-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
145,Cheese Country Commons,1100 Wisconsin Avenue,Lancaster,Grant,WI,53145,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40145,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.grant-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
146,Northwoods Care,1200 State Street,Lancaster,Grant,WI,53146,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40146,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.grant-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
147,Dairyland Village,1300 Oak Street,Lancaster,Grant,WI,53147,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40147,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.grant-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
148,Wisconsin Rapids Manor,1400 Maple Avenue,Lancaster,Grant,WI,53148,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40148,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.grant-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
149,Great Lakes Commons,1500 Pine Street,Lancaster,Grant,WI,53149,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40149,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.grant-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
150,Badger State Manor,1000 Main Street,Monroe,Green,WI,53150,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40150,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.green-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
151,Cheese Country Commons,1100 Wisconsin Avenue,Monroe,Green,WI,53151,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40151,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.green-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
152,Northwoods Care,1200 State Street,Monroe,Green,WI,53152,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40152,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.green-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
153,Dairyland Village,1300 Oak Street,Monroe,Green,WI,53153,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40153,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.green-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
154,Wisconsin Rapids Manor,1400 Maple Avenue,Monroe,Green,WI,53154,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40154,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.green-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
155,Great Lakes Commons,1500 Pine Street,Monroe,Green,WI,53155,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40155,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.green-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
156,Badger State Manor,1000 Main Street,Green Lake,Green Lake,WI,53156,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40156,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.greenlake-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
157,Cheese Country Commons,1100 Wisconsin Avenue,Green Lake,Green Lake,WI,53157,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40157,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.greenlake-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
158,Northwoods Care,1200 State Street,Green Lake,Green Lake,WI,53158,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40158,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.greenlake-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
159,Dairyland Village,1300 Oak Street,Green Lake,Green Lake,WI,53159,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40159,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.greenlake-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
160,Wisconsin Rapids Manor,1400 Maple Avenue,Green Lake,Green Lake,WI,53160,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40160,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.greenlake-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
161,Great Lakes Commons,1500 Pine Street,Green Lake,Green Lake,WI,53161,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40161,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.greenlake-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
162,Badger State Manor,1000 Main Street,Dodgeville,Iowa,WI,53162,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40162,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.iowa-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
