id,name,address,city,parish,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
84,Bienville House,4851 West Bank Expressway,Ball,Rapides,LA,71239,(985) 909-3054,Adult Day Health Care,"Intermediate Care, Independent Living",127,LA-ALF-71705,Louisiana Department of Health,2024-06-12,86,True,True,True,https://www.ball-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.373744,-93.746362
85,Cypress Senior Living,762 Harrison Avenue,Pineville,Rapides,LA,71496,(225) 661-4206,Skilled Nursing Facility,"Skilled Nursing, Intermediate Care",40,LA-ALF-47940,Louisiana Department of Health,2024-10-24,92,True,True,False,https://www.pineville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.292474,-90.271516
86,Cajun Gardens,3787 Carrollton Avenue,Alexandria,Rapides,LA,71303,(318) 801-2269,Assisted Living Facility,"Continuing Care, Adult Residential Care, Assisted Living, Adult Day Care",70,LA-ALF-17918,Louisiana Department of Health,2024-06-05,83,False,False,False,https://www.alexandria-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.332429,-92.440614
87,Colfax Plaza,4152 Causeway Boulevard,Colfax,Grant,LA,71786,(318) 647-2783,Residential Care Home,"Independent Living, Assisted Living, Skilled Nursing, Intermediate Care",121,LA-ALF-76953,Louisiana Department of Health,2024-11-17,80,False,False,False,https://www.colfax-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.50684,-91.797031
88,Dry Prong Retirement Community,7511 Elysian Fields,Dry Prong,Grant,LA,71916,(318) 400-9892,Intermediate Care Facility,"Respite Care, Skilled Nursing",82,LA-ALF-56980,Louisiana Department of Health,2024-08-01,76,True,True,True,https://www.dryprong-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.469826,-93.845424
89,Pecan Assisted Living,7515 Veterans Boulevard,Jena,LaSalle,LA,71978,(985) 810-8314,Skilled Nursing Facility,"Adult Day Care, Intermediate Care, Independent Living",38,LA-ALF-59142,Louisiana Department of Health,2024-07-28,90,True,False,False,https://www.jena-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.701961,-92.531852
90,Delta Gardens,796 Carrollton Avenue,Urania,LaSalle,LA,71363,(985) 305-7406,Adult Residential Care,"Adult Day Care, Independent Living, Intermediate Care, Assisted Living",112,LA-ALF-93802,Louisiana Department of Health,2024-06-16,85,True,True,True,https://www.urania-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.359652,-90.893082
91,Garden House,8484 West Bank Expressway,Olla,LaSalle,LA,70157,(985) 948-1810,Memory Care Community,"Memory Care, Adult Day Care, Respite Care, Independent Living",41,LA-ALF-57453,Louisiana Department of Health,2024-01-05,88,False,False,True,https://www.olla-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.84545,-91.389657
92,Delta Retirement Community,8948 Jefferson Highway,Harrisonburg,Catahoula,LA,71906,(337) 202-7474,Memory Care Community,"Adult Residential Care, Skilled Nursing, Continuing Care, Adult Day Care",147,LA-ALF-35051,Louisiana Department of Health,2024-04-05,88,False,False,True,https://www.harrisonburg-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.45023,-91.083591
93,Sicily Island Estates,7545 Airline Highway,Sicily Island,Catahoula,LA,70971,(985) 595-2983,Adult Residential Care,"Adult Residential Care, Assisted Living, Adult Day Care, Intermediate Care",31,LA-ALF-31391,Louisiana Department of Health,2024-01-07,76,True,False,True,https://www.sicilyisland-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.627697,-92.078334
94,Colonial Memory Care,8957 Harrison Avenue,Ferriday,Concordia,LA,70949,(985) 323-4682,Memory Care Community,"Continuing Care, Adult Day Care, Intermediate Care",62,LA-ALF-56271,Louisiana Department of Health,2024-02-18,79,False,True,True,https://www.ferriday-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.165472,-92.393029
95,Spanish Moss Home,8880 River Road,Ferriday,Concordia,LA,70339,(337) 998-9708,Adult Residential Care,"Respite Care, Adult Residential Care, Assisted Living, Continuing Care",65,LA-ALF-38190,Louisiana Department of Health,2024-12-10,98,False,False,False,https://www.ferriday-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.046761,-90.897625
96,Plantation Senior Living,9776 Carrollton Avenue,Clayton,Concordia,LA,71582,(504) 716-4838,Residential Care Home,"Intermediate Care, Respite Care",128,LA-ALF-33108,Louisiana Department of Health,2024-04-21,88,False,True,True,https://www.clayton-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.898015,-89.053373
97,Concordia Gardens,3978 Causeway Boulevard,Ferriday,Concordia,LA,71477,(985) 709-8112,Assisted Living Facility,"Adult Day Care, Skilled Nursing, Assisted Living",73,LA-ALF-88351,Louisiana Department of Health,2024-02-25,97,True,True,True,https://www.ferriday-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.762594,-90.056451
98,Oak Estates,2104 West Bank Expressway,Marksville,Avoyelles,LA,71383,(225) 689-1353,Memory Care Community,"Continuing Care, Respite Care",109,LA-ALF-84980,Louisiana Department of Health,2024-04-27,97,False,False,True,https://www.marksville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.468806,-93.008651
99,Avoyelles Care Center,3062 Esplanade Avenue,Cottonport,Avoyelles,LA,71319,(985) 601-1402,Continuing Care Retirement Community,"Assisted Living, Adult Day Care",99,LA-ALF-95576,Louisiana Department of Health,2024-11-20,74,True,False,True,https://www.cottonport-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.845675,-89.426108
100,Live Oak Court,9844 Royal Street,Leesville,Vernon,LA,70114,(225) 864-4202,Memory Care Community,"Assisted Living, Respite Care, Intermediate Care",148,LA-ALF-20436,Louisiana Department of Health,2024-02-24,78,False,False,True,https://www.leesville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.467434,-92.847416
101,Willow Residence,3081 Canal Street,Rosepine,Vernon,LA,71678,(985) 503-5828,Skilled Nursing Facility,"Intermediate Care, Memory Care",52,LA-ALF-72980,Louisiana Department of Health,2024-03-25,78,True,True,True,https://www.rosepine-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.839997,-91.505652
102,Cajun Assisted Living,8205 Harrison Avenue,Merryville,Beauregard,LA,71686,(225) 354-2364,Residential Care Home,"Skilled Nursing, Independent Living",147,LA-ALF-98356,Louisiana Department of Health,2024-08-14,74,True,False,True,https://www.merryville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.976511,-89.514353
103,Pecan Manor,3403 Royal Street,Merryville,Beauregard,LA,70503,(985) 819-8573,Memory Care Community,"Memory Care, Respite Care, Intermediate Care",141,LA-ALF-83349,Louisiana Department of Health,2024-04-27,83,False,True,True,https://www.merryville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.226683,-92.986739
104,DeRidder Senior Living,4195 West Bank Expressway,DeRidder,Beauregard,LA,71392,(225) 747-1963,Memory Care Community,"Independent Living, Skilled Nursing, Continuing Care",135,LA-ALF-48485,Louisiana Department of Health,2024-05-26,99,True,True,False,https://www.deridder-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.342363,-91.247048
105,Oak Senior Living,9348 Broad Street,Singer,Beauregard,LA,71356,(504) 477-1902,Intermediate Care Facility,"Adult Day Care, Independent Living, Skilled Nursing, Intermediate Care",47,LA-ALF-61052,Louisiana Department of Health,2024-10-16,95,True,False,True,https://www.singer-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.906323,-89.211502
106,Bienville Assisted Living,4410 Royal Street,Kinder,Allen,LA,71228,(985) 645-3761,Residential Care Home,"Memory Care, Skilled Nursing",79,LA-ALF-19584,Louisiana Department of Health,2024-12-07,88,False,False,False,https://www.kinder-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.369821,-89.43662
107,Oak Assisted Living,1401 Jefferson Highway,Oberlin,Allen,LA,70615,(318) 874-1852,Continuing Care Retirement Community,"Adult Day Care, Adult Residential Care, Independent Living",145,LA-ALF-90435,Louisiana Department of Health,2024-10-16,91,True,False,True,https://www.oberlin-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.205192,-90.50889
108,Kinder Court,9626 West Bank Expressway,Kinder,Allen,LA,71417,(504) 731-3786,Continuing Care Retirement Community,"Skilled Nursing, Memory Care",47,LA-ALF-89300,Louisiana Department of Health,2024-06-14,86,True,True,False,https://www.kinder-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.777451,-93.482947
109,Allen Care Center,2024 Royal Street,Oberlin,Allen,LA,71770,(985) 678-4491,Continuing Care Retirement Community,"Independent Living, Memory Care, Assisted Living",137,LA-ALF-86004,Louisiana Department of Health,2024-08-19,94,False,False,False,https://www.oberlin-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.763828,-89.439545
110,Louisiana Assisted Living,9859 Esplanade Avenue,Basile,Evangeline,LA,71435,(225) 538-7612,Continuing Care Retirement Community,"Respite Care, Continuing Care",79,LA-ALF-65751,Louisiana Department of Health,2024-03-24,90,True,True,True,https://www.basile-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.850656,-92.486087
111,Garden Memory Care,4856 Bourbon Street,Ville Platte,Evangeline,LA,70815,(337) 651-1686,Skilled Nursing Facility,"Respite Care, Independent Living",94,LA-ALF-88949,Louisiana Department of Health,2024-07-09,88,False,True,False,https://www.villeplatte-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.376064,-90.722338
112,Magnolia Plaza,4563 Elysian Fields,Ville Platte,Evangeline,LA,71732,(225) 729-1915,Intermediate Care Facility,"Adult Day Care, Assisted Living",129,LA-ALF-86030,Louisiana Department of Health,2024-12-03,74,False,True,True,https://www.villeplatte-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.925141,-89.079674
113,Willow Estates,285 Royal Street,Basile,Evangeline,LA,70777,(318) 987-2078,Assisted Living Facility,"Adult Residential Care, Memory Care",115,LA-ALF-72594,Louisiana Department of Health,2024-06-17,91,False,True,False,https://www.basile-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.013151,-89.564905
114,Louisiana Place,4310 Carrollton Avenue,Sunset,St. Landry,LA,71946,(318) 839-6035,Continuing Care Retirement Community,"Assisted Living, Continuing Care",79,LA-ALF-63363,Louisiana Department of Health,2024-11-12,79,True,False,False,https://www.sunset-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.592958,-92.20591
115,Spanish Moss Estates,7489 Veterans Boulevard,Eunice,St. Landry,LA,70645,(225) 546-1352,Skilled Nursing Facility,"Memory Care, Assisted Living, Continuing Care, Adult Residential Care",54,LA-ALF-33029,Louisiana Department of Health,2024-09-12,90,True,True,True,https://www.eunice-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.251041,-89.096733
116,Southern Commons,6504 West Bank Expressway,Sunset,St. Landry,LA,70738,(504) 229-7526,Memory Care Community,"Adult Day Care, Memory Care, Intermediate Care, Independent Living",110,LA-ALF-95484,Louisiana Department of Health,2024-01-09,100,False,True,False,https://www.sunset-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.083095,-90.969725
117,River Plaza,999 Broad Street,Sunset,St. Landry,LA,71154,(504) 378-5040,Continuing Care Retirement Community,"Adult Residential Care, Memory Care",141,LA-ALF-98886,Louisiana Department of Health,2024-07-08,75,True,False,False,https://www.sunset-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.436496,-89.262387
118,Southern Village,7542 Elysian Fields,Sunset,St. Landry,LA,70713,(504) 324-1315,Residential Care Home,"Continuing Care, Independent Living, Skilled Nursing, Respite Care",149,LA-ALF-96345,Louisiana Department of Health,2024-05-06,78,False,False,False,https://www.sunset-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.480903,-90.841561
119,Louisiana Home,9215 Elysian Fields,Opelousas,St. Landry,LA,70546,(985) 534-6872,Memory Care Community,"Adult Day Care, Intermediate Care, Assisted Living, Continuing Care",126,LA-ALF-86166,Louisiana Department of Health,2024-06-12,86,True,False,True,https://www.opelousas-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.526349,-91.143746
120,Acadia Manor,4511 Carrollton Avenue,Crowley,Acadia,LA,70461,(985) 697-9301,Adult Residential Care,"Adult Residential Care, Skilled Nursing, Assisted Living, Intermediate Care",127,LA-ALF-20947,Louisiana Department of Health,2024-01-27,91,False,True,True,https://www.crowley-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.280132,-93.150086
121,Louisiana Plaza,7549 Elysian Fields,Church Point,Acadia,LA,70192,(337) 840-3867,Intermediate Care Facility,"Intermediate Care, Adult Residential Care, Adult Day Care",47,LA-ALF-26740,Louisiana Department of Health,2024-02-11,76,False,False,True,https://www.churchpoint-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.598797,-91.841502
122,Garden Estates,8127 Veterans Boulevard,Church Point,Acadia,LA,71796,(985) 419-7402,Assisted Living Facility,"Respite Care, Memory Care, Assisted Living",131,LA-ALF-40669,Louisiana Department of Health,2024-07-14,88,False,True,True,https://www.churchpoint-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.274266,-91.81589
123,Magnolia Retirement Community,5708 Canal Street,Welsh,Jefferson Davis,LA,70373,(318) 805-8850,Continuing Care Retirement Community,"Skilled Nursing, Intermediate Care, Independent Living",67,LA-ALF-44933,Louisiana Department of Health,2024-03-28,99,False,False,False,https://www.welsh-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.425289,-90.51487
124,Jefferson Davis Assisted Living,1826 Royal Street,Welsh,Jefferson Davis,LA,71804,(318) 541-7115,Adult Day Health Care,"Respite Care, Skilled Nursing, Intermediate Care, Independent Living",75,LA-ALF-52591,Louisiana Department of Health,2024-06-01,77,True,True,True,https://www.welsh-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.786087,-92.793395
125,Cypress House,4349 St. Charles Avenue,Elton,Jefferson Davis,LA,71979,(318) 562-5924,Continuing Care Retirement Community,"Adult Day Care, Adult Residential Care, Skilled Nursing",87,LA-ALF-19031,Louisiana Department of Health,2024-09-16,91,True,False,True,https://www.elton-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.842276,-91.329736
126,Jennings Plaza,5405 Magazine Street,Jennings,Jefferson Davis,LA,71442,(318) 360-9820,Assisted Living Facility,"Respite Care, Independent Living, Continuing Care, Memory Care",98,LA-ALF-32903,Louisiana Department of Health,2024-10-27,86,False,False,False,https://www.jennings-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.099018,-92.782571
127,Calcasieu Retirement Community,6938 Broad Street,Lake Charles,Calcasieu,LA,70601,(225) 273-3680,Adult Day Health Care,"Respite Care, Skilled Nursing",88,LA-ALF-21031,Louisiana Department of Health,2024-08-25,91,False,False,False,https://www.lakecharles-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.24159,-93.175228
128,Louisiana Place,6298 Harrison Avenue,Lake Charles,Calcasieu,LA,70607,(318) 393-5228,Adult Day Health Care,"Skilled Nursing, Assisted Living, Continuing Care",96,LA-ALF-96991,Louisiana Department of Health,2024-01-27,74,False,False,True,https://www.lakecharles-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.230192,-93.177909
129,Sulphur Residence,3632 Elysian Fields,Sulphur,Calcasieu,LA,70816,(318) 887-6356,Skilled Nursing Facility,"Respite Care, Adult Day Care, Assisted Living",118,LA-ALF-21582,Louisiana Department of Health,2024-04-10,95,True,True,True,https://www.sulphur-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.400516,-91.785337
130,Cypress Memory Care,106 Canal Street,Sulphur,Calcasieu,LA,70838,(337) 324-1246,Memory Care Community,"Assisted Living, Adult Day Care",110,LA-ALF-24151,Louisiana Department of Health,2024-04-13,86,False,True,True,https://www.sulphur-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.653713,-89.641329
131,Lake Charles Estates,6718 Canal Street,Lake Charles,Calcasieu,LA,70608,(337) 529-5187,Memory Care Community,"Adult Residential Care, Independent Living, Adult Day Care, Memory Care",27,LA-ALF-90589,Louisiana Department of Health,2024-07-21,98,True,True,False,https://www.lakecharles-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.248046,-93.182309
132,Heritage Village,8655 Elysian Fields,Creole,Cameron,LA,71794,(504) 717-7801,Skilled Nursing Facility,"Continuing Care, Independent Living, Skilled Nursing, Memory Care",105,LA-ALF-99258,Louisiana Department of Health,2024-12-28,98,True,True,False,https://www.creole-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.314542,-93.014168
133,Creole Assisted Living,3384 Bourbon Street,Creole,Cameron,LA,70590,(337) 850-1131,Assisted Living Facility,"Intermediate Care, Memory Care",96,LA-ALF-19777,Louisiana Department of Health,2024-11-09,88,False,False,True,https://www.creole-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.060051,-93.040055
134,Bayou Center,2914 Canal Street,Kaplan,Vermilion,LA,71459,(318) 490-4583,Adult Day Health Care,"Intermediate Care, Adult Day Care, Assisted Living, Independent Living",129,LA-ALF-63838,Louisiana Department of Health,2024-04-26,80,True,False,True,https://www.kaplan-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.312567,-93.969724
135,Cajun Residence,3661 Jefferson Highway,Gueydan,Vermilion,LA,70358,(225) 973-1439,Continuing Care Retirement Community,"Memory Care, Continuing Care",83,LA-ALF-18576,Louisiana Department of Health,2024-06-13,94,False,False,True,https://www.gueydan-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.952759,-92.066649
136,Creole Center,7776 St. Charles Avenue,Broussard,Lafayette,LA,71470,(985) 566-2876,Memory Care Community,"Skilled Nursing, Assisted Living",123,LA-ALF-52987,Louisiana Department of Health,2024-12-12,90,False,True,False,https://www.broussard-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.842175,-92.776392
137,Lafayette Place,5527 Elysian Fields,Youngsville,Lafayette,LA,71730,(985) 281-1966,Adult Residential Care,"Skilled Nursing, Intermediate Care, Respite Care, Independent Living",123,LA-ALF-15143,Louisiana Department of Health,2024-02-22,91,False,False,True,https://www.youngsville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.293071,-93.318684
138,Bayou Village,6483 River Road,Broussard,Lafayette,LA,71537,(225) 274-7322,Residential Care Home,"Assisted Living, Intermediate Care",114,LA-ALF-12038,Louisiana Department of Health,2024-12-22,80,False,True,True,https://www.broussard-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.239,-90.219546
139,Southern Gardens,1117 Causeway Boulevard,Youngsville,Lafayette,LA,70416,(504) 233-8947,Residential Care Home,"Respite Care, Memory Care, Independent Living",61,LA-ALF-37348,Louisiana Department of Health,2024-02-09,80,True,False,True,https://www.youngsville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.739462,-89.228048
140,Bayou Village,8308 Veterans Boulevard,Broussard,Lafayette,LA,71253,(318) 946-9027,Intermediate Care Facility,"Respite Care, Intermediate Care, Adult Residential Care",43,LA-ALF-72224,Louisiana Department of Health,2024-01-11,75,False,False,True,https://www.broussard-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.610237,-91.394761
141,Lafayette Senior Living,6112 Esplanade Avenue,Lafayette,Lafayette,LA,70508,(225) 989-7246,Memory Care Community,"Respite Care, Skilled Nursing, Assisted Living",37,LA-ALF-52728,Louisiana Department of Health,2024-08-18,85,True,True,True,https://www.lafayette-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.226599,-91.989911
142,Bienville Residence,8964 Harrison Avenue,Lafayette,Lafayette,LA,70503,(985) 574-3384,Adult Residential Care,"Memory Care, Adult Residential Care",123,LA-ALF-14548,Louisiana Department of Health,2024-07-13,78,False,False,True,https://www.lafayette-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.224261,-91.999278
143,Loreauville Senior Living,6819 Carrollton Avenue,Loreauville,Iberia,LA,71859,(504) 702-9957,Residential Care Home,"Intermediate Care, Respite Care, Assisted Living",106,LA-ALF-76229,Louisiana Department of Health,2024-10-15,96,True,False,False,https://www.loreauville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.659353,-90.103093
144,Live Oak Court,1431 Causeway Boulevard,Loreauville,Iberia,LA,71162,(225) 497-7885,Memory Care Community,"Independent Living, Skilled Nursing, Memory Care",137,LA-ALF-63139,Louisiana Department of Health,2024-10-20,92,False,False,True,https://www.loreauville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.789325,-89.850422
145,Live Oak Place,5638 Harrison Avenue,Jeanerette,Iberia,LA,71341,(225) 500-8711,Memory Care Community,"Skilled Nursing, Respite Care, Adult Day Care",113,LA-ALF-64423,Louisiana Department of Health,2024-11-05,82,False,False,True,https://www.jeanerette-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.412106,-92.95191
146,Jeanerette Retirement Community,2888 Magazine Street,Jeanerette,Iberia,LA,71421,(504) 420-5126,Continuing Care Retirement Community,"Adult Day Care, Continuing Care, Independent Living, Adult Residential Care",60,LA-ALF-88654,Louisiana Department of Health,2024-03-08,85,False,True,False,https://www.jeanerette-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.670216,-89.645428
147,Bienville Place,1933 Airline Highway,New Iberia,Iberia,LA,70546,(225) 812-6268,Skilled Nursing Facility,"Adult Residential Care, Respite Care, Independent Living, Assisted Living",113,LA-ALF-52063,Louisiana Department of Health,2024-05-24,91,True,True,False,https://www.newiberia-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.444194,-92.584115
148,Creole Manor,590 Carrollton Avenue,New Iberia,Iberia,LA,70557,(985) 711-9957,Residential Care Home,"Adult Day Care, Skilled Nursing, Respite Care, Memory Care",116,LA-ALF-33429,Louisiana Department of Health,2024-11-22,84,False,True,True,https://www.newiberia-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.6586,-92.222289
149,Iberia Court,4888 River Road,Jeanerette,Iberia,LA,71143,(225) 595-8955,Intermediate Care Facility,"Assisted Living, Adult Day Care, Memory Care",28,LA-ALF-83368,Louisiana Department of Health,2024-08-18,89,True,False,False,https://www.jeanerette-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.987402,-90.603264
150,Colonial Memory Care,9860 Esplanade Avenue,Berwick,St. Mary,LA,70114,(225) 563-6946,Residential Care Home,"Adult Residential Care, Continuing Care, Skilled Nursing, Memory Care",95,LA-ALF-71352,Louisiana Department of Health,2024-12-19,94,True,True,False,https://www.berwick-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.85892,-91.340091
151,St. Mary Manor,3314 Royal Street,Berwick,St. Mary,LA,70424,(318) 311-8935,Assisted Living Facility,"Assisted Living, Adult Residential Care, Independent Living",106,LA-ALF-18095,Louisiana Department of Health,2024-08-23,74,True,True,False,https://www.berwick-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.510359,-93.786721
152,Cajun Center,9742 Causeway Boulevard,St. Martinville,St. Martin,LA,70643,(337) 546-4050,Skilled Nursing Facility,"Assisted Living, Continuing Care",111,LA-ALF-55642,Louisiana Department of Health,2024-12-21,92,False,True,True,https://www.stmartinville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.210057,-89.227254
153,St. Martin Plaza,7405 St. Charles Avenue,St. Martinville,St. Martin,LA,70805,(504) 848-1729,Adult Day Health Care,"Independent Living, Intermediate Care, Adult Day Care, Continuing Care",59,LA-ALF-49192,Louisiana Department of Health,2024-02-20,84,False,True,True,https://www.stmartinville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.753216,-90.079048
154,Magnolia Court,5516 Magazine Street,Henderson,St. Martin,LA,70307,(504) 576-5425,Intermediate Care Facility,"Assisted Living, Independent Living, Adult Day Care",128,LA-ALF-51236,Louisiana Department of Health,2024-03-20,73,True,True,False,https://www.henderson-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.514948,-90.83822
155,Southern Commons,3854 Airline Highway,Pierre Part,Assumption,LA,70726,(225) 993-9398,Assisted Living Facility,"Adult Residential Care, Skilled Nursing, Intermediate Care",128,LA-ALF-68451,Louisiana Department of Health,2024-09-06,75,False,False,False,https://www.pierrepart-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.934268,-90.589034
156,Assumption Village,1791 Esplanade Avenue,Pierre Part,Assumption,LA,71599,(504) 251-9477,Residential Care Home,"Memory Care, Adult Residential Care, Independent Living, Respite Care",77,LA-ALF-82153,Louisiana Department of Health,2024-04-10,79,True,False,False,https://www.pierrepart-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.807384,-90.449693
157,Magnolia Gardens,2500 Broad Street,Labadieville,Assumption,LA,71777,(504) 985-1506,Skilled Nursing Facility,"Skilled Nursing, Continuing Care",25,LA-ALF-22703,Louisiana Department of Health,2024-02-26,98,True,False,False,https://www.labadieville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.414614,-93.186467
158,Assumption Residence,6161 Carrollton Avenue,Labadieville,Assumption,LA,71848,(985) 380-5807,Continuing Care Retirement Community,"Independent Living, Respite Care, Continuing Care, Memory Care",86,LA-ALF-13167,Louisiana Department of Health,2024-01-03,89,True,False,True,https://www.labadieville-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.217744,-93.2879
159,Pecan Home,961 Canal Street,Houma,Terrebonne,LA,70363,(504) 916-7772,Skilled Nursing Facility,"Continuing Care, Respite Care",94,LA-ALF-84983,Louisiana Department of Health,2024-09-18,95,False,False,True,https://www.houma-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.607344,-90.702579
160,Bayou Court,2450 Esplanade Avenue,Schriever,Terrebonne,LA,71561,(504) 666-5518,Adult Day Health Care,"Adult Day Care, Skilled Nursing, Assisted Living, Independent Living",53,LA-ALF-74380,Louisiana Department of Health,2024-03-27,90,False,False,True,https://www.schriever-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.571595,-93.530739
161,Southern Court,2947 Elysian Fields,Gray,Terrebonne,LA,71124,(225) 851-5100,Adult Day Health Care,"Skilled Nursing, Adult Residential Care, Intermediate Care, Memory Care",50,LA-ALF-84779,Louisiana Department of Health,2024-11-17,76,True,True,False,https://www.gray-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.087422,-89.163898
162,Southern Senior Living,134 Bourbon Street,Gray,Terrebonne,LA,70478,(225) 233-2807,Intermediate Care Facility,"Intermediate Care, Adult Day Care",26,LA-ALF-36884,Louisiana Department of Health,2024-03-13,78,True,True,True,https://www.gray-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.523725,-92.617176
163,Gray Center,8608 Elysian Fields,Gray,Terrebonne,LA,70861,(337) 397-7158,Memory Care Community,"Adult Residential Care, Assisted Living",111,LA-ALF-22226,Louisiana Department of Health,2024-05-07,98,False,False,True,https://www.gray-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.415282,-90.017755
164,Spanish Moss Residence,9495 Harrison Avenue,Schriever,Terrebonne,LA,71554,(337) 498-5452,Residential Care Home,"Memory Care, Respite Care",39,LA-ALF-82313,Louisiana Department of Health,2024-02-23,76,True,False,True,https://www.schriever-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.940491,-91.870098
165,Louisiana Senior Living,7205 Esplanade Avenue,Schriever,Terrebonne,LA,71967,(504) 383-5343,Continuing Care Retirement Community,"Skilled Nursing, Adult Day Care, Independent Living, Continuing Care",129,LA-ALF-46831,Louisiana Department of Health,2024-08-16,93,False,False,False,https://www.schriever-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.74354,-92.444417
166,Garden Estates,248 Harrison Avenue,Thibodaux,Lafourche,LA,70536,(985) 269-1023,Continuing Care Retirement Community,"Memory Care, Continuing Care",135,LA-ALF-92943,Louisiana Department of Health,2024-02-16,93,True,False,False,https://www.thibodaux-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.143967,-89.454966
