name,address,city,state,zipCode,county,phone,email,website,description,careTypes,amenities,services,latitude,longitude,licenseNumber,facilityType,discoverySource,discoveryDate,isVerified,subscriptionTier,billingStatus,monthlyRate,hasWaitlist,acceptsMedicaid,lastUpdated
Manor Care Center,500 Oak Dr,Homestead,FL,33311,Miami-Dade,(407) 621-1407,info@manorcarecenterfl.com,www.manorcarecenterfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.61,-81.01,FL-MIA-1192,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274619,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.274621
Homestead Point Senior Village,750 Sunset Blvd,Homestead,FL,33312,Miami-Dade,(407) 632-1444,info@homesteadpointseniorvillagefl.com,www.homesteadpointseniorvillagefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.62,-81.02000000000001,FL-MIA-1193,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274629,False,Basic,active,"$4,900/month",False,True,2025-07-22T08:57:20.274631
Harbor of Homestead,1000 Palm Way,Homestead,FL,33313,Miami-Dade,(407) 643-1481,info@harborofhomesteadfl.com,www.harborofhomesteadfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.63,-81.03,FL-MIA-1194,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274636,False,Basic,active,"$7,699/month",False,False,2025-07-22T08:57:20.274638
Place Senior Living,1250 Beach Rd,Homestead,FL,33314,Miami-Dade,(407) 654-1518,info@placeseniorlivingfl.com,www.placeseniorlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.64,-81.04,FL-MIA-1195,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274643,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.274645
Homestead Grove Adult Living,1500 Park Ave,Homestead,FL,33315,Miami-Dade,(407) 665-1555,info@homesteadgroveadultlivingfl.com,www.homesteadgroveadultlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.65,-81.05000000000001,FL-MIA-1196,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274651,False,Basic,active,"$6,300/month",True,True,2025-07-22T08:57:20.274653
Manor of Homestead,100 Main St,Homestead,FL,33316,Miami-Dade,(407) 676-1592,info@manorofhomesteadfl.com,www.manorofhomesteadfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.66,-81.06,FL-MIA-1197,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274658,False,Basic,active,"$4,900/month",False,False,2025-07-22T08:57:20.274660
Oaks Retirement Community,200 Ocean Ave,Homestead,FL,33317,Miami-Dade,(407) 687-1629,info@oaksretirementcommunityfl.com,www.oaksretirementcommunityfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.67,-81.07000000000001,FL-MIA-1198,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274669,False,Basic,active,"$7,699/month",False,False,2025-07-22T08:57:20.274672
Homestead Harbor Memory Care,300 Pine St,Homestead,FL,33318,Miami-Dade,(407) 698-1666,info@homesteadharbormemorycarefl.com,www.homesteadharbormemorycarefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.68,-81.08000000000001,FL-MIA-1199,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274684,False,Basic,active,"$6,300/month",False,True,2025-07-22T08:57:20.274690
Place of Homestead,500 Oak Dr,Homestead,FL,33319,Miami-Dade,(407) 709-1703,info@placeofhomesteadfl.com,www.placeofhomesteadfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.69,-81.09,FL-MIA-1200,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274696,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.274698
Shores Residential Care,750 Sunset Blvd,Homestead,FL,33320,Miami-Dade,(407) 720-1740,info@shoresresidentialcarefl.com,www.shoresresidentialcarefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.7,-81.10000000000001,FL-MIA-1201,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274704,False,Basic,active,"$4,900/month",True,False,2025-07-22T08:57:20.274706
Homestead Manor Care Center,1000 Palm Way,Homestead,FL,33321,Miami-Dade,(407) 731-1777,info@homesteadmanorcarecenterfl.com,www.homesteadmanorcarecenterfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.71,-81.11,FL-MIA-1202,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274712,False,Basic,active,"$7,699/month",False,True,2025-07-22T08:57:20.274714
Oaks of Homestead,1250 Beach Rd,Homestead,FL,33322,Miami-Dade,(407) 742-1814,info@oaksofhomesteadfl.com,www.oaksofhomesteadfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.72,-81.12,FL-MIA-1203,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274719,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.274722
Ridge Assisted Living,1500 Park Ave,Homestead,FL,33323,Miami-Dade,(407) 753-1851,info@ridgeassistedlivingfl.com,www.ridgeassistedlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.73,-81.13000000000001,FL-MIA-1204,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274729,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.274731
Homestead Place Senior Living,100 Main St,Homestead,FL,33324,Miami-Dade,(407) 764-1888,info@homesteadplaceseniorlivingfl.com,www.homesteadplaceseniorlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.74,-81.14,FL-MIA-1205,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274738,False,Basic,active,"$4,900/month",False,True,2025-07-22T08:57:20.274740
Shores of Homestead,200 Ocean Ave,Homestead,FL,33325,Miami-Dade,(407) 775-1925,info@shoresofhomesteadfl.com,www.shoresofhomesteadfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.75,-81.15,FL-MIA-1206,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274746,False,Basic,active,"$7,699/month",True,False,2025-07-22T08:57:20.274748
Glen Senior Village,300 Pine St,Homestead,FL,33326,Miami-Dade,(407) 786-1962,info@glenseniorvillagefl.com,www.glenseniorvillagefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.76,-81.16000000000001,FL-MIA-1207,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274755,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.274759
Homestead Oaks Retirement Community,500 Oak Dr,Homestead,FL,33327,Miami-Dade,(407) 797-1999,info@homesteadoaksretirementcommunityfl.com,www.homesteadoaksretirementcommunityfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.77,-81.17,FL-MIA-1208,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274772,False,Basic,active,"$6,300/month",False,True,2025-07-22T08:57:20.274775
Ridge of Homestead,750 Sunset Blvd,Homestead,FL,33328,Miami-Dade,(407) 808-2036,info@ridgeofhomesteadfl.com,www.ridgeofhomesteadfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.78,-81.18,FL-MIA-1209,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274781,False,Basic,active,"$4,900/month",False,False,2025-07-22T08:57:20.274785
Vista Adult Living,1000 Palm Way,Homestead,FL,33329,Miami-Dade,(407) 819-2073,info@vistaadultlivingfl.com,www.vistaadultlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.79,-81.19000000000001,FL-MIA-1210,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274790,False,Basic,active,"$7,699/month",False,False,2025-07-22T08:57:20.274792
Homestead Shores Residential Care,1250 Beach Rd,Homestead,FL,33330,Miami-Dade,(407) 830-2110,info@homesteadshoresresidentialcarefl.com,www.homesteadshoresresidentialcarefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.8,-81.2,FL-MIA-1211,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274799,False,Basic,active,"$6,300/month",True,True,2025-07-22T08:57:20.274801
Glen of Homestead,1500 Park Ave,Homestead,FL,33331,Miami-Dade,(407) 841-2147,info@glenofhomesteadfl.com,www.glenofhomesteadfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.81,-81.21000000000001,FL-MIA-1212,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274806,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.274809
Village Memory Care,100 Main St,Homestead,FL,33332,Miami-Dade,(407) 852-2184,info@villagememorycarefl.com,www.villagememorycarefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.82,-81.22,FL-MIA-1213,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274814,False,Basic,active,"$4,900/month",False,False,2025-07-22T08:57:20.274816
Homestead Ridge Assisted Living,200 Ocean Ave,Homestead,FL,33333,Miami-Dade,(407) 863-2221,info@homesteadridgeassistedlivingfl.com,www.homesteadridgeassistedlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.83,-81.23,FL-MIA-1214,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274822,False,Basic,active,"$7,699/month",False,True,2025-07-22T08:57:20.274824
Vista of Homestead,300 Pine St,Homestead,FL,33334,Miami-Dade,(407) 874-2258,info@vistaofhomesteadfl.com,www.vistaofhomesteadfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.84,-81.24000000000001,FL-MIA-1215,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274829,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.274831
Park Care Center,500 Oak Dr,Homestead,FL,33335,Miami-Dade,(407) 885-2295,info@parkcarecenterfl.com,www.parkcarecenterfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.85,-81.25,FL-MIA-1216,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274836,False,Basic,active,"$6,300/month",True,False,2025-07-22T08:57:20.274839
Homestead Glen Senior Village,750 Sunset Blvd,Homestead,FL,33336,Miami-Dade,(407) 896-2332,info@homesteadglenseniorvillagefl.com,www.homesteadglenseniorvillagefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.86,-81.26,FL-MIA-1217,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274851,False,Basic,active,"$4,900/month",False,True,2025-07-22T08:57:20.274855
Village of Homestead,1000 Palm Way,Homestead,FL,33337,Miami-Dade,(407) 907-2369,info@villageofhomesteadfl.com,www.villageofhomesteadfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.87,-81.27000000000001,FL-MIA-1218,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274861,False,Basic,active,"$7,699/month",False,False,2025-07-22T08:57:20.274863
Palms Senior Living,1250 Beach Rd,Homestead,FL,33338,Miami-Dade,(407) 918-2406,info@palmsseniorlivingfl.com,www.palmsseniorlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.88,-81.28,FL-MIA-1219,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274868,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.274870
Homestead Vista Adult Living,1500 Park Ave,Homestead,FL,33339,Miami-Dade,(407) 929-2443,info@homesteadvistaadultlivingfl.com,www.homesteadvistaadultlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.89,-81.29,FL-MIA-1220,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274875,False,Basic,active,"$6,300/month",False,True,2025-07-22T08:57:20.274877
Park of Homestead,100 Main St,Homestead,FL,33340,Miami-Dade,(407) 940-2480,info@parkofhomesteadfl.com,www.parkofhomesteadfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.9,-81.30000000000001,FL-MIA-1221,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274884,False,Basic,active,"$4,900/month",True,False,2025-07-22T08:57:20.274887
Bay Retirement Community,200 Ocean Ave,Homestead,FL,33341,Miami-Dade,(407) 951-2517,info@bayretirementcommunityfl.com,www.bayretirementcommunityfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.91,-81.31,FL-MIA-1222,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274892,False,Basic,active,"$7,699/month",False,False,2025-07-22T08:57:20.274894
Homestead Village Memory Care,300 Pine St,Homestead,FL,33342,Miami-Dade,(407) 962-2554,info@homesteadvillagememorycarefl.com,www.homesteadvillagememorycarefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.92,-81.32000000000001,FL-MIA-1223,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274899,False,Basic,active,"$6,300/month",False,True,2025-07-22T08:57:20.274903
Palms of Homestead,500 Oak Dr,Homestead,FL,33343,Miami-Dade,(407) 973-2591,info@palmsofhomesteadfl.com,www.palmsofhomesteadfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.93,-81.33000000000001,FL-MIA-1224,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274909,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.274911
Creek Residential Care,750 Sunset Blvd,Homestead,FL,33344,Miami-Dade,(407) 984-2628,info@creekresidentialcarefl.com,www.creekresidentialcarefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.94,-81.34,FL-MIA-1225,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274916,False,Basic,active,"$4,900/month",False,False,2025-07-22T08:57:20.274918
Homestead Park Care Center,1000 Palm Way,Homestead,FL,33345,Miami-Dade,(407) 995-2665,info@homesteadparkcarecenterfl.com,www.homesteadparkcarecenterfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.95,-81.35000000000001,FL-MIA-1226,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274927,False,Basic,active,"$7,699/month",True,True,2025-07-22T08:57:20.274932
Bay of Homestead,1250 Beach Rd,Homestead,FL,33346,Miami-Dade,(407) 507-2702,info@bayofhomesteadfl.com,www.bayofhomesteadfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.96,-81.36,FL-MIA-1227,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274942,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.274945
Cove Assisted Living,1500 Park Ave,Homestead,FL,33347,Miami-Dade,(407) 518-2739,info@coveassistedlivingfl.com,www.coveassistedlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.97,-81.37,FL-MIA-1228,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274950,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.274952
Homestead Palms Senior Living,100 Main St,Homestead,FL,33348,Miami-Dade,(407) 529-2776,info@homesteadpalmsseniorlivingfl.com,www.homesteadpalmsseniorlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.98,-81.38000000000001,FL-MIA-1229,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274958,False,Basic,active,"$4,900/month",False,True,2025-07-22T08:57:20.274962
Creek of Homestead,200 Ocean Ave,Homestead,FL,33349,Miami-Dade,(407) 540-2813,info@creekofhomesteadfl.com,www.creekofhomesteadfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.99,-81.39,FL-MIA-1230,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274967,False,Basic,active,"$7,699/month",False,False,2025-07-22T08:57:20.274969
Gardens Senior Village,300 Pine St,Homestead,FL,33350,Miami-Dade,(407) 551-2850,info@gardensseniorvillagefl.com,www.gardensseniorvillagefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",28.0,-81.4,FL-MIA-1231,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274974,False,Basic,active,"$6,300/month",True,False,2025-07-22T08:57:20.274978
Homestead Bay Retirement Community,500 Oak Dr,Homestead,FL,33351,Miami-Dade,(407) 562-2887,info@homesteadbayretirementcommunityfl.com,www.homesteadbayretirementcommunityfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",28.01,-81.41000000000001,FL-MIA-1232,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274985,False,Basic,active,"$6,300/month",False,True,2025-07-22T08:57:20.274987
Cove of Homestead,750 Sunset Blvd,Homestead,FL,33352,Miami-Dade,(407) 573-2924,info@coveofhomesteadfl.com,www.coveofhomesteadfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",28.02,-81.42,FL-MIA-1233,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.274992,False,Basic,active,"$4,900/month",False,False,2025-07-22T08:57:20.274994
Estates Adult Living,1000 Palm Way,Homestead,FL,33353,Miami-Dade,(407) 584-2961,info@estatesadultlivingfl.com,www.estatesadultlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",28.03,-81.43,FL-MIA-1234,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.275000,False,Basic,active,"$7,699/month",False,False,2025-07-22T08:57:20.275002
Homestead Creek Residential Care,1250 Beach Rd,Homestead,FL,33354,Miami-Dade,(407) 595-2998,info@homesteadcreekresidentialcarefl.com,www.homesteadcreekresidentialcarefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",28.04,-81.44000000000001,FL-MIA-1235,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.275008,False,Basic,active,"$6,300/month",False,True,2025-07-22T08:57:20.275014
Gardens of Homestead,1500 Park Ave,Homestead,FL,33355,Miami-Dade,(407) 606-3035,info@gardensofhomesteadfl.com,www.gardensofhomesteadfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",28.05,-81.45,FL-MIA-1236,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.275027,False,Basic,active,"$6,300/month",True,False,2025-07-22T08:57:20.275030
