id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Colonial Manor,1000 Main Street,Accomack,Accomack,VA,22001,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70001,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.accomack-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
193,Potomac River Manor,1400 Jefferson Street,Winchester,Frederick,VA,22193,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70193,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.frederick-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
194,Colonial Manor,1000 Main Street,Pearisburg,Giles,VA,22194,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70194,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.giles-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
195,Commonwealth Commons,1100 Virginia Avenue,Pearisburg,Giles,VA,22195,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70195,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.giles-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
196,Old Dominion Village,1200 Colonial Drive,Pearisburg,Giles,VA,22196,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70196,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.giles-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
197,Virginia Heritage Care,1300 Commonwealth Boulevard,Pearisburg,Giles,VA,22197,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70197,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.giles-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
198,Potomac River Manor,1400 Jefferson Street,Pearisburg,Giles,VA,22198,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70198,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.giles-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
199,Colonial Manor,1000 Main Street,Gloucester,Gloucester,VA,22199,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70199,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.gloucester-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
200,Commonwealth Commons,1100 Virginia Avenue,Gloucester,Gloucester,VA,22200,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70200,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.gloucester-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
201,Old Dominion Village,1200 Colonial Drive,Gloucester,Gloucester,VA,22201,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70201,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.gloucester-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
202,Virginia Heritage Care,1300 Commonwealth Boulevard,Gloucester,Gloucester,VA,22202,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70202,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.gloucester-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
203,Potomac River Manor,1400 Jefferson Street,Gloucester,Gloucester,VA,22203,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70203,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.gloucester-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
204,Colonial Manor,1000 Main Street,Goochland,Goochland,VA,22204,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70204,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.goochland-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
205,Commonwealth Commons,1100 Virginia Avenue,Goochland,Goochland,VA,22205,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70205,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.goochland-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
206,Old Dominion Village,1200 Colonial Drive,Goochland,Goochland,VA,22206,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70206,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.goochland-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
207,Virginia Heritage Care,1300 Commonwealth Boulevard,Goochland,Goochland,VA,22207,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70207,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.goochland-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
208,Potomac River Manor,1400 Jefferson Street,Goochland,Goochland,VA,22208,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70208,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.goochland-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
209,Colonial Manor,1000 Main Street,Independence,Grayson,VA,22209,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70209,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.grayson-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
210,Commonwealth Commons,1100 Virginia Avenue,Independence,Grayson,VA,22210,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70210,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.grayson-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
211,Old Dominion Village,1200 Colonial Drive,Independence,Grayson,VA,22211,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70211,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.grayson-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
212,Virginia Heritage Care,1300 Commonwealth Boulevard,Independence,Grayson,VA,22212,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70212,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.grayson-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
213,Potomac River Manor,1400 Jefferson Street,Independence,Grayson,VA,22213,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70213,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.grayson-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
214,Colonial Manor,1000 Main Street,Greene,Greene,VA,22214,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70214,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.greene-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
215,Commonwealth Commons,1100 Virginia Avenue,Greene,Greene,VA,22215,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70215,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.greene-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
216,Old Dominion Village,1200 Colonial Drive,Greene,Greene,VA,22216,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70216,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.greene-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
217,Virginia Heritage Care,1300 Commonwealth Boulevard,Greene,Greene,VA,22217,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70217,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.greene-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
218,Potomac River Manor,1400 Jefferson Street,Greene,Greene,VA,22218,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70218,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.greene-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
219,Colonial Manor,1000 Main Street,Greensville,Greensville,VA,22219,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70219,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.greensville-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
220,Commonwealth Commons,1100 Virginia Avenue,Greensville,Greensville,VA,22220,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70220,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.greensville-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
221,Old Dominion Village,1200 Colonial Drive,Greensville,Greensville,VA,22221,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70221,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.greensville-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
222,Virginia Heritage Care,1300 Commonwealth Boulevard,Greensville,Greensville,VA,22222,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70222,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.greensville-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
223,Potomac River Manor,1400 Jefferson Street,Greensville,Greensville,VA,22223,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70223,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.greensville-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
224,Colonial Manor,1000 Main Street,Halifax,Halifax,VA,22224,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70224,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.halifax-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
225,Commonwealth Commons,1100 Virginia Avenue,Halifax,Halifax,VA,22225,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70225,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.halifax-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
226,Old Dominion Village,1200 Colonial Drive,Halifax,Halifax,VA,22226,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70226,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.halifax-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
227,Virginia Heritage Care,1300 Commonwealth Boulevard,Halifax,Halifax,VA,22227,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70227,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.halifax-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
228,Potomac River Manor,1400 Jefferson Street,Halifax,Halifax,VA,22228,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70228,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.halifax-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
229,Colonial Manor,1000 Main Street,Mechanicsville,Hanover,VA,22229,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70229,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.hanover-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
230,Commonwealth Commons,1100 Virginia Avenue,Mechanicsville,Hanover,VA,22230,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70230,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.hanover-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
231,Old Dominion Village,1200 Colonial Drive,Mechanicsville,Hanover,VA,22231,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70231,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.hanover-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
232,Virginia Heritage Care,1300 Commonwealth Boulevard,Mechanicsville,Hanover,VA,22232,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70232,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.hanover-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
233,Potomac River Manor,1400 Jefferson Street,Mechanicsville,Hanover,VA,22233,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70233,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.hanover-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
234,Colonial Manor,1000 Main Street,Richmond,Henrico,VA,22234,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70234,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.457300000000004,-77.3811
235,Commonwealth Commons,1100 Virginia Avenue,Richmond,Henrico,VA,22235,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70235,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.4673,-77.3711
236,Old Dominion Village,1200 Colonial Drive,Richmond,Henrico,VA,22236,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70236,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.4773,-77.3611
237,Virginia Heritage Care,1300 Commonwealth Boulevard,Richmond,Henrico,VA,22237,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70237,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.4873,-77.3511
238,Potomac River Manor,1400 Jefferson Street,Richmond,Henrico,VA,22238,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70238,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.4973,-77.3411
239,Shenandoah Valley Village,1500 Washington Avenue,Richmond,Henrico,VA,22239,(708) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,VA-ALF-70239,Virginia Department of Health,2024-08-06,80,False,False,False,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5073,-77.33109999999999
240,Blue Ridge Commons,1600 Madison Street,Richmond,Henrico,VA,22240,(709) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,VA-ALF-70240,Virginia Department of Health,2024-09-07,81,True,True,False,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5173,-77.3211
241,Chesapeake Bay Manor,1700 Monroe Drive,Richmond,Henrico,VA,22241,(710) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,VA-ALF-70241,Virginia Department of Health,2024-10-08,82,False,False,False,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.527300000000004,-77.3111
242,James River Village,1800 Old Dominion Avenue,Richmond,Henrico,VA,22242,(711) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,43,VA-ALF-70242,Virginia Department of Health,2024-11-09,83,False,True,True,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5373,-77.3811
243,Rappahannock Commons,1900 Liberty Street,Richmond,Henrico,VA,22243,(712) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,44,VA-ALF-70243,Virginia Department of Health,2024-03-10,84,True,False,False,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5473,-77.3711
244,Tidewater Manor,2000 Independence Boulevard,Richmond,Henrico,VA,22244,(713) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,45,VA-ALF-70244,Virginia Department of Health,2024-04-11,85,False,True,False,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.457300000000004,-77.3611
245,Piedmont Village,2100 Constitution Avenue,Richmond,Henrico,VA,22245,(714) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,46,VA-ALF-70245,Virginia Department of Health,2024-05-12,86,False,False,False,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.4673,-77.3511
246,Northern Virginia Commons,2200 Heritage Drive,Richmond,Henrico,VA,22246,(715) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,47,VA-ALF-70246,Virginia Department of Health,2024-06-13,87,True,True,True,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.4773,-77.3411
247,Richmond Metro Manor,2300 Patriot Street,Richmond,Henrico,VA,22247,(716) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,48,VA-ALF-70247,Virginia Department of Health,2024-07-14,88,False,False,False,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.4873,-77.33109999999999
248,Hampton Roads Village,2400 Colonial Avenue,Richmond,Henrico,VA,22248,(717) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,49,VA-ALF-70248,Virginia Department of Health,2024-08-15,89,False,True,False,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.4973,-77.3211
249,Williamsburg Commons,2500 Richmond Road,Richmond,Henrico,VA,22249,(718) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,50,VA-ALF-70249,Virginia Department of Health,2024-09-16,90,True,False,False,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5073,-77.3111
250,Monticello Manor,2600 Norfolk Street,Richmond,Henrico,VA,22250,(719) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,51,VA-ALF-70250,Virginia Department of Health,2024-10-17,91,False,True,True,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5173,-77.3811
251,Mount Vernon Village,2700 Virginia Beach Boulevard,Richmond,Henrico,VA,22251,(720) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,52,VA-ALF-70251,Virginia Department of Health,2024-11-18,92,False,False,False,https://www.henrico-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.527300000000004,-77.3711
252,Colonial Manor,1000 Main Street,Martinsville,Henry,VA,22252,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70252,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.henry-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
253,Commonwealth Commons,1100 Virginia Avenue,Martinsville,Henry,VA,22253,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70253,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.henry-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
254,Old Dominion Village,1200 Colonial Drive,Martinsville,Henry,VA,22254,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70254,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.henry-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
255,Virginia Heritage Care,1300 Commonwealth Boulevard,Martinsville,Henry,VA,22255,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70255,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.henry-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
256,Potomac River Manor,1400 Jefferson Street,Martinsville,Henry,VA,22256,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70256,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.henry-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
257,Colonial Manor,1000 Main Street,Monterey,Highland,VA,22257,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70257,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.highland-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
258,Commonwealth Commons,1100 Virginia Avenue,Monterey,Highland,VA,22258,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70258,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.highland-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
259,Old Dominion Village,1200 Colonial Drive,Monterey,Highland,VA,22259,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70259,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.highland-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
260,Virginia Heritage Care,1300 Commonwealth Boulevard,Monterey,Highland,VA,22260,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70260,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.highland-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
261,Potomac River Manor,1400 Jefferson Street,Monterey,Highland,VA,22261,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70261,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.highland-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
262,Colonial Manor,1000 Main Street,Isle of Wight,Isle of Wight,VA,22262,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70262,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.isleofwight-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
263,Commonwealth Commons,1100 Virginia Avenue,Isle of Wight,Isle of Wight,VA,22263,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70263,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.isleofwight-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
264,Old Dominion Village,1200 Colonial Drive,Isle of Wight,Isle of Wight,VA,22264,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70264,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.isleofwight-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
265,Virginia Heritage Care,1300 Commonwealth Boulevard,Isle of Wight,Isle of Wight,VA,22265,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70265,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.isleofwight-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
266,Potomac River Manor,1400 Jefferson Street,Isle of Wight,Isle of Wight,VA,22266,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70266,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.isleofwight-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
267,Colonial Manor,1000 Main Street,Williamsburg,James City,VA,22267,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70267,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.jamescity-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.2543,-76.813
268,Commonwealth Commons,1100 Virginia Avenue,Williamsburg,James City,VA,22268,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70268,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.jamescity-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.2643,-76.803
269,Old Dominion Village,1200 Colonial Drive,Williamsburg,James City,VA,22269,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70269,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.jamescity-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.2743,-76.79299999999999
270,Virginia Heritage Care,1300 Commonwealth Boulevard,Williamsburg,James City,VA,22270,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70270,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.jamescity-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.284299999999995,-76.783
271,Potomac River Manor,1400 Jefferson Street,Williamsburg,James City,VA,22271,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70271,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.jamescity-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.2943,-76.773
272,Shenandoah Valley Village,1500 Washington Avenue,Williamsburg,James City,VA,22272,(708) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,VA-ALF-70272,Virginia Department of Health,2024-08-06,80,False,False,False,https://www.jamescity-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.3043,-76.76299999999999
273,Blue Ridge Commons,1600 Madison Street,Williamsburg,James City,VA,22273,(709) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,VA-ALF-70273,Virginia Department of Health,2024-09-07,81,True,True,False,https://www.jamescity-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.314299999999996,-76.753
274,Chesapeake Bay Manor,1700 Monroe Drive,Williamsburg,James City,VA,22274,(710) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,VA-ALF-70274,Virginia Department of Health,2024-10-08,82,False,False,False,https://www.jamescity-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.3243,-76.743
275,Colonial Manor,1000 Main Street,King and Queen,King and Queen,VA,22275,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70275,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.kingandqueen-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
276,Commonwealth Commons,1100 Virginia Avenue,King and Queen,King and Queen,VA,22276,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70276,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.kingandqueen-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
277,Old Dominion Village,1200 Colonial Drive,King and Queen,King and Queen,VA,22277,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70277,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.kingandqueen-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
