id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,First State Manor,1000 Main Street,Wilmington,New Castle,DE,19701,(302) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,DE-ALF-19001,Delaware Department of Health and Social Services,2024-03-01,85,True,True,True,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.5764,-75.67540000000001
80,Milford Commons,1900 Middletown Avenue,Millsboro,Sussex,DE,19780,(302) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,DE-ALF-19080,Delaware Department of Health and Social Services,2024-03-10,94,True,False,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.666399999999996,-75.2654
81,Seaford Manor,2000 Smyrna Boulevard,Seaford,Sussex,DE,19781,(302) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,DE-ALF-19081,Delaware Department of Health and Social Services,2024-04-11,95,False,True,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.5764,-75.2554
82,Georgetown Village,2100 Milford Drive,Georgetown,Sussex,DE,19782,(302) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,DE-ALF-19082,Delaware Department of Health and Social Services,2024-05-12,96,False,False,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.5864,-75.2454
83,Rehoboth Commons,2200 Seaford Street,Rehoboth Beach,Sussex,DE,19783,(302) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,42,DE-ALF-19083,Delaware Department of Health and Social Services,2024-06-13,97,True,True,True,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.596399999999996,-75.2354
84,Lewes Manor,2300 Georgetown Avenue,Lewes,Sussex,DE,19784,(302) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,43,DE-ALF-19084,Delaware Department of Health and Social Services,2024-07-14,98,False,False,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.606399999999994,-75.2254
85,Bethany Village,2400 Rehoboth Boulevard,Bethany Beach,Sussex,DE,19785,(302) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,44,DE-ALF-19085,Delaware Department of Health and Social Services,2024-08-15,99,False,True,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.6164,-75.2154
86,Fenwick Commons,2500 Lewes Drive,Fenwick Island,Sussex,DE,19786,(302) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,45,DE-ALF-19086,Delaware Department of Health and Social Services,2024-09-16,85,True,False,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.6264,-75.2054
87,Delaware Bay Manor,2600 Bethany Street,Delmar,Sussex,DE,19787,(302) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,46,DE-ALF-19087,Delaware Department of Health and Social Services,2024-10-17,86,False,True,True,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.636399999999995,-75.2754
88,Chesapeake Village,2700 Fenwick Avenue,Laurel,Sussex,DE,19788,(302) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,47,DE-ALF-19088,Delaware Department of Health and Social Services,2024-11-18,87,False,False,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.6464,-75.2654
89,Atlantic Commons,2800 Delaware Bay Boulevard,Bridgeville,Sussex,DE,19789,(302) 218-1018,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,48,DE-ALF-19089,Delaware Department of Health and Social Services,2024-03-19,88,True,True,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.6564,-75.2554
90,Coastal Manor,2900 Chesapeake Drive,Millsboro,Sussex,DE,19790,(302) 219-1019,Senior Living,Assisted Living; Personal Care; Hospice Care,49,DE-ALF-19090,Delaware Department of Health and Social Services,2024-04-20,89,False,False,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.666399999999996,-75.2454
91,DuPont Village,3000 Atlantic Street,Seaford,Sussex,DE,19791,(302) 220-1020,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,50,DE-ALF-19091,Delaware Department of Health and Social Services,2024-05-21,90,False,True,True,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.5764,-75.2354
92,Constitution Commons,3100 Coastal Avenue,Georgetown,Sussex,DE,19792,(302) 221-1021,Senior Living,Assisted Living; Memory Care; Independent Living,51,DE-ALF-19092,Delaware Department of Health and Social Services,2024-06-22,91,True,False,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.5864,-75.2254
93,Liberty Manor,3200 DuPont Boulevard,Rehoboth Beach,Sussex,DE,19793,(302) 222-1022,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,52,DE-ALF-19093,Delaware Department of Health and Social Services,2024-07-23,92,False,True,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.596399999999996,-75.2154
94,Independence Village,3300 Constitution Drive,Lewes,Sussex,DE,19794,(302) 223-1023,Senior Living,Continuing Care; Adult Day Services; Personal Care,53,DE-ALF-19094,Delaware Department of Health and Social Services,2024-08-24,93,False,False,False,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.606399999999994,-75.2054
95,Colonial Commons,3400 Liberty Street,Bethany Beach,Sussex,DE,19795,(302) 224-1024,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,54,DE-ALF-19095,Delaware Department of Health and Social Services,2024-09-25,94,True,True,True,https://www.sussex-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,38.6164,-75.2754
