id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Granite State Manor,1000 Main Street,Laconia,Belknap,NH,03001,(603) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,NH-RCF-30001,New Hampshire Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.belknap-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.476400000000005,-71.50540000000001
78,Concord Village,1600 Manchester Boulevard,Henniker,Merrimack,NH,03078,(603) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,NH-RCF-30078,New Hampshire Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.merrimack-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2864,-71.5154
79,Keene Manor,1700 Nashua Drive,Warner,Merrimack,NH,03079,(603) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,NH-RCF-30079,New Hampshire Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.merrimack-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.296400000000006,-71.5054
80,Portsmouth Commons,1800 Concord Street,Concord,Merrimack,NH,03080,(603) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,28,NH-RCF-30080,New Hampshire Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.merrimack-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.306400000000004,-71.5754
81,Derry Village,1900 Keene Avenue,Franklin,Merrimack,NH,03081,(603) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,29,NH-RCF-30081,New Hampshire Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.merrimack-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.3164,-71.5654
82,Rochester Manor,2000 Portsmouth Boulevard,Hooksett,Merrimack,NH,03082,(603) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,30,NH-RCF-30082,New Hampshire Department of Health and Human Services,2024-04-11,90,False,True,False,https://www.merrimack-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.226400000000005,-71.55539999999999
83,Salem Commons,2100 Derry Drive,Bow,Merrimack,NH,03083,(603) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,31,NH-RCF-30083,New Hampshire Department of Health and Human Services,2024-05-12,91,False,False,False,https://www.merrimack-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2364,-71.5454
84,Merrimack Village,2200 Rochester Street,Hopkinton,Merrimack,NH,03084,(603) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,32,NH-RCF-30084,New Hampshire Department of Health and Human Services,2024-06-13,92,True,True,True,https://www.merrimack-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2464,-71.5354
85,Bedford Manor,2300 Salem Avenue,Pembroke,Merrimack,NH,03085,(603) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,33,NH-RCF-30085,New Hampshire Department of Health and Human Services,2024-07-14,93,False,False,False,https://www.merrimack-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2564,-71.52539999999999
86,Goffstown Commons,2400 Merrimack Boulevard,Henniker,Merrimack,NH,03086,(603) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,34,NH-RCF-30086,New Hampshire Department of Health and Human Services,2024-08-15,94,False,True,False,https://www.merrimack-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.266400000000004,-71.5154
87,Granite State Manor,1000 Main Street,Portsmouth,Rockingham,NH,03087,(603) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,NH-RCF-30087,New Hampshire Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.976400000000005,-71.0754
88,White Mountain Village,1100 New Hampshire Avenue,Salem,Rockingham,NH,03088,(603) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,NH-RCF-30088,New Hampshire Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9864,-71.0654
89,Seacoast Commons,1200 Granite State Boulevard,Windham,Rockingham,NH,03089,(603) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,NH-RCF-30089,New Hampshire Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9964,-71.05539999999999
90,Monadnock Village,1300 White Mountain Drive,Hampton,Rockingham,NH,03090,(603) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,NH-RCF-30090,New Hampshire Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.0064,-71.0454
91,Manchester Manor,1400 Seacoast Street,Exeter,Rockingham,NH,03091,(603) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,NH-RCF-30091,New Hampshire Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.016400000000004,-71.0354
92,Nashua Commons,1500 Monadnock Avenue,Londonderry,Rockingham,NH,03092,(603) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,NH-RCF-30092,New Hampshire Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.0264,-71.02539999999999
93,Concord Village,1600 Manchester Boulevard,Atkinson,Rockingham,NH,03093,(603) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,NH-RCF-30093,New Hampshire Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.0364,-71.0154
94,Keene Manor,1700 Nashua Drive,Plaistow,Rockingham,NH,03094,(603) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,NH-RCF-30094,New Hampshire Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.046400000000006,-71.0054
95,Portsmouth Commons,1800 Concord Street,Portsmouth,Rockingham,NH,03095,(603) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,28,NH-RCF-30095,New Hampshire Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.056400000000004,-71.0754
96,Derry Village,1900 Keene Avenue,Salem,Rockingham,NH,03096,(603) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,29,NH-RCF-30096,New Hampshire Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.0664,-71.0654
97,Rochester Manor,2000 Portsmouth Boulevard,Windham,Rockingham,NH,03097,(603) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,30,NH-RCF-30097,New Hampshire Department of Health and Human Services,2024-04-11,90,False,True,False,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.976400000000005,-71.05539999999999
98,Salem Commons,2100 Derry Drive,Hampton,Rockingham,NH,03098,(603) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,31,NH-RCF-30098,New Hampshire Department of Health and Human Services,2024-05-12,91,False,False,False,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9864,-71.0454
99,Merrimack Village,2200 Rochester Street,Exeter,Rockingham,NH,03099,(603) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,32,NH-RCF-30099,New Hampshire Department of Health and Human Services,2024-06-13,92,True,True,True,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,42.9964,-71.0354
100,Bedford Manor,2300 Salem Avenue,Londonderry,Rockingham,NH,03100,(603) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,33,NH-RCF-30100,New Hampshire Department of Health and Human Services,2024-07-14,93,False,False,False,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.0064,-71.02539999999999
101,Goffstown Commons,2400 Merrimack Boulevard,Atkinson,Rockingham,NH,03101,(603) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,34,NH-RCF-30101,New Hampshire Department of Health and Human Services,2024-08-15,94,False,True,False,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.016400000000004,-71.0154
102,Londonderry Village,2500 Bedford Drive,Plaistow,Rockingham,NH,03102,(603) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,35,NH-RCF-30102,New Hampshire Department of Health and Human Services,2024-09-16,95,True,False,False,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.0264,-71.0054
103,Hudson Manor,2600 Goffstown Street,Portsmouth,Rockingham,NH,03103,(603) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,36,NH-RCF-30103,New Hampshire Department of Health and Human Services,2024-10-17,96,False,True,True,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.0364,-71.0754
104,Windham Commons,2700 Londonderry Avenue,Salem,Rockingham,NH,03104,(603) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,37,NH-RCF-30104,New Hampshire Department of Health and Human Services,2024-11-18,97,False,False,False,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.046400000000006,-71.0654
105,Hampton Village,2800 Hudson Boulevard,Windham,Rockingham,NH,03105,(603) 218-1018,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,38,NH-RCF-30105,New Hampshire Department of Health and Human Services,2024-03-19,98,True,True,False,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.056400000000004,-71.05539999999999
106,Exeter Manor,2900 Windham Drive,Hampton,Rockingham,NH,03106,(603) 219-1019,Senior Living,Assisted Living; Personal Care; Hospice Care,39,NH-RCF-30106,New Hampshire Department of Health and Human Services,2024-04-20,99,False,False,False,https://www.rockingham-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.0664,-71.0454
107,Granite State Manor,1000 Main Street,Rochester,Strafford,NH,03107,(603) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,NH-RCF-30107,New Hampshire Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.strafford-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.226400000000005,-71.0754
108,White Mountain Village,1100 New Hampshire Avenue,Dover,Strafford,NH,03108,(603) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,NH-RCF-30108,New Hampshire Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.strafford-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2364,-71.0654
109,Seacoast Commons,1200 Granite State Boulevard,Somersworth,Strafford,NH,03109,(603) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,NH-RCF-30109,New Hampshire Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.strafford-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2464,-71.05539999999999
110,Monadnock Village,1300 White Mountain Drive,Farmington,Strafford,NH,03110,(603) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,NH-RCF-30110,New Hampshire Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.strafford-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2564,-71.0454
111,Manchester Manor,1400 Seacoast Street,Barrington,Strafford,NH,03111,(603) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,NH-RCF-30111,New Hampshire Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.strafford-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.266400000000004,-71.0354
112,Nashua Commons,1500 Monadnock Avenue,Durham,Strafford,NH,03112,(603) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,NH-RCF-30112,New Hampshire Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.strafford-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2764,-71.02539999999999
113,Concord Village,1600 Manchester Boulevard,Middleton,Strafford,NH,03113,(603) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,NH-RCF-30113,New Hampshire Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.strafford-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2864,-71.0154
114,Keene Manor,1700 Nashua Drive,New Durham,Strafford,NH,03114,(603) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,NH-RCF-30114,New Hampshire Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.strafford-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.296400000000006,-71.0054
115,Portsmouth Commons,1800 Concord Street,Rochester,Strafford,NH,03115,(603) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,28,NH-RCF-30115,New Hampshire Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.strafford-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.306400000000004,-71.0754
116,Derry Village,1900 Keene Avenue,Dover,Strafford,NH,03116,(603) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,29,NH-RCF-30116,New Hampshire Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.strafford-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.3164,-71.0654
117,Rochester Manor,2000 Portsmouth Boulevard,Somersworth,Strafford,NH,03117,(603) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,30,NH-RCF-30117,New Hampshire Department of Health and Human Services,2024-04-11,90,False,True,False,https://www.strafford-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.226400000000005,-71.05539999999999
118,Salem Commons,2100 Derry Drive,Farmington,Strafford,NH,03118,(603) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,31,NH-RCF-30118,New Hampshire Department of Health and Human Services,2024-05-12,91,False,False,False,https://www.strafford-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2364,-71.0454
119,Merrimack Village,2200 Rochester Street,Barrington,Strafford,NH,03119,(603) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,32,NH-RCF-30119,New Hampshire Department of Health and Human Services,2024-06-13,92,True,True,True,https://www.strafford-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2464,-71.0354
120,Bedford Manor,2300 Salem Avenue,Durham,Strafford,NH,03120,(603) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,33,NH-RCF-30120,New Hampshire Department of Health and Human Services,2024-07-14,93,False,False,False,https://www.strafford-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.2564,-71.02539999999999
121,Goffstown Commons,2400 Merrimack Boulevard,Middleton,Strafford,NH,03121,(603) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,34,NH-RCF-30121,New Hampshire Department of Health and Human Services,2024-08-15,94,False,True,False,https://www.strafford-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.266400000000004,-71.0154
122,Granite State Manor,1000 Main Street,Claremont,Sullivan,NH,03122,(603) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,NH-RCF-30122,New Hampshire Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.sullivan-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.3264,-72.2754
123,White Mountain Village,1100 New Hampshire Avenue,Newport,Sullivan,NH,03123,(603) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,NH-RCF-30123,New Hampshire Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.sullivan-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.3364,-72.2654
124,Seacoast Commons,1200 Granite State Boulevard,Charlestown,Sullivan,NH,03124,(603) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,NH-RCF-30124,New Hampshire Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.sullivan-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.346399999999996,-72.2554
125,Monadnock Village,1300 White Mountain Drive,Sunapee,Sullivan,NH,03125,(603) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,NH-RCF-30125,New Hampshire Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.sullivan-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.356399999999994,-72.2454
126,Manchester Manor,1400 Seacoast Street,Unity,Sullivan,NH,03126,(603) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,NH-RCF-30126,New Hampshire Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.sullivan-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.3664,-72.2354
127,Nashua Commons,1500 Monadnock Avenue,Cornish,Sullivan,NH,03127,(603) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,NH-RCF-30127,New Hampshire Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.sullivan-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.3764,-72.2254
128,Concord Village,1600 Manchester Boulevard,Plainfield,Sullivan,NH,03128,(603) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,NH-RCF-30128,New Hampshire Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.sullivan-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.386399999999995,-72.2154
129,Keene Manor,1700 Nashua Drive,Grantham,Sullivan,NH,03129,(603) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,NH-RCF-30129,New Hampshire Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.sullivan-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.3964,-72.2054
