id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Gateway Manor,1000 Main Street,Kirksville,Adair,MO,63001,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60001,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.adair-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.139700000000005,-92.62960000000001
141,Ozark Commons,1200 Gateway Boulevard,Keytesville,Chariton,MO,63141,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60141,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.chariton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.3964,-92.9832
142,Missouri River Village,1300 Show-Me Drive,Keytesville,Chariton,MO,63142,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60142,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.chariton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4064,-92.9732
143,Kansas City Commons,1400 Ozark Street,Keytesville,Chariton,MO,63143,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60143,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.chariton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4164,-92.9632
144,St. Louis Manor,1500 Kansas City Avenue,Keytesville,Chariton,MO,63144,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60144,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.chariton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4264,-92.9532
145,Gateway Manor,1000 Main Street,Ozark,Christian,MO,63145,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60145,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.christian-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.005300000000005,-93.331
146,Show-Me Village,1100 Missouri Avenue,Ozark,Christian,MO,63146,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60146,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.christian-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.0153,-93.321
147,Ozark Commons,1200 Gateway Boulevard,Ozark,Christian,MO,63147,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60147,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.christian-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.0253,-93.31099999999999
148,Missouri River Village,1300 Show-Me Drive,Ozark,Christian,MO,63148,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60148,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.christian-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.0353,-93.301
149,Kansas City Commons,1400 Ozark Street,Ozark,Christian,MO,63149,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60149,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.christian-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.045300000000005,-93.291
150,St. Louis Manor,1500 Kansas City Avenue,Ozark,Christian,MO,63150,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60150,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.christian-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.0553,-93.28099999999999
151,Springfield Village,1600 St. Louis Boulevard,Ozark,Christian,MO,63151,(320) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,MO-ALF-60151,Missouri Department of Health and Senior Services,2024-09-07,81,True,True,False,https://www.christian-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.0653,-93.271
152,Columbia Commons,1700 Springfield Drive,Ozark,Christian,MO,63152,(321) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,MO-ALF-60152,Missouri Department of Health and Senior Services,2024-10-08,82,False,False,False,https://www.christian-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.075300000000006,-93.261
153,Independence Manor,1800 Independence Street,Ozark,Christian,MO,63153,(322) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,MO-ALF-60153,Missouri Department of Health and Senior Services,2024-11-09,83,False,True,True,https://www.christian-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.085300000000004,-93.331
154,Lee's Summit Village,1900 Liberty Avenue,Ozark,Christian,MO,63154,(323) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,MO-ALF-60154,Missouri Department of Health and Senior Services,2024-03-10,84,True,False,False,https://www.christian-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.0953,-93.321
155,Gateway Manor,1000 Main Street,Kahoka,Clark,MO,63155,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60155,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.clark-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.4225,-91.5754
156,Show-Me Village,1100 Missouri Avenue,Kahoka,Clark,MO,63156,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60156,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.clark-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.4325,-91.5654
157,Ozark Commons,1200 Gateway Boulevard,Kahoka,Clark,MO,63157,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60157,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.clark-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.442499999999995,-91.55539999999999
158,Missouri River Village,1300 Show-Me Drive,Kahoka,Clark,MO,63158,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60158,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.clark-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.45249999999999,-91.5454
159,Kansas City Commons,1400 Ozark Street,Kahoka,Clark,MO,63159,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60159,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.clark-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.4625,-91.5354
160,St. Louis Manor,1500 Kansas City Avenue,Kahoka,Clark,MO,63160,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60160,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.clark-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.4725,-91.52539999999999
161,Gateway Manor,1000 Main Street,Liberty,Clay,MO,63161,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60161,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.clay-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.3219,-94.4616
162,Show-Me Village,1100 Missouri Avenue,Liberty,Clay,MO,63162,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60162,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.clay-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.3319,-94.4516
163,Ozark Commons,1200 Gateway Boulevard,Liberty,Clay,MO,63163,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60163,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.clay-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.341899999999995,-94.4416
164,Missouri River Village,1300 Show-Me Drive,Liberty,Clay,MO,63164,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60164,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.clay-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.35189999999999,-94.4316
165,Kansas City Commons,1400 Ozark Street,Liberty,Clay,MO,63165,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60165,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.clay-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.3619,-94.4216
166,St. Louis Manor,1500 Kansas City Avenue,Liberty,Clay,MO,63166,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60166,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.clay-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.3719,-94.41159999999999
167,Springfield Village,1600 St. Louis Boulevard,Liberty,Clay,MO,63167,(320) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,MO-ALF-60167,Missouri Department of Health and Senior Services,2024-09-07,81,True,True,False,https://www.clay-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.381899999999995,-94.4016
168,Columbia Commons,1700 Springfield Drive,Liberty,Clay,MO,63168,(321) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,MO-ALF-60168,Missouri Department of Health and Senior Services,2024-10-08,82,False,False,False,https://www.clay-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.3919,-94.3916
169,Independence Manor,1800 Independence Street,Liberty,Clay,MO,63169,(322) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,MO-ALF-60169,Missouri Department of Health and Senior Services,2024-11-09,83,False,True,True,https://www.clay-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4019,-94.4616
170,Lee's Summit Village,1900 Liberty Avenue,Liberty,Clay,MO,63170,(323) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,MO-ALF-60170,Missouri Department of Health and Senior Services,2024-03-10,84,True,False,False,https://www.clay-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.411899999999996,-94.4516
171,Blue Springs Commons,2000 Branson Boulevard,Liberty,Clay,MO,63171,(324) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,50,MO-ALF-60171,Missouri Department of Health and Senior Services,2024-04-11,85,False,True,False,https://www.clay-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.3219,-94.4416
172,Liberty Manor,2100 Mississippi Drive,Liberty,Clay,MO,63172,(325) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,51,MO-ALF-60172,Missouri Department of Health and Senior Services,2024-05-12,86,False,False,False,https://www.clay-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.3319,-94.4316
173,Gateway Manor,1000 Main Street,Plattsburg,Clinton,MO,63173,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60173,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.clinton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.476400000000005,-94.3108
174,Show-Me Village,1100 Missouri Avenue,Plattsburg,Clinton,MO,63174,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60174,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.clinton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4864,-94.3008
175,Ozark Commons,1200 Gateway Boulevard,Plattsburg,Clinton,MO,63175,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60175,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.clinton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4964,-94.29079999999999
176,Missouri River Village,1300 Show-Me Drive,Plattsburg,Clinton,MO,63176,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60176,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.clinton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.5064,-94.2808
177,Kansas City Commons,1400 Ozark Street,Plattsburg,Clinton,MO,63177,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60177,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.clinton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.516400000000004,-94.2708
178,St. Louis Manor,1500 Kansas City Avenue,Plattsburg,Clinton,MO,63178,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60178,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.clinton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.5264,-94.26079999999999
179,Gateway Manor,1000 Main Street,Jefferson City,Cole,MO,63179,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60179,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.cole-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.493100000000005,-92.2407
180,Show-Me Village,1100 Missouri Avenue,Jefferson City,Cole,MO,63180,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60180,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.cole-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.5031,-92.2307
181,Ozark Commons,1200 Gateway Boulevard,Jefferson City,Cole,MO,63181,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60181,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.cole-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.5131,-92.2207
182,Missouri River Village,1300 Show-Me Drive,Jefferson City,Cole,MO,63182,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60182,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.cole-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.5231,-92.2107
183,Kansas City Commons,1400 Ozark Street,Jefferson City,Cole,MO,63183,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60183,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.cole-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.533100000000005,-92.2007
184,St. Louis Manor,1500 Kansas City Avenue,Jefferson City,Cole,MO,63184,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60184,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.cole-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.5431,-92.19069999999999
185,Springfield Village,1600 St. Louis Boulevard,Jefferson City,Cole,MO,63185,(320) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,MO-ALF-60185,Missouri Department of Health and Senior Services,2024-09-07,81,True,True,False,https://www.cole-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.5531,-92.1807
186,Columbia Commons,1700 Springfield Drive,Jefferson City,Cole,MO,63186,(321) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,MO-ALF-60186,Missouri Department of Health and Senior Services,2024-10-08,82,False,False,False,https://www.cole-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.563100000000006,-92.1707
187,Independence Manor,1800 Independence Street,Jefferson City,Cole,MO,63187,(322) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,MO-ALF-60187,Missouri Department of Health and Senior Services,2024-11-09,83,False,True,True,https://www.cole-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.573100000000004,-92.2407
188,Lee's Summit Village,1900 Liberty Avenue,Jefferson City,Cole,MO,63188,(323) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,MO-ALF-60188,Missouri Department of Health and Senior Services,2024-03-10,84,True,False,False,https://www.cole-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.5831,-92.2307
189,Gateway Manor,1000 Main Street,Boonville,Cooper,MO,63189,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60189,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.cooper-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.8986,-92.72540000000001
190,Show-Me Village,1100 Missouri Avenue,Boonville,Cooper,MO,63190,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60190,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.cooper-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9086,-92.7154
191,Ozark Commons,1200 Gateway Boulevard,Boonville,Cooper,MO,63191,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60191,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.cooper-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9186,-92.7054
192,Missouri River Village,1300 Show-Me Drive,Boonville,Cooper,MO,63192,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60192,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.cooper-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.928599999999996,-92.6954
193,Kansas City Commons,1400 Ozark Street,Boonville,Cooper,MO,63193,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60193,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.cooper-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9386,-92.6854
194,St. Louis Manor,1500 Kansas City Avenue,Boonville,Cooper,MO,63194,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60194,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.cooper-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9486,-92.6754
195,Gateway Manor,1000 Main Street,Steelville,Crawford,MO,63195,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60195,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.crawford-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.876400000000004,-91.37540000000001
196,Show-Me Village,1100 Missouri Avenue,Steelville,Crawford,MO,63196,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60196,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.crawford-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.8864,-91.36540000000001
197,Ozark Commons,1200 Gateway Boulevard,Steelville,Crawford,MO,63197,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60197,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.crawford-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.8964,-91.3554
198,Missouri River Village,1300 Show-Me Drive,Steelville,Crawford,MO,63198,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60198,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.crawford-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.9064,-91.34540000000001
199,Kansas City Commons,1400 Ozark Street,Steelville,Crawford,MO,63199,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60199,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.crawford-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.9164,-91.3354
200,St. Louis Manor,1500 Kansas City Avenue,Steelville,Crawford,MO,63200,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60200,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.crawford-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.9264,-91.3254
201,Gateway Manor,1000 Main Street,Greenfield,Dade,MO,63201,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60201,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.dade-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.4681,-93.8018
202,Show-Me Village,1100 Missouri Avenue,Greenfield,Dade,MO,63202,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60202,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.dade-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.4781,-93.7918
203,Ozark Commons,1200 Gateway Boulevard,Greenfield,Dade,MO,63203,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60203,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.dade-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.488099999999996,-93.78179999999999
204,Missouri River Village,1300 Show-Me Drive,Greenfield,Dade,MO,63204,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60204,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.dade-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.498099999999994,-93.7718
205,Kansas City Commons,1400 Ozark Street,Greenfield,Dade,MO,63205,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60205,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.dade-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.5081,-93.7618
206,St. Louis Manor,1500 Kansas City Avenue,Greenfield,Dade,MO,63206,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60206,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.dade-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.5181,-93.75179999999999
207,Gateway Manor,1000 Main Street,Buffalo,Dallas,MO,63207,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60207,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.dallas-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.476400000000005,-93.0754
208,Show-Me Village,1100 Missouri Avenue,Buffalo,Dallas,MO,63208,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60208,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.dallas-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.4864,-93.0654
209,Ozark Commons,1200 Gateway Boulevard,Buffalo,Dallas,MO,63209,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60209,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.dallas-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.4964,-93.05539999999999
210,Missouri River Village,1300 Show-Me Drive,Buffalo,Dallas,MO,63210,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60210,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.dallas-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.5064,-93.0454
211,Kansas City Commons,1400 Ozark Street,Buffalo,Dallas,MO,63211,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60211,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.dallas-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.516400000000004,-93.0354
212,St. Louis Manor,1500 Kansas City Avenue,Buffalo,Dallas,MO,63212,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60212,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.dallas-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.5264,-93.02539999999999
213,Gateway Manor,1000 Main Street,Gallatin,Daviess,MO,63213,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60213,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.daviess-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.8264,-94.0032
214,Show-Me Village,1100 Missouri Avenue,Gallatin,Daviess,MO,63214,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60214,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.daviess-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.8364,-93.9932
215,Ozark Commons,1200 Gateway Boulevard,Gallatin,Daviess,MO,63215,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60215,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.daviess-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.846399999999996,-93.9832
216,Missouri River Village,1300 Show-Me Drive,Gallatin,Daviess,MO,63216,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60216,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.daviess-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.856399999999994,-93.9732
217,Kansas City Commons,1400 Ozark Street,Gallatin,Daviess,MO,63217,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60217,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.daviess-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.8664,-93.9632
218,St. Louis Manor,1500 Kansas City Avenue,Gallatin,Daviess,MO,63218,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60218,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.daviess-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.8764,-93.9532
219,Gateway Manor,1000 Main Street,Maysville,DeKalb,MO,63219,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60219,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.dekalb-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.751400000000004,-94.4449
220,Show-Me Village,1100 Missouri Avenue,Maysville,DeKalb,MO,63220,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60220,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.dekalb-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.7614,-94.4349
