id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Great Lakes Manor,1000 Main Street,Harrisville,Alcona,MI,48001,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30001,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.alcona-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
142,Maple Gardens,1300 Lake Street,Charlotte,Eaton,MI,48142,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30142,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.eaton-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5342,-84.8469
143,Heartland Manor,1400 Oak Street,Charlotte,Eaton,MI,48143,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30143,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.eaton-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.544200000000004,-84.8369
144,Autumn Ridge,1500 Maple Avenue,Charlotte,Eaton,MI,48144,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30144,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.eaton-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5542,-84.8269
145,Great Lakes Manor,1000 Main Street,Petoskey,Emmet,MI,48145,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30145,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.emmet-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
146,Lakeside Living,1100 State Street,Petoskey,Emmet,MI,48146,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30146,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.emmet-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
147,Pine Ridge,1200 Michigan Avenue,Petoskey,Emmet,MI,48147,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30147,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.emmet-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
148,Maple Gardens,1300 Lake Street,Petoskey,Emmet,MI,48148,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30148,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.emmet-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
149,Heartland Manor,1400 Oak Street,Petoskey,Emmet,MI,48149,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30149,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.emmet-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
150,Autumn Ridge,1500 Maple Avenue,Petoskey,Emmet,MI,48150,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30150,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.emmet-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
151,Great Lakes Manor,1000 Main Street,Flint,Genesee,MI,48151,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30151,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.genesee-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.903600000000004,-83.7275
152,Lakeside Living,1100 State Street,Flint,Genesee,MI,48152,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30152,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.genesee-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.9136,-83.7175
153,Pine Ridge,1200 Michigan Avenue,Flint,Genesee,MI,48153,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30153,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.genesee-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.9236,-83.7075
154,Maple Gardens,1300 Lake Street,Flint,Genesee,MI,48154,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30154,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.genesee-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.9336,-83.6975
155,Heartland Manor,1400 Oak Street,Flint,Genesee,MI,48155,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30155,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.genesee-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.9436,-83.6875
156,Autumn Ridge,1500 Maple Avenue,Flint,Genesee,MI,48156,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30156,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.genesee-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.9536,-83.6775
157,Sunrise Manor,1600 Pine Street,Flint,Genesee,MI,48157,(319) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,MI-ALF-30157,Michigan Department of Health and Human Services,2024-09-07,76,True,True,False,https://www.genesee-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.9636,-83.6675
158,Riverside Commons,1700 Cedar Avenue,Flint,Genesee,MI,48158,(320) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,MI-ALF-30158,Michigan Department of Health and Human Services,2024-10-08,77,False,False,False,https://www.genesee-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.973600000000005,-83.6575
159,Heritage House,1800 First Street,Flint,Genesee,MI,48159,(321) 408-1008,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,33,MI-ALF-30159,Michigan Department of Health and Human Services,2024-11-09,78,False,True,True,https://www.genesee-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.9836,-83.7275
160,Sunset Village,1900 Second Street,Flint,Genesee,MI,48160,(322) 409-1009,Senior Living,Continuing Care; Respite Care; Adult Day Services,34,MI-ALF-30160,Michigan Department of Health and Human Services,2024-03-10,79,True,False,False,https://www.genesee-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.9936,-83.7175
161,Great Lakes Manor,1000 Main Street,Gladwin,Gladwin,MI,48161,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30161,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.gladwin-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
162,Lakeside Living,1100 State Street,Gladwin,Gladwin,MI,48162,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30162,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.gladwin-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
163,Pine Ridge,1200 Michigan Avenue,Gladwin,Gladwin,MI,48163,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30163,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.gladwin-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
164,Maple Gardens,1300 Lake Street,Gladwin,Gladwin,MI,48164,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30164,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.gladwin-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
165,Heartland Manor,1400 Oak Street,Gladwin,Gladwin,MI,48165,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30165,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.gladwin-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
166,Autumn Ridge,1500 Maple Avenue,Gladwin,Gladwin,MI,48166,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30166,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.gladwin-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
167,Great Lakes Manor,1000 Main Street,Bessemer,Gogebic,MI,48167,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30167,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.gogebic-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
168,Lakeside Living,1100 State Street,Bessemer,Gogebic,MI,48168,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30168,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.gogebic-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
169,Pine Ridge,1200 Michigan Avenue,Bessemer,Gogebic,MI,48169,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30169,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.gogebic-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
170,Maple Gardens,1300 Lake Street,Bessemer,Gogebic,MI,48170,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30170,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.gogebic-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
171,Heartland Manor,1400 Oak Street,Bessemer,Gogebic,MI,48171,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30171,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.gogebic-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
172,Autumn Ridge,1500 Maple Avenue,Bessemer,Gogebic,MI,48172,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30172,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.gogebic-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
173,Great Lakes Manor,1000 Main Street,Traverse City,Grand Traverse,MI,48173,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30173,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.grandtraverse-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
174,Lakeside Living,1100 State Street,Traverse City,Grand Traverse,MI,48174,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30174,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.grandtraverse-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
175,Pine Ridge,1200 Michigan Avenue,Traverse City,Grand Traverse,MI,48175,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30175,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.grandtraverse-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
176,Maple Gardens,1300 Lake Street,Traverse City,Grand Traverse,MI,48176,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30176,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.grandtraverse-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
177,Heartland Manor,1400 Oak Street,Traverse City,Grand Traverse,MI,48177,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30177,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.grandtraverse-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
178,Autumn Ridge,1500 Maple Avenue,Traverse City,Grand Traverse,MI,48178,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30178,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.grandtraverse-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
179,Great Lakes Manor,1000 Main Street,Ithaca,Gratiot,MI,48179,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30179,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.gratiot-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
180,Lakeside Living,1100 State Street,Ithaca,Gratiot,MI,48180,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30180,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.gratiot-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
181,Pine Ridge,1200 Michigan Avenue,Ithaca,Gratiot,MI,48181,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30181,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.gratiot-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
182,Maple Gardens,1300 Lake Street,Ithaca,Gratiot,MI,48182,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30182,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.gratiot-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
183,Heartland Manor,1400 Oak Street,Ithaca,Gratiot,MI,48183,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30183,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.gratiot-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
184,Autumn Ridge,1500 Maple Avenue,Ithaca,Gratiot,MI,48184,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30184,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.gratiot-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
185,Great Lakes Manor,1000 Main Street,Hillsdale,Hillsdale,MI,48185,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30185,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.hillsdale-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
186,Lakeside Living,1100 State Street,Hillsdale,Hillsdale,MI,48186,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30186,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.hillsdale-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
187,Pine Ridge,1200 Michigan Avenue,Hillsdale,Hillsdale,MI,48187,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30187,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.hillsdale-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
188,Maple Gardens,1300 Lake Street,Hillsdale,Hillsdale,MI,48188,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30188,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.hillsdale-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
189,Heartland Manor,1400 Oak Street,Hillsdale,Hillsdale,MI,48189,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30189,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.hillsdale-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
190,Autumn Ridge,1500 Maple Avenue,Hillsdale,Hillsdale,MI,48190,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30190,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.hillsdale-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
191,Great Lakes Manor,1000 Main Street,Houghton,Houghton,MI,48191,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30191,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.houghton-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
192,Lakeside Living,1100 State Street,Houghton,Houghton,MI,48192,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30192,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.houghton-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
193,Pine Ridge,1200 Michigan Avenue,Houghton,Houghton,MI,48193,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30193,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.houghton-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
194,Maple Gardens,1300 Lake Street,Houghton,Houghton,MI,48194,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30194,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.houghton-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
195,Heartland Manor,1400 Oak Street,Houghton,Houghton,MI,48195,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30195,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.houghton-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
196,Autumn Ridge,1500 Maple Avenue,Houghton,Houghton,MI,48196,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30196,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.houghton-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
197,Great Lakes Manor,1000 Main Street,Bad Axe,Huron,MI,48197,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30197,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.huron-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
198,Lakeside Living,1100 State Street,Bad Axe,Huron,MI,48198,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30198,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.huron-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
199,Pine Ridge,1200 Michigan Avenue,Bad Axe,Huron,MI,48199,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30199,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.huron-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
200,Maple Gardens,1300 Lake Street,Bad Axe,Huron,MI,48200,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30200,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.huron-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
201,Heartland Manor,1400 Oak Street,Bad Axe,Huron,MI,48201,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30201,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.huron-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
202,Autumn Ridge,1500 Maple Avenue,Bad Axe,Huron,MI,48202,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30202,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.huron-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
203,Great Lakes Manor,1000 Main Street,Lansing,Ingham,MI,48203,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30203,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.ingham-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
204,Lakeside Living,1100 State Street,Lansing,Ingham,MI,48204,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30204,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.ingham-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
205,Pine Ridge,1200 Michigan Avenue,Lansing,Ingham,MI,48205,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30205,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.ingham-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
206,Maple Gardens,1300 Lake Street,Lansing,Ingham,MI,48206,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30206,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.ingham-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
207,Heartland Manor,1400 Oak Street,Lansing,Ingham,MI,48207,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30207,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.ingham-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
208,Autumn Ridge,1500 Maple Avenue,Lansing,Ingham,MI,48208,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30208,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.ingham-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
209,Sunrise Manor,1600 Pine Street,Lansing,Ingham,MI,48209,(319) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,MI-ALF-30209,Michigan Department of Health and Human Services,2024-09-07,76,True,True,False,https://www.ingham-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6173,-84.5353
210,Riverside Commons,1700 Cedar Avenue,Lansing,Ingham,MI,48210,(320) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,MI-ALF-30210,Michigan Department of Health and Human Services,2024-10-08,77,False,False,False,https://www.ingham-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.627300000000005,-84.5253
211,Great Lakes Manor,1000 Main Street,Ionia,Ionia,MI,48211,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30211,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.ionia-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
212,Lakeside Living,1100 State Street,Ionia,Ionia,MI,48212,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30212,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.ionia-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
213,Pine Ridge,1200 Michigan Avenue,Ionia,Ionia,MI,48213,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30213,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.ionia-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
214,Maple Gardens,1300 Lake Street,Ionia,Ionia,MI,48214,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30214,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.ionia-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
215,Heartland Manor,1400 Oak Street,Ionia,Ionia,MI,48215,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30215,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.ionia-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
216,Autumn Ridge,1500 Maple Avenue,Ionia,Ionia,MI,48216,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30216,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.ionia-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
217,Great Lakes Manor,1000 Main Street,Tawas City,Iosco,MI,48217,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30217,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.iosco-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
218,Lakeside Living,1100 State Street,Tawas City,Iosco,MI,48218,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30218,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.iosco-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
219,Pine Ridge,1200 Michigan Avenue,Tawas City,Iosco,MI,48219,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30219,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.iosco-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
220,Maple Gardens,1300 Lake Street,Tawas City,Iosco,MI,48220,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30220,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.iosco-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
221,Heartland Manor,1400 Oak Street,Tawas City,Iosco,MI,48221,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30221,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.iosco-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
222,Autumn Ridge,1500 Maple Avenue,Tawas City,Iosco,MI,48222,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30222,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.iosco-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
