id,name,address,city,state,zip_code,county,phone,facility_type,licensed_beds,license_number,administrator,coordinates,data_source
125,Riverside Place,2588 Kentucky Ave,Georgetown,Kentucky,40324,Scott,(502) 469-6394,Continuing Care Retirement Community,34,KY86388,Thomas Clark,"[38.20874587499475, -84.54438069297781]",Kentucky Cabinet for Health and Family Services
126,Georgetown Center,3064 Oak Ave,Georgetown,Kentucky,40324,Scott,(606) 812-3794,Continuing Care Retirement Community,67,KY79484,John Miller,"[38.207218947225954, -84.562810280816]",Kentucky Cabinet for Health and Family Services
127,Georgetown Place,451 Elm St,Georgetown,Kentucky,40324,Scott,(270) 609-9932,Skilled Nursing Facility,32,KY19903,Robert Lee,"[38.221764355827766, -84.54772822492278]",Kentucky Cabinet for Health and Family Services
128,Henderson Health Care,8870 Oak Ave,Henderson,Kentucky,42420,Henderson,(502) 542-2007,Independent Living,29,KY18414,Susan Harris,"[37.83034134077039, -87.60979006289023]",Kentucky Cabinet for Health and Family Services
129,Henderson Nursing Home,5148 Jefferson Dr,Henderson,Kentucky,42420,Henderson,(364) 552-9549,Skilled Nursing Facility,156,KY14225,Mark Gonzalez,"[37.82303629388802, -87.60261173239495]",Kentucky Cabinet for Health and Family Services
130,Henderson Villa,6092 Pine Rd,Henderson,Kentucky,42420,Henderson,(364) 603-8172,Memory Care,89,KY61786,Sandra Thompson,"[37.852271805305755, -87.5752427681852]",Kentucky Cabinet for Health and Family Services
131,Hillside Health Care,7381 Washington St,Henderson,Kentucky,42420,Henderson,(502) 744-2524,Assisted Living,168,KY48683,Daniel Wilson,"[37.8506401062011, -87.58214234422039]",Kentucky Cabinet for Health and Family Services
132,Golden Gardens,110 Main St,Henderson,Kentucky,42420,Henderson,(270) 343-1158,Continuing Care Retirement Community,96,KY53829,Helen Lee,"[37.840656538985655, -87.60608268105844]",Kentucky Cabinet for Health and Family Services
133,Henderson Center,6628 Third St,Henderson,Kentucky,42420,Henderson,(859) 619-8487,Skilled Nursing Facility,77,KY35812,John Wilson,"[37.816353160836144, -87.60664175347695]",Kentucky Cabinet for Health and Family Services
134,Riverside Place,6660 Lincoln Ave,Henderson,Kentucky,42420,Henderson,(606) 934-8494,Adult Day Care,80,KY35475,Elizabeth Garcia,"[37.844801848223085, -87.5972807859785]",Kentucky Cabinet for Health and Family Services
135,Heritage Manor,497 Maple Dr,Henderson,Kentucky,42420,Henderson,(859) 250-8939,Skilled Nursing Facility,67,KY55202,Karen Perez,"[37.83762777900096, -87.57093945837097]",Kentucky Cabinet for Health and Family Services
136,Garden Place,9891 Mill St,Elizabethtown,Kentucky,42701,Hardin,(859) 416-7842,Continuing Care Retirement Community,180,KY68885,Linda Taylor,"[37.689160118642306, -85.8582590698283]",Kentucky Cabinet for Health and Family Services
137,Derby Gardens,4404 Church St,Elizabethtown,Kentucky,42701,Hardin,(859) 778-9245,Adult Day Care,100,KY99612,Anthony Anderson,"[37.6848592061024, -85.84261695869353]",Kentucky Cabinet for Health and Family Services
138,Elizabethtown Assisted Living,4533 First St,Elizabethtown,Kentucky,42702,Hardin,(502) 872-4234,Personal Care Home,87,KY87379,Daniel Gonzalez,"[37.7066513367767, -85.878803810781]",Kentucky Cabinet for Health and Family Services
139,Hillside Gardens,5797 Monroe St,Elizabethtown,Kentucky,42702,Hardin,(270) 616-6564,Independent Living,148,KY42420,Daniel Ramirez,"[37.710839192981645, -85.87789720433545]",Kentucky Cabinet for Health and Family Services
140,Pine Gardens,2746 Church St,Elizabethtown,Kentucky,42701,Hardin,(270) 657-4477,Personal Care Home,118,KY57429,Nancy Miller,"[37.6750313759431, -85.86310191731916]",Kentucky Cabinet for Health and Family Services
141,Derby Manor,6421 Kentucky Ave,Elizabethtown,Kentucky,42702,Hardin,(502) 858-8656,Independent Living,148,KY82356,Richard Jackson,"[37.71134756257313, -85.84875522444004]",Kentucky Cabinet for Health and Family Services
142,Manor Nursing Home,9610 Oak Ave,Elizabethtown,Kentucky,42701,Hardin,(502) 722-4922,Continuing Care Retirement Community,178,KY82219,Elizabeth Smith,"[37.69064231456988, -85.86968427553737]",Kentucky Cabinet for Health and Family Services
143,Heritage Villa,1877 Pine Rd,Elizabethtown,Kentucky,42701,Hardin,(364) 944-5098,Continuing Care Retirement Community,133,KY88491,Donald Johnson,"[37.70980569363285, -85.86179623443755]",Kentucky Cabinet for Health and Family Services
144,Elizabethtown Commons,2748 Second St,Elizabethtown,Kentucky,42701,Hardin,(502) 215-9744,Assisted Living,77,KY91352,Karen Clark,"[37.68154712724526, -85.86774062382418]",Kentucky Cabinet for Health and Family Services
145,Hillside Senior Living,3579 Park Ave,Elizabethtown,Kentucky,42702,Hardin,(364) 218-3715,Independent Living,25,KY58126,Donna Harris,"[37.704523880941885, -85.86199626322636]",Kentucky Cabinet for Health and Family Services
146,Frankfort Gardens,1928 First St,Frankfort,Kentucky,40601,Franklin,(502) 412-3724,Adult Day Care,76,KY63901,Lisa Lopez,"[38.1938033285658, -84.86459373683527]",Kentucky Cabinet for Health and Family Services
147,Derby Retirement Community,6417 Jefferson Dr,Frankfort,Kentucky,40601,Franklin,(859) 530-5986,Independent Living,133,KY46826,Christopher Davis,"[38.21053017459398, -84.89148157557477]",Kentucky Cabinet for Health and Family Services
148,Pine Memory Care,7023 Elm St,Frankfort,Kentucky,40602,Franklin,(859) 581-1796,Continuing Care Retirement Community,164,KY39240,Charles Sanchez,"[38.209618391798124, -84.85526560087197]",Kentucky Cabinet for Health and Family Services
149,Kentucky Commons,7462 Cedar Ln,Frankfort,Kentucky,40601,Franklin,(270) 895-2887,Skilled Nursing Facility,90,KY35431,Sandra Miller,"[38.208173560344974, -84.8595979711745]",Kentucky Cabinet for Health and Family Services
150,Heritage Nursing Home,9479 Mill St,Frankfort,Kentucky,40602,Franklin,(270) 552-5910,Continuing Care Retirement Community,67,KY28020,Betty Ramirez,"[38.19405503094771, -84.87170015476849]",Kentucky Cabinet for Health and Family Services
151,Frankfort Nursing Home,9742 Second St,Frankfort,Kentucky,40601,Franklin,(606) 856-9354,Independent Living,149,KY92244,Richard Thompson,"[38.1908015182218, -84.87057855669127]",Kentucky Cabinet for Health and Family Services
152,Frankfort Skilled Nursing,8714 Washington St,Frankfort,Kentucky,40601,Franklin,(859) 211-8134,Continuing Care Retirement Community,60,KY68923,Matthew Lopez,"[38.20084254220032, -84.86614256185518]",Kentucky Cabinet for Health and Family Services
153,Meadow Memory Care,1909 Horse Park Rd,Frankfort,Kentucky,40602,Franklin,(270) 206-4760,Memory Care,37,KY96127,Betty Miller,"[38.20436056829787, -84.8743261855475]",Kentucky Cabinet for Health and Family Services
154,Heritage Center,3073 Kentucky Ave,Frankfort,Kentucky,40601,Franklin,(606) 811-8855,Continuing Care Retirement Community,103,KY46275,Helen Harris,"[38.19123755201379, -84.85883148958004]",Kentucky Cabinet for Health and Family Services
155,Heritage Senior Living,4110 Bourbon St,Frankfort,Kentucky,40601,Franklin,(502) 460-6079,Skilled Nursing Facility,137,KY43058,David Williams,"[38.210952388536086, -84.89282634769407]",Kentucky Cabinet for Health and Family Services
156,Bourbon Health Care,8872 Monroe St,Frankfort,Kentucky,40601,Franklin,(364) 709-2857,Adult Day Care,91,KY90615,Anthony Thompson,"[38.193327514031594, -84.8913445453417]",Kentucky Cabinet for Health and Family Services
157,Garden Senior Living,3340 First St,Frankfort,Kentucky,40602,Franklin,(502) 834-7827,Personal Care Home,116,KY36439,Helen Anderson,"[38.191419506583905, -84.88416768134906]",Kentucky Cabinet for Health and Family Services
158,Court Place,6656 Park Ave,Frankfort,Kentucky,40601,Franklin,(606) 930-3630,Personal Care Home,70,KY53299,Helen Davis,"[38.19775981091409, -84.89302559157942]",Kentucky Cabinet for Health and Family Services
159,Riverside Villa,4803 Pine Rd,Frankfort,Kentucky,40601,Franklin,(502) 790-4753,Continuing Care Retirement Community,69,KY48666,Patricia Hernandez,"[38.211768391185004, -84.8800188000342]",Kentucky Cabinet for Health and Family Services
160,Court Court,138 First St,Frankfort,Kentucky,40602,Franklin,(270) 714-6209,Independent Living,101,KY57908,Mary Martinez,"[38.21194165443753, -84.86194193976513]",Kentucky Cabinet for Health and Family Services
161,Kentucky Villa,2643 Monroe St,Frankfort,Kentucky,40602,Franklin,(364) 481-5727,Assisted Living,101,KY40595,Joseph Brown,"[38.21075474784272, -84.87334159931461]",Kentucky Cabinet for Health and Family Services
162,Oak Gardens,2220 Monroe St,Frankfort,Kentucky,40601,Franklin,(502) 372-4955,Adult Day Care,34,KY79547,Susan Rodriguez,"[38.20983307768182, -84.87510363958896]",Kentucky Cabinet for Health and Family Services
163,Place Nursing Home,8117 Park Ave,Frankfort,Kentucky,40601,Franklin,(270) 497-3208,Adult Day Care,97,KY56392,David Lee,"[38.18766554922654, -84.86398979192101]",Kentucky Cabinet for Health and Family Services
164,Oak Nursing Home,7502 Park Ave,Frankfort,Kentucky,40601,Franklin,(859) 264-3041,Assisted Living,92,KY81901,Richard Garcia,"[38.199401619151146, -84.8850284805711]",Kentucky Cabinet for Health and Family Services
165,Maple Skilled Nursing,5390 Oak Ave,Frankfort,Kentucky,40601,Franklin,(270) 575-2709,Independent Living,77,KY38733,Nancy Lewis,"[38.188561371109785, -84.85375299235962]",Kentucky Cabinet for Health and Family Services
166,Derby Villa,793 Church St,Frankfort,Kentucky,40601,Franklin,(270) 856-9472,Skilled Nursing Facility,161,KY23317,Thomas Moore,"[38.19003928867039, -84.85953914552316]",Kentucky Cabinet for Health and Family Services
167,Manor Villa,7683 Cedar Ln,Frankfort,Kentucky,40602,Franklin,(859) 478-9602,Independent Living,93,KY50048,Patricia Lewis,"[38.20537484507751, -84.88550490356695]",Kentucky Cabinet for Health and Family Services
168,Derby Assisted Living,3126 Second St,Frankfort,Kentucky,40602,Franklin,(859) 542-1328,Adult Day Care,135,KY71002,Helen Robinson,"[38.189536293465245, -84.86343803896848]",Kentucky Cabinet for Health and Family Services
169,Oak Nursing Home,6008 First St,Frankfort,Kentucky,40602,Franklin,(502) 706-8969,Personal Care Home,26,KY23527,Matthew Taylor,"[38.18406570951499, -84.85954332720517]",Kentucky Cabinet for Health and Family Services
170,Paducah Manor,2551 Bourbon St,Paducah,Kentucky,42003,McCracken,(606) 575-4826,Independent Living,119,KY43382,James Taylor,"[37.06847780290836, -88.61788325686202]",Kentucky Cabinet for Health and Family Services
171,Derby Manor,8154 Main St,Paducah,Kentucky,42001,McCracken,(364) 672-3069,Memory Care,115,KY59742,Christopher Perez,"[37.09199301292011, -88.59226123008087]",Kentucky Cabinet for Health and Family Services
172,Kentucky Memory Care,9846 Park Ave,Paducah,Kentucky,42002,McCracken,(270) 653-2027,Independent Living,63,KY26099,Christopher Hernandez,"[37.0805760237987, -88.60275333968984]",Kentucky Cabinet for Health and Family Services
173,Derby Gardens,2705 Bourbon St,Paducah,Kentucky,42001,McCracken,(364) 442-9110,Independent Living,130,KY43663,Patricia Johnson,"[37.09167449320336, -88.60484413946041]",Kentucky Cabinet for Health and Family Services
174,Magnolia Nursing Home,4061 Washington St,Paducah,Kentucky,42003,McCracken,(606) 450-8046,Independent Living,110,KY48312,Matthew Jackson,"[37.086550245344306, -88.58442236122666]",Kentucky Cabinet for Health and Family Services
175,Garden Center,4289 Jefferson Dr,Paducah,Kentucky,42003,McCracken,(859) 752-9289,Adult Day Care,73,KY21733,Donna Gonzalez,"[37.08687765016961, -88.59607965373614]",Kentucky Cabinet for Health and Family Services
176,Paducah Senior Living,9908 First St,Paducah,Kentucky,42003,McCracken,(859) 937-3375,Continuing Care Retirement Community,177,KY81766,Donald Clark,"[37.08349626053747, -88.60939525212241]",Kentucky Cabinet for Health and Family Services
177,Magnolia Villa,9312 Bluegrass Blvd,Paducah,Kentucky,42001,McCracken,(502) 358-3509,Memory Care,89,KY23453,David Moore,"[37.08799519812939, -88.58308057112791]",Kentucky Cabinet for Health and Family Services
178,Maple Commons,8289 Bourbon St,Paducah,Kentucky,42003,McCracken,(502) 573-8465,Personal Care Home,117,KY65632,Anthony Miller,"[37.0924048804451, -88.6062873099725]",Kentucky Cabinet for Health and Family Services
179,Magnolia Health Care,5773 Mill St,Paducah,Kentucky,42002,McCracken,(859) 707-9630,Independent Living,48,KY60185,Donald Lopez,"[37.075871545681935, -88.60280755552166]",Kentucky Cabinet for Health and Family Services
180,Meadow Place,3747 Bourbon St,Paducah,Kentucky,42003,McCracken,(364) 705-8084,Independent Living,143,KY94758,Jessica Robinson,"[37.06802419951348, -88.59247199931477]",Kentucky Cabinet for Health and Family Services
181,Oak Villa,1091 Pine Rd,Paducah,Kentucky,42001,McCracken,(364) 750-9631,Adult Day Care,113,KY39697,Richard Jones,"[37.10232835638123, -88.61594219580304]",Kentucky Cabinet for Health and Family Services
182,Nicholasville Court,7408 Park Ave,Nicholasville,Kentucky,40356,Jessamine,(364) 306-2621,Independent Living,151,KY58874,Donna Lee,"[37.87468101006041, -84.56150160077965]",Kentucky Cabinet for Health and Family Services
183,Bluegrass Memory Care,9353 Bourbon St,Nicholasville,Kentucky,40356,Jessamine,(502) 678-5883,Memory Care,159,KY39119,Helen Sanchez,"[37.87579357004993, -84.58681460005837]",Kentucky Cabinet for Health and Family Services
184,Nicholasville Manor,7643 Derby Dr,Nicholasville,Kentucky,40356,Jessamine,(502) 293-2237,Assisted Living,77,KY76017,Matthew Jones,"[37.87864122266188, -84.58337961076221]",Kentucky Cabinet for Health and Family Services
185,Nicholasville Commons,8704 Oak Ave,Nicholasville,Kentucky,40356,Jessamine,(606) 554-7052,Skilled Nursing Facility,96,KY79491,Jessica Jones,"[37.88945202820333, -84.56400474396789]",Kentucky Cabinet for Health and Family Services
186,Riverside Manor,8078 Cedar Ln,Nicholasville,Kentucky,40356,Jessamine,(270) 288-9634,Adult Day Care,95,KY14192,Elizabeth Lopez,"[37.892704103224034, -84.56311622453354]",Kentucky Cabinet for Health and Family Services
187,Pine Memory Care,8125 Main St,Nicholasville,Kentucky,40356,Jessamine,(606) 793-2802,Memory Care,129,KY90384,James Wilson,"[37.8752993907316, -84.57354801638058]",Kentucky Cabinet for Health and Family Services
188,Maple Gardens,999 Jefferson Dr,Nicholasville,Kentucky,40356,Jessamine,(502) 513-3687,Memory Care,57,KY73792,John Robinson,"[37.888032201849676, -84.58185603729423]",Kentucky Cabinet for Health and Family Services
189,Heritage Court,2538 Second St,Nicholasville,Kentucky,40356,Jessamine,(270) 643-2875,Assisted Living,146,KY11016,Sarah Lopez,"[37.86591558178352, -84.57293435619572]",Kentucky Cabinet for Health and Family Services
190,Nicholasville Nursing Home,1594 Monroe St,Nicholasville,Kentucky,40356,Jessamine,(270) 994-1263,Continuing Care Retirement Community,145,KY40531,Barbara Anderson,"[37.87572627933538, -84.57261370651368]",Kentucky Cabinet for Health and Family Services
191,Court Nursing Home,4410 Cedar Ln,Nicholasville,Kentucky,40356,Jessamine,(502) 261-7140,Adult Day Care,31,KY23813,Jessica Harris,"[37.871874308224115, -84.56688090642376]",Kentucky Cabinet for Health and Family Services
192,Sunset Manor,3367 Elm St,Ashland,Kentucky,41101,Boyd,(270) 847-5100,Memory Care,176,KY46336,Nancy Brown,"[38.49679989125722, -82.65173222341838]",Kentucky Cabinet for Health and Family Services
193,Sunset Commons,1406 Washington St,Ashland,Kentucky,41102,Boyd,(270) 818-6941,Memory Care,162,KY12718,Matthew Garcia,"[38.4684414846564, -82.65068806909012]",Kentucky Cabinet for Health and Family Services
194,Garden Court,3610 Washington St,Ashland,Kentucky,41101,Boyd,(364) 920-3515,Personal Care Home,124,KY46433,David Brown,"[38.49708916585123, -82.62735029620403]",Kentucky Cabinet for Health and Family Services
195,Golden Center,3078 Maple Dr,Ashland,Kentucky,41101,Boyd,(364) 942-7934,Memory Care,55,KY33335,Michael Jones,"[38.45889345554165, -82.61884284693659]",Kentucky Cabinet for Health and Family Services
196,Court Retirement Community,6118 Lincoln Ave,Ashland,Kentucky,41105,Boyd,(364) 339-6575,Adult Day Care,73,KY27837,Donna Wilson,"[38.46392901187881, -82.64471734098512]",Kentucky Cabinet for Health and Family Services
197,Ashland Senior Living,1555 Maple Dr,Ashland,Kentucky,41102,Boyd,(270) 403-2765,Adult Day Care,116,KY58217,Barbara Martin,"[38.46648298644239, -82.6301440246103]",Kentucky Cabinet for Health and Family Services
198,Court Commons,1110 Pine Rd,Ashland,Kentucky,41101,Boyd,(859) 929-2134,Independent Living,36,KY94769,Elizabeth Lopez,"[38.46105415179332, -82.64316645441576]",Kentucky Cabinet for Health and Family Services
199,Ashland Senior Living,1347 Park Ave,Ashland,Kentucky,41105,Boyd,(859) 211-6592,Skilled Nursing Facility,52,KY14069,Donna Perez,"[38.477674559954714, -82.64027015323235]",Kentucky Cabinet for Health and Family Services
200,Magnolia Commons,5547 Oak Ave,Ashland,Kentucky,41105,Boyd,(859) 581-4233,Adult Day Care,150,KY92564,Karen Brown,"[38.47066160002859, -82.6554049503749]",Kentucky Cabinet for Health and Family Services
201,Heritage Gardens,8751 First St,Ashland,Kentucky,41105,Boyd,(859) 213-7672,Adult Day Care,149,KY35704,Charles Walker,"[38.46026155634602, -82.65447787431313]",Kentucky Cabinet for Health and Family Services
202,Ashland Center,4956 Second St,Ashland,Kentucky,41105,Boyd,(859) 271-2425,Independent Living,57,KY53651,Karen Anderson,"[38.4617050734139, -82.6442948098921]",Kentucky Cabinet for Health and Family Services
203,Ashland Court,2533 Second St,Ashland,Kentucky,41105,Boyd,(606) 867-2522,Adult Day Care,125,KY54702,Mary Jones,"[38.49462392515278, -82.6533063070956]",Kentucky Cabinet for Health and Family Services
204,Ashland Skilled Nursing,7149 Bourbon St,Ashland,Kentucky,41105,Boyd,(606) 908-7659,Continuing Care Retirement Community,49,KY39353,Thomas Clark,"[38.48869870307859, -82.62883968865616]",Kentucky Cabinet for Health and Family Services
205,Garden Place,9973 Kentucky Ave,Ashland,Kentucky,41105,Boyd,(502) 778-1562,Continuing Care Retirement Community,131,KY47696,Charles Martinez,"[38.473867218431295, -82.65121206526901]",Kentucky Cabinet for Health and Family Services
206,Golden Nursing Home,7186 Park Ave,Ashland,Kentucky,41102,Boyd,(270) 476-5206,Personal Care Home,174,KY59120,Sarah Hernandez,"[38.465651693226796, -82.65295379815969]",Kentucky Cabinet for Health and Family Services
207,Ashland Villa,209 First St,Ashland,Kentucky,41105,Boyd,(270) 601-5555,Continuing Care Retirement Community,164,KY50992,Daniel Walker,"[38.47428373870797, -82.65142890824335]",Kentucky Cabinet for Health and Family Services
208,Heritage Skilled Nursing,4712 Monroe St,Ashland,Kentucky,41105,Boyd,(270) 310-3600,Memory Care,99,KY55291,Betty Thomas,"[38.47284846440007, -82.62597446509795]",Kentucky Cabinet for Health and Family Services
209,Ashland Villa,3821 Main St,Ashland,Kentucky,41102,Boyd,(859) 779-8247,Skilled Nursing Facility,134,KY19806,Michael Anderson,"[38.46368047555769, -82.6542744325351]",Kentucky Cabinet for Health and Family Services
210,Kentucky Manor,5408 Third St,Ashland,Kentucky,41101,Boyd,(502) 434-9062,Independent Living,170,KY36372,David Wilson,"[38.48197972547185, -82.619267272882]",Kentucky Cabinet for Health and Family Services
211,Ashland Center,9318 Kentucky Ave,Ashland,Kentucky,41102,Boyd,(502) 778-3757,Assisted Living,122,KY87941,Elizabeth Lopez,"[38.49184054990448, -82.6513774622411]",Kentucky Cabinet for Health and Family Services
212,Magnolia Memory Care,3495 Second St,Ashland,Kentucky,41101,Boyd,(364) 813-5346,Independent Living,168,KY12646,Sarah Lee,"[38.474599620781795, -82.63480360600659]",Kentucky Cabinet for Health and Family Services
213,Heritage Nursing Home,5889 Cedar Ln,Ashland,Kentucky,41105,Boyd,(502) 890-4353,Memory Care,176,KY50588,Richard Lee,"[38.481213514050694, -82.62441782479932]",Kentucky Cabinet for Health and Family Services
214,Garden Manor,8652 Third St,Ashland,Kentucky,41102,Boyd,(502) 260-9955,Adult Day Care,127,KY32194,Barbara Thomas,"[38.49692073595615, -82.63510814410795]",Kentucky Cabinet for Health and Family Services
215,Manor Manor,5095 Third St,Ashland,Kentucky,41102,Boyd,(502) 950-2436,Continuing Care Retirement Community,59,KY74561,Thomas Lee,"[38.47396842211353, -82.6539129014845]",Kentucky Cabinet for Health and Family Services
216,Place Court,9520 Mill St,Madisonville,Kentucky,42431,Hopkins,(270) 453-7857,Adult Day Care,35,KY64149,Matthew Taylor,"[37.31077721326428, -87.4797323237788]",Kentucky Cabinet for Health and Family Services
217,Garden Senior Living,3925 Maple Dr,Madisonville,Kentucky,42431,Hopkins,(270) 380-1265,Skilled Nursing Facility,119,KY42847,John Smith,"[37.31587078126038, -87.48462538600091]",Kentucky Cabinet for Health and Family Services
218,Pine Memory Care,1838 Bluegrass Blvd,Madisonville,Kentucky,42431,Hopkins,(270) 940-5355,Adult Day Care,88,KY61578,John Jackson,"[37.33295935857702, -87.48973267514684]",Kentucky Cabinet for Health and Family Services
219,Madisonville Gardens,1802 Mill St,Madisonville,Kentucky,42431,Hopkins,(859) 832-7237,Continuing Care Retirement Community,175,KY84275,Elizabeth Hernandez,"[37.34645717543438, -87.49070335219602]",Kentucky Cabinet for Health and Family Services
220,Golden Villa,4036 Second St,Madisonville,Kentucky,42431,Hopkins,(859) 693-6824,Adult Day Care,141,KY22047,Mary Miller,"[37.33321590489374, -87.51616357015756]",Kentucky Cabinet for Health and Family Services
221,Madisonville Villa,5220 Park Ave,Madisonville,Kentucky,42431,Hopkins,(859) 820-4481,Adult Day Care,120,KY78443,Sarah Martin,"[37.32511909281334, -87.51579479721943]",Kentucky Cabinet for Health and Family Services
222,Magnolia Retirement Community,4920 Horse Park Rd,Madisonville,Kentucky,42431,Hopkins,(859) 403-4087,Assisted Living,100,KY92017,Barbara Lopez,"[37.34497684590433, -87.49225405179234]",Kentucky Cabinet for Health and Family Services
223,Heritage Manor,4859 Cedar Ln,Madisonville,Kentucky,42431,Hopkins,(859) 403-8339,Assisted Living,129,KY15756,Michael Ramirez,"[37.3252402540295, -87.50638507715699]",Kentucky Cabinet for Health and Family Services
224,Golden Center,8253 Park Ave,Madisonville,Kentucky,42431,Hopkins,(606) 775-1041,Continuing Care Retirement Community,78,KY63076,John Hernandez,"[37.33951777516288, -87.48788375200556]",Kentucky Cabinet for Health and Family Services
225,Thoroughbred Commons,7316 Third St,Madisonville,Kentucky,42431,Hopkins,(364) 401-2932,Adult Day Care,122,KY84932,Sandra Lewis,"[37.3382297980357, -87.49478048302191]",Kentucky Cabinet for Health and Family Services
226,Murray Retirement Community,7567 Madison Rd,Murray,Kentucky,42071,Calloway,(364) 289-4783,Personal Care Home,35,KY76122,Donna Lewis,"[36.61242172096373, -88.32894113520508]",Kentucky Cabinet for Health and Family Services
227,Murray Gardens,935 Mill St,Murray,Kentucky,42071,Calloway,(364) 560-8595,Assisted Living,128,KY22711,Nancy Lopez,"[36.62977906805707, -88.29555293662102]",Kentucky Cabinet for Health and Family Services
228,Magnolia Place,4662 Lincoln Ave,Murray,Kentucky,42071,Calloway,(606) 901-1128,Adult Day Care,61,KY51371,Thomas Martin,"[36.59157546093563, -88.31221718202917]",Kentucky Cabinet for Health and Family Services
229,Hillside Villa,8480 Church St,Murray,Kentucky,42071,Calloway,(859) 989-8081,Skilled Nursing Facility,154,KY37024,Donna Lopez,"[36.61633822245307, -88.334395483401]",Kentucky Cabinet for Health and Family Services
230,Kentucky Health Care,3032 Cedar Ln,Murray,Kentucky,42071,Calloway,(364) 560-6219,Skilled Nursing Facility,51,KY53787,Barbara Robinson,"[36.60172415041605, -88.32257260009831]",Kentucky Cabinet for Health and Family Services
231,Maple Gardens,991 Cedar Ln,Murray,Kentucky,42071,Calloway,(270) 976-8669,Independent Living,143,KY53636,William Robinson,"[36.61869073206308, -88.3273364657961]",Kentucky Cabinet for Health and Family Services
232,Manor Villa,1092 Third St,Murray,Kentucky,42071,Calloway,(859) 863-9871,Personal Care Home,109,KY10890,Richard Robinson,"[36.605969863259666, -88.31501597955769]",Kentucky Cabinet for Health and Family Services
233,Magnolia Nursing Home,8116 Bluegrass Blvd,Murray,Kentucky,42071,Calloway,(502) 274-6905,Continuing Care Retirement Community,117,KY45332,Sandra Gonzalez,"[36.59616615208874, -88.3226712272252]",Kentucky Cabinet for Health and Family Services
234,Murray Court,8366 Mill St,Murray,Kentucky,42071,Calloway,(859) 557-6307,Independent Living,118,KY45277,Nancy Jackson,"[36.615293940176116, -88.33300695079335]",Kentucky Cabinet for Health and Family Services
235,Garden Nursing Home,9519 Park Ave,Murray,Kentucky,42071,Calloway,(364) 880-9163,Adult Day Care,47,KY44568,Sandra Lopez,"[36.60764245515711, -88.30702857970948]",Kentucky Cabinet for Health and Family Services
236,Magnolia Assisted Living,1722 Elm St,Murray,Kentucky,42071,Calloway,(859) 272-6396,Independent Living,33,KY49583,Robert Anderson,"[36.59607426915487, -88.30574574029488]",Kentucky Cabinet for Health and Family Services
237,Court Nursing Home,6034 Maple Dr,Danville,Kentucky,40422,Boyle,(606) 378-4234,Independent Living,47,KY44095,Sarah Thomas,"[37.66237495017046, -84.76131385120262]",Kentucky Cabinet for Health and Family Services
238,Danville Senior Living,8961 Park Ave,Danville,Kentucky,40423,Boyle,(859) 770-8622,Assisted Living,96,KY71121,Thomas Walker,"[37.636723432159975, -84.78709144046329]",Kentucky Cabinet for Health and Family Services
239,Place Commons,3771 Monroe St,Danville,Kentucky,40423,Boyle,(859) 760-3629,Adult Day Care,133,KY14568,John Martinez,"[37.65688435784866, -84.7877667241282]",Kentucky Cabinet for Health and Family Services
240,Maple Gardens,707 Monroe St,Danville,Kentucky,40422,Boyle,(502) 470-1328,Independent Living,37,KY89043,Helen Lopez,"[37.65768266492417, -84.7827215736818]",Kentucky Cabinet for Health and Family Services
241,Golden Skilled Nursing,7218 Madison Rd,Danville,Kentucky,40423,Boyle,(859) 548-5518,Continuing Care Retirement Community,139,KY87014,James Miller,"[37.64097064724533, -84.76135330645478]",Kentucky Cabinet for Health and Family Services
242,Bluegrass Senior Living,1488 Cedar Ln,Danville,Kentucky,40422,Boyle,(364) 927-3043,Continuing Care Retirement Community,46,KY77089,Mary Thomas,"[37.651089500447114, -84.78662102752571]",Kentucky Cabinet for Health and Family Services
243,Danville Commons,9832 Main St,Danville,Kentucky,40423,Boyle,(270) 716-9693,Continuing Care Retirement Community,165,KY99774,John Walker,"[37.62947075421255, -84.78788531817585]",Kentucky Cabinet for Health and Family Services
244,Sunset Court,5341 Second St,Danville,Kentucky,40422,Boyle,(859) 765-5768,Adult Day Care,178,KY92548,Helen Sanchez,"[37.6325931230389, -84.77856457766737]",Kentucky Cabinet for Health and Family Services
245,Danville Assisted Living,4039 Madison Rd,Danville,Kentucky,40422,Boyle,(270) 646-9070,Personal Care Home,92,KY86176,Susan Rodriguez,"[37.63006619154169, -84.75516328641866]",Kentucky Cabinet for Health and Family Services
246,Thoroughbred Retirement Community,4344 Park Ave,Danville,Kentucky,40423,Boyle,(502) 295-1933,Skilled Nursing Facility,42,KY14790,Donald Gonzalez,"[37.66236790906645, -84.77047544750161]",Kentucky Cabinet for Health and Family Services
247,Meadow Memory Care,8501 First St,Danville,Kentucky,40423,Boyle,(270) 903-2259,Skilled Nursing Facility,116,KY28960,Richard Martin,"[37.660819878433294, -84.76174667078868]",Kentucky Cabinet for Health and Family Services
248,Riverside Nursing Home,7637 Horse Park Rd,Danville,Kentucky,40423,Boyle,(502) 928-3489,Independent Living,120,KY55318,David Perez,"[37.639178734458724, -84.75786845513977]",Kentucky Cabinet for Health and Family Services
249,Bluegrass Health Care,9427 Monroe St,Danville,Kentucky,40423,Boyle,(270) 518-6235,Skilled Nursing Facility,99,KY72898,Daniel Perez,"[37.62924790013485, -84.7640179089278]",Kentucky Cabinet for Health and Family Services
