id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Hoosier Heritage Manor,1000 Main Street,Decatur,Adams,IN,46001,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30001,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
150,Circle City Manor,1300 Lincoln Avenue,Brookville,Franklin,IN,46150,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30150,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.franklin-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
151,Corn Belt Commons,1400 Oak Street,Brookville,Franklin,IN,46151,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30151,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.franklin-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
152,Indiana Crossroads,1500 Maple Avenue,Brookville,Franklin,IN,46152,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30152,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.franklin-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
153,Hoosier Heritage Manor,1000 Main Street,Rochester,Fulton,IN,46153,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30153,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.fulton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
154,Crossroads Commons,1100 State Street,Rochester,Fulton,IN,46154,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30154,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.fulton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
155,Wabash Valley Care,1200 Washington Street,Rochester,Fulton,IN,46155,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30155,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.fulton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
156,Circle City Manor,1300 Lincoln Avenue,Rochester,Fulton,IN,46156,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30156,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.fulton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
157,Corn Belt Commons,1400 Oak Street,Rochester,Fulton,IN,46157,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30157,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.fulton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
158,Indiana Crossroads,1500 Maple Avenue,Rochester,Fulton,IN,46158,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30158,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.fulton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
159,Hoosier Heritage Manor,1000 Main Street,Princeton,Gibson,IN,46159,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30159,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.gibson-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
160,Crossroads Commons,1100 State Street,Princeton,Gibson,IN,46160,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30160,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.gibson-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
161,Wabash Valley Care,1200 Washington Street,Princeton,Gibson,IN,46161,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30161,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.gibson-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
162,Circle City Manor,1300 Lincoln Avenue,Princeton,Gibson,IN,46162,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30162,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.gibson-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
163,Corn Belt Commons,1400 Oak Street,Princeton,Gibson,IN,46163,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30163,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.gibson-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
164,Indiana Crossroads,1500 Maple Avenue,Princeton,Gibson,IN,46164,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30164,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.gibson-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
165,Hoosier Heritage Manor,1000 Main Street,Marion,Grant,IN,46165,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30165,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.grant-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.4181,-85.72040000000001
166,Crossroads Commons,1100 State Street,Marion,Grant,IN,46166,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30166,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.grant-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.4281,-85.7104
167,Wabash Valley Care,1200 Washington Street,Marion,Grant,IN,46167,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30167,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.grant-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.4381,-85.7004
168,Circle City Manor,1300 Lincoln Avenue,Marion,Grant,IN,46168,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30168,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.grant-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.4481,-85.69040000000001
169,Corn Belt Commons,1400 Oak Street,Marion,Grant,IN,46169,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30169,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.grant-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.4581,-85.6804
170,Indiana Crossroads,1500 Maple Avenue,Marion,Grant,IN,46170,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30170,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.grant-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.4681,-85.6704
171,Hoosier Heritage Manor,1000 Main Street,Bloomfield,Greene,IN,46171,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30171,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.greene-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
172,Crossroads Commons,1100 State Street,Bloomfield,Greene,IN,46172,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30172,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.greene-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
173,Wabash Valley Care,1200 Washington Street,Bloomfield,Greene,IN,46173,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30173,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.greene-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
174,Circle City Manor,1300 Lincoln Avenue,Bloomfield,Greene,IN,46174,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30174,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.greene-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
175,Corn Belt Commons,1400 Oak Street,Bloomfield,Greene,IN,46175,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30175,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.greene-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
176,Indiana Crossroads,1500 Maple Avenue,Bloomfield,Greene,IN,46176,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30176,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.greene-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
177,Hoosier Heritage Manor,1000 Main Street,Carmel,Hamilton,IN,46177,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30177,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.hamilton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.9926,-86.1481
178,Crossroads Commons,1100 State Street,Carmel,Hamilton,IN,46178,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30178,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.hamilton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.0026,-86.1381
179,Wabash Valley Care,1200 Washington Street,Carmel,Hamilton,IN,46179,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30179,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.hamilton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.0126,-86.12809999999999
180,Circle City Manor,1300 Lincoln Avenue,Carmel,Hamilton,IN,46180,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30180,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.hamilton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.0226,-86.1181
181,Corn Belt Commons,1400 Oak Street,Carmel,Hamilton,IN,46181,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30181,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.hamilton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.0326,-86.1081
182,Indiana Crossroads,1500 Maple Avenue,Carmel,Hamilton,IN,46182,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30182,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.hamilton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.0426,-86.09809999999999
183,Limestone Ridge,1600 Pine Street,Carmel,Hamilton,IN,46183,(323) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,IN-ALF-30183,Indiana State Department of Health,2024-09-07,81,True,True,False,https://www.hamilton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.0526,-86.0881
184,Prairie Creek Manor,1700 Cedar Avenue,Carmel,Hamilton,IN,46184,(324) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,IN-ALF-30184,Indiana State Department of Health,2024-10-08,82,False,False,False,https://www.hamilton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.0626,-86.07809999999999
185,Heartland Village,1800 First Street,Carmel,Hamilton,IN,46185,(325) 408-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,IN-ALF-30185,Indiana State Department of Health,2024-11-09,83,False,True,True,https://www.hamilton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.0726,-86.1481
186,Maple Grove Manor,1900 Second Street,Carmel,Hamilton,IN,46186,(326) 409-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,IN-ALF-30186,Indiana State Department of Health,2024-03-10,84,True,False,False,https://www.hamilton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.0826,-86.1381
187,Hoosier Heritage Manor,1000 Main Street,Greenfield,Hancock,IN,46187,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30187,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.hancock-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
188,Crossroads Commons,1100 State Street,Greenfield,Hancock,IN,46188,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30188,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.hancock-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
189,Wabash Valley Care,1200 Washington Street,Greenfield,Hancock,IN,46189,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30189,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.hancock-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
190,Circle City Manor,1300 Lincoln Avenue,Greenfield,Hancock,IN,46190,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30190,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.hancock-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
191,Corn Belt Commons,1400 Oak Street,Greenfield,Hancock,IN,46191,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30191,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.hancock-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
192,Indiana Crossroads,1500 Maple Avenue,Greenfield,Hancock,IN,46192,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30192,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.hancock-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
193,Hoosier Heritage Manor,1000 Main Street,Corydon,Harrison,IN,46193,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30193,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.harrison-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
194,Crossroads Commons,1100 State Street,Corydon,Harrison,IN,46194,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30194,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.harrison-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
195,Wabash Valley Care,1200 Washington Street,Corydon,Harrison,IN,46195,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30195,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.harrison-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
196,Circle City Manor,1300 Lincoln Avenue,Corydon,Harrison,IN,46196,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30196,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.harrison-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
197,Corn Belt Commons,1400 Oak Street,Corydon,Harrison,IN,46197,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30197,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.harrison-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
198,Indiana Crossroads,1500 Maple Avenue,Corydon,Harrison,IN,46198,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30198,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.harrison-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
199,Hoosier Heritage Manor,1000 Main Street,Danville,Hendricks,IN,46199,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30199,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.hendricks-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.6195,-86.5664
200,Crossroads Commons,1100 State Street,Danville,Hendricks,IN,46200,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30200,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.hendricks-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.6295,-86.5564
201,Wabash Valley Care,1200 Washington Street,Danville,Hendricks,IN,46201,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30201,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.hendricks-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.6395,-86.54639999999999
202,Circle City Manor,1300 Lincoln Avenue,Danville,Hendricks,IN,46202,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30202,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.hendricks-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.649499999999996,-86.5364
203,Corn Belt Commons,1400 Oak Street,Danville,Hendricks,IN,46203,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30203,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.hendricks-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.6595,-86.5264
204,Indiana Crossroads,1500 Maple Avenue,Danville,Hendricks,IN,46204,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30204,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.hendricks-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.6695,-86.51639999999999
205,Limestone Ridge,1600 Pine Street,Danville,Hendricks,IN,46205,(323) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,IN-ALF-30205,Indiana State Department of Health,2024-09-07,81,True,True,False,https://www.hendricks-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.6795,-86.5064
206,Prairie Creek Manor,1700 Cedar Avenue,Danville,Hendricks,IN,46206,(324) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,IN-ALF-30206,Indiana State Department of Health,2024-10-08,82,False,False,False,https://www.hendricks-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.6895,-86.4964
207,Hoosier Heritage Manor,1000 Main Street,New Castle,Henry,IN,46207,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30207,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.henry-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
208,Crossroads Commons,1100 State Street,New Castle,Henry,IN,46208,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30208,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.henry-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
209,Wabash Valley Care,1200 Washington Street,New Castle,Henry,IN,46209,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30209,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.henry-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
210,Circle City Manor,1300 Lincoln Avenue,New Castle,Henry,IN,46210,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30210,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.henry-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
211,Corn Belt Commons,1400 Oak Street,New Castle,Henry,IN,46211,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30211,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.henry-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
212,Indiana Crossroads,1500 Maple Avenue,New Castle,Henry,IN,46212,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30212,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.henry-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
213,Hoosier Heritage Manor,1000 Main Street,Kokomo,Howard,IN,46213,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30213,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.howard-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.436400000000006,-86.17490000000001
214,Crossroads Commons,1100 State Street,Kokomo,Howard,IN,46214,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30214,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.howard-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.446400000000004,-86.1649
215,Wabash Valley Care,1200 Washington Street,Kokomo,Howard,IN,46215,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30215,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.howard-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.4564,-86.1549
216,Circle City Manor,1300 Lincoln Avenue,Kokomo,Howard,IN,46216,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30216,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.howard-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.4664,-86.1449
217,Corn Belt Commons,1400 Oak Street,Kokomo,Howard,IN,46217,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30217,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.howard-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.476400000000005,-86.1349
218,Indiana Crossroads,1500 Maple Avenue,Kokomo,Howard,IN,46218,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30218,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.howard-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.4864,-86.1249
219,Hoosier Heritage Manor,1000 Main Street,Huntington,Huntington,IN,46219,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30219,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.huntington-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
220,Crossroads Commons,1100 State Street,Huntington,Huntington,IN,46220,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30220,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.huntington-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
221,Wabash Valley Care,1200 Washington Street,Huntington,Huntington,IN,46221,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30221,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.huntington-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
222,Circle City Manor,1300 Lincoln Avenue,Huntington,Huntington,IN,46222,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30222,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.huntington-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
223,Corn Belt Commons,1400 Oak Street,Huntington,Huntington,IN,46223,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30223,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.huntington-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
224,Indiana Crossroads,1500 Maple Avenue,Huntington,Huntington,IN,46224,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30224,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.huntington-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
225,Hoosier Heritage Manor,1000 Main Street,Seymour,Jackson,IN,46225,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30225,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.jackson-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
226,Crossroads Commons,1100 State Street,Seymour,Jackson,IN,46226,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30226,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.jackson-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
227,Wabash Valley Care,1200 Washington Street,Seymour,Jackson,IN,46227,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30227,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.jackson-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
228,Circle City Manor,1300 Lincoln Avenue,Seymour,Jackson,IN,46228,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30228,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.jackson-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
229,Corn Belt Commons,1400 Oak Street,Seymour,Jackson,IN,46229,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30229,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.jackson-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
230,Indiana Crossroads,1500 Maple Avenue,Seymour,Jackson,IN,46230,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30230,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.jackson-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
231,Hoosier Heritage Manor,1000 Main Street,Rensselaer,Jasper,IN,46231,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30231,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.jasper-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
232,Crossroads Commons,1100 State Street,Rensselaer,Jasper,IN,46232,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30232,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.jasper-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
233,Wabash Valley Care,1200 Washington Street,Rensselaer,Jasper,IN,46233,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30233,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.jasper-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
234,Circle City Manor,1300 Lincoln Avenue,Rensselaer,Jasper,IN,46234,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30234,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.jasper-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
