id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Mountain View Manor,1000 Main Street,Philippi,Barbour,WV,25001,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25001,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.barbour-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.1064,-80.0854
78,Coal Country Commons,1200 Appalachian Boulevard,Moorefield,Grant,WV,25078,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25078,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.grant-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2464,-79.1454
79,Mountaineer Village,1300 Coal Street,Milam,Grant,WV,25079,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25079,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.grant-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2564,-79.1354
80,Charleston Manor,1400 Mountaineer Drive,Medley,Grant,WV,25080,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25080,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.grant-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.266400000000004,-79.1254
81,Mountain View Manor,1000 Main Street,Lewisburg,Greenbrier,WV,25081,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25081,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.greenbrier-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,37.876400000000004,-80.48540000000001
82,Appalachian Village,1100 Mountain Avenue,White Sulphur Springs,Greenbrier,WV,25082,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25082,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.greenbrier-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,37.8864,-80.47540000000001
83,Coal Country Commons,1200 Appalachian Boulevard,Ronceverte,Greenbrier,WV,25083,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25083,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.greenbrier-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,37.8964,-80.4654
84,Mountaineer Village,1300 Coal Street,Alderson,Greenbrier,WV,25084,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25084,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.greenbrier-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,37.9064,-80.45540000000001
85,Charleston Manor,1400 Mountaineer Drive,Fairlea,Greenbrier,WV,25085,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25085,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.greenbrier-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,37.9164,-80.4454
86,Huntington Commons,1500 Charleston Avenue,Lewisburg,Greenbrier,WV,25086,(304) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,WV-ALF-25086,West Virginia Department of Health and Human Resources,2024-08-06,85,False,False,False,https://www.greenbrier-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,37.9264,-80.4354
87,Morgantown Village,1600 Huntington Boulevard,White Sulphur Springs,Greenbrier,WV,25087,(304) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,WV-ALF-25087,West Virginia Department of Health and Human Resources,2024-09-07,86,True,True,False,https://www.greenbrier-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,37.9364,-80.42540000000001
88,Martinsburg Manor,1700 Morgantown Street,Ronceverte,Greenbrier,WV,25088,(304) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,WV-ALF-25088,West Virginia Department of Health and Human Resources,2024-10-08,87,False,False,False,https://www.greenbrier-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,37.946400000000004,-80.4154
89,Mountain View Manor,1000 Main Street,Romney,Hampshire,WV,25089,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25089,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.hampshire-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2764,-78.6854
90,Appalachian Village,1100 Mountain Avenue,Capon Bridge,Hampshire,WV,25090,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25090,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.hampshire-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2864,-78.6754
91,Coal Country Commons,1200 Appalachian Boulevard,Paw Paw,Hampshire,WV,25091,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25091,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.hampshire-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2964,-78.66539999999999
92,Mountaineer Village,1300 Coal Street,Springfield,Hampshire,WV,25092,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25092,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.hampshire-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.3064,-78.6554
93,Charleston Manor,1400 Mountaineer Drive,Augusta,Hampshire,WV,25093,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25093,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.hampshire-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.3164,-78.6454
94,Huntington Commons,1500 Charleston Avenue,Romney,Hampshire,WV,25094,(304) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,WV-ALF-25094,West Virginia Department of Health and Human Resources,2024-08-06,85,False,False,False,https://www.hampshire-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.3264,-78.63539999999999
95,Morgantown Village,1600 Huntington Boulevard,Capon Bridge,Hampshire,WV,25095,(304) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,WV-ALF-25095,West Virginia Department of Health and Human Resources,2024-09-07,86,True,True,False,https://www.hampshire-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.3364,-78.6254
96,Martinsburg Manor,1700 Morgantown Street,Paw Paw,Hampshire,WV,25096,(304) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,WV-ALF-25096,West Virginia Department of Health and Human Resources,2024-10-08,87,False,False,False,https://www.hampshire-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.3464,-78.6154
97,Mountain View Manor,1000 Main Street,New Cumberland,Hancock,WV,25097,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25097,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.hancock-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,40.476400000000005,-80.62540000000001
98,Appalachian Village,1100 Mountain Avenue,Chester,Hancock,WV,25098,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25098,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.hancock-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,40.4864,-80.61540000000001
99,Coal Country Commons,1200 Appalachian Boulevard,Newell,Hancock,WV,25099,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25099,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.hancock-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,40.4964,-80.6054
100,Mountaineer Village,1300 Coal Street,Weirton,Hancock,WV,25100,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25100,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.hancock-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,40.5064,-80.59540000000001
101,Charleston Manor,1400 Mountaineer Drive,Oak Point,Hancock,WV,25101,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25101,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.hancock-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,40.516400000000004,-80.5854
102,Mountain View Manor,1000 Main Street,Moorefield,Hardy,WV,25102,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25102,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.hardy-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.976400000000005,-78.9054
103,Appalachian Village,1100 Mountain Avenue,Wardensville,Hardy,WV,25103,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25103,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.hardy-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.9864,-78.8954
104,Coal Country Commons,1200 Appalachian Boulevard,Baker,Hardy,WV,25104,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25104,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.hardy-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.9964,-78.88539999999999
105,Mountaineer Village,1300 Coal Street,Mathias,Hardy,WV,25105,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25105,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.hardy-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.0064,-78.8754
106,Charleston Manor,1400 Mountaineer Drive,Lost River,Hardy,WV,25106,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25106,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.hardy-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.016400000000004,-78.8654
107,Mountain View Manor,1000 Main Street,Clarksburg,Harrison,WV,25107,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25107,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.harrison-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.226400000000005,-80.4054
108,Appalachian Village,1100 Mountain Avenue,Bridgeport,Harrison,WV,25108,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25108,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.harrison-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2364,-80.3954
109,Coal Country Commons,1200 Appalachian Boulevard,Shinnston,Harrison,WV,25109,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25109,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.harrison-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2464,-80.38539999999999
110,Mountaineer Village,1300 Coal Street,Stonewood,Harrison,WV,25110,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25110,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.harrison-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2564,-80.3754
111,Charleston Manor,1400 Mountaineer Drive,Nutter Fort,Harrison,WV,25111,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25111,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.harrison-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.266400000000004,-80.3654
112,Huntington Commons,1500 Charleston Avenue,Clarksburg,Harrison,WV,25112,(304) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,WV-ALF-25112,West Virginia Department of Health and Human Resources,2024-08-06,85,False,False,False,https://www.harrison-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2764,-80.35539999999999
113,Morgantown Village,1600 Huntington Boulevard,Bridgeport,Harrison,WV,25113,(304) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,WV-ALF-25113,West Virginia Department of Health and Human Resources,2024-09-07,86,True,True,False,https://www.harrison-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2864,-80.3454
114,Martinsburg Manor,1700 Morgantown Street,Shinnston,Harrison,WV,25114,(304) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,WV-ALF-25114,West Virginia Department of Health and Human Resources,2024-10-08,87,False,False,False,https://www.harrison-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.296400000000006,-80.33539999999999
115,Mountain View Manor,1000 Main Street,Ripley,Jackson,WV,25115,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25115,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.jackson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.8264,-81.5454
116,Appalachian Village,1100 Mountain Avenue,Ravenswood,Jackson,WV,25116,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25116,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.jackson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.8364,-81.5354
117,Coal Country Commons,1200 Appalachian Boulevard,Cottageville,Jackson,WV,25117,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25117,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.jackson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.846399999999996,-81.52539999999999
118,Mountaineer Village,1300 Coal Street,Millwood,Jackson,WV,25118,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25118,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.jackson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.856399999999994,-81.5154
119,Charleston Manor,1400 Mountaineer Drive,Sandyville,Jackson,WV,25119,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25119,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.jackson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.8664,-81.5054
120,Huntington Commons,1500 Charleston Avenue,Ripley,Jackson,WV,25120,(304) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,WV-ALF-25120,West Virginia Department of Health and Human Resources,2024-08-06,85,False,False,False,https://www.jackson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.8764,-81.49539999999999
121,Morgantown Village,1600 Huntington Boulevard,Ravenswood,Jackson,WV,25121,(304) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,WV-ALF-25121,West Virginia Department of Health and Human Resources,2024-09-07,86,True,True,False,https://www.jackson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.886399999999995,-81.4854
122,Martinsburg Manor,1700 Morgantown Street,Cottageville,Jackson,WV,25122,(304) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,WV-ALF-25122,West Virginia Department of Health and Human Resources,2024-10-08,87,False,False,False,https://www.jackson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.8964,-81.4754
123,Mountain View Manor,1000 Main Street,Charles Town,Jefferson,WV,25123,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25123,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.jefferson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2764,-77.8554
124,Appalachian Village,1100 Mountain Avenue,Shepherdstown,Jefferson,WV,25124,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25124,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.jefferson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2864,-77.8454
125,Coal Country Commons,1200 Appalachian Boulevard,Harpers Ferry,Jefferson,WV,25125,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25125,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.jefferson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2964,-77.83539999999999
126,Mountaineer Village,1300 Coal Street,Ranson,Jefferson,WV,25126,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25126,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.jefferson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.3064,-77.8254
127,Charleston Manor,1400 Mountaineer Drive,Bolivar,Jefferson,WV,25127,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25127,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.jefferson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.3164,-77.8154
128,Huntington Commons,1500 Charleston Avenue,Charles Town,Jefferson,WV,25128,(304) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,WV-ALF-25128,West Virginia Department of Health and Human Resources,2024-08-06,85,False,False,False,https://www.jefferson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.3264,-77.80539999999999
129,Morgantown Village,1600 Huntington Boulevard,Shepherdstown,Jefferson,WV,25129,(304) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,WV-ALF-25129,West Virginia Department of Health and Human Resources,2024-09-07,86,True,True,False,https://www.jefferson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.3364,-77.7954
130,Martinsburg Manor,1700 Morgantown Street,Harpers Ferry,Jefferson,WV,25130,(304) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,WV-ALF-25130,West Virginia Department of Health and Human Resources,2024-10-08,87,False,False,False,https://www.jefferson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.3464,-77.7854
131,Parkersburg Commons,1800 Martinsburg Drive,Ranson,Jefferson,WV,25131,(304) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,28,WV-ALF-25131,West Virginia Department of Health and Human Resources,2024-11-09,88,False,True,True,https://www.jefferson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.3564,-77.8554
132,Wheeling Village,1900 Parkersburg Avenue,Bolivar,Jefferson,WV,25132,(304) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,29,WV-ALF-25132,West Virginia Department of Health and Human Resources,2024-03-10,89,True,False,False,https://www.jefferson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.3664,-77.8454
133,Bridgeport Manor,2000 Wheeling Boulevard,Charles Town,Jefferson,WV,25133,(304) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,30,WV-ALF-25133,West Virginia Department of Health and Human Resources,2024-04-11,90,False,True,False,https://www.jefferson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2764,-77.83539999999999
134,Clarksburg Commons,2100 Bridgeport Street,Shepherdstown,Jefferson,WV,25134,(304) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,31,WV-ALF-25134,West Virginia Department of Health and Human Resources,2024-05-12,91,False,False,False,https://www.jefferson-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.2864,-77.8254
135,Mountain View Manor,1000 Main Street,Charleston,Kanawha,WV,25135,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25135,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.3264,-81.3554
136,Appalachian Village,1100 Mountain Avenue,South Charleston,Kanawha,WV,25136,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25136,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.3364,-81.3454
137,Coal Country Commons,1200 Appalachian Boulevard,Nitro,Kanawha,WV,25137,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25137,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.346399999999996,-81.33539999999999
138,Mountaineer Village,1300 Coal Street,Dunbar,Kanawha,WV,25138,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25138,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.356399999999994,-81.3254
139,Charleston Manor,1400 Mountaineer Drive,St. Albans,Kanawha,WV,25139,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25139,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.3664,-81.3154
140,Huntington Commons,1500 Charleston Avenue,Charleston,Kanawha,WV,25140,(304) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,WV-ALF-25140,West Virginia Department of Health and Human Resources,2024-08-06,85,False,False,False,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.3764,-81.30539999999999
141,Morgantown Village,1600 Huntington Boulevard,South Charleston,Kanawha,WV,25141,(304) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,WV-ALF-25141,West Virginia Department of Health and Human Resources,2024-09-07,86,True,True,False,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.386399999999995,-81.2954
142,Martinsburg Manor,1700 Morgantown Street,Nitro,Kanawha,WV,25142,(304) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,WV-ALF-25142,West Virginia Department of Health and Human Resources,2024-10-08,87,False,False,False,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.3964,-81.2854
143,Parkersburg Commons,1800 Martinsburg Drive,Dunbar,Kanawha,WV,25143,(304) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,28,WV-ALF-25143,West Virginia Department of Health and Human Resources,2024-11-09,88,False,True,True,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.4064,-81.3554
144,Wheeling Village,1900 Parkersburg Avenue,St. Albans,Kanawha,WV,25144,(304) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,29,WV-ALF-25144,West Virginia Department of Health and Human Resources,2024-03-10,89,True,False,False,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.416399999999996,-81.3454
145,Bridgeport Manor,2000 Wheeling Boulevard,Charleston,Kanawha,WV,25145,(304) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,30,WV-ALF-25145,West Virginia Department of Health and Human Resources,2024-04-11,90,False,True,False,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.3264,-81.33539999999999
146,Clarksburg Commons,2100 Bridgeport Street,South Charleston,Kanawha,WV,25146,(304) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,31,WV-ALF-25146,West Virginia Department of Health and Human Resources,2024-05-12,91,False,False,False,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.3364,-81.3254
147,Lewisburg Village,2200 Clarksburg Drive,Nitro,Kanawha,WV,25147,(304) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,32,WV-ALF-25147,West Virginia Department of Health and Human Resources,2024-06-13,92,True,True,True,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.346399999999996,-81.3154
148,Beckley Manor,2300 Lewisburg Avenue,Dunbar,Kanawha,WV,25148,(304) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,33,WV-ALF-25148,West Virginia Department of Health and Human Resources,2024-07-14,93,False,False,False,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.356399999999994,-81.30539999999999
149,Fairmont Commons,2400 Beckley Boulevard,St. Albans,Kanawha,WV,25149,(304) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,34,WV-ALF-25149,West Virginia Department of Health and Human Resources,2024-08-15,94,False,True,False,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.3664,-81.2954
150,Keyser Village,2500 Fairmont Street,Charleston,Kanawha,WV,25150,(304) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,35,WV-ALF-25150,West Virginia Department of Health and Human Resources,2024-09-16,95,True,False,False,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.3764,-81.2854
151,Bluefield Manor,2600 Keyser Drive,South Charleston,Kanawha,WV,25151,(304) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,36,WV-ALF-25151,West Virginia Department of Health and Human Resources,2024-10-17,96,False,True,True,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.386399999999995,-81.3554
152,Hurricane Commons,2700 Bluefield Avenue,Nitro,Kanawha,WV,25152,(304) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,37,WV-ALF-25152,West Virginia Department of Health and Human Resources,2024-11-18,97,False,False,False,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.3964,-81.3454
153,Summersville Village,2800 Hurricane Boulevard,Dunbar,Kanawha,WV,25153,(304) 218-1018,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,38,WV-ALF-25153,West Virginia Department of Health and Human Resources,2024-03-19,98,True,True,False,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.4064,-81.33539999999999
154,Elkins Manor,2900 Summersville Street,St. Albans,Kanawha,WV,25154,(304) 219-1019,Senior Living,Assisted Living; Personal Care; Hospice Care,39,WV-ALF-25154,West Virginia Department of Health and Human Resources,2024-04-20,99,False,False,False,https://www.kanawha-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,38.416399999999996,-81.3254
