id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Sunflower Manor,1000 Main Street,Iola,Allen,KS,66001,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70001,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.allen-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.876400000000004,-95.47540000000001
184,Jayhawk Village,1300 Prairie Drive,Ottawa,Franklin,KS,66184,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70184,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.franklin-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.606399999999994,-95.2454
185,Wichita Commons,1400 Wheat Street,Ottawa,Franklin,KS,66185,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70185,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.franklin-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.6164,-95.2354
186,Sunflower Manor,1000 Main Street,Junction City,Geary,KS,66186,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70186,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.geary-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.976400000000005,-96.87540000000001
187,Prairie Village,1100 Kansas Avenue,Junction City,Geary,KS,66187,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70187,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.geary-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.9864,-96.86540000000001
188,Wheat Country Commons,1200 Sunflower Boulevard,Junction City,Geary,KS,66188,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70188,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.geary-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.9964,-96.8554
189,Jayhawk Village,1300 Prairie Drive,Junction City,Geary,KS,66189,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70189,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.geary-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.0064,-96.84540000000001
190,Wichita Commons,1400 Wheat Street,Junction City,Geary,KS,66190,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70190,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.geary-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.016400000000004,-96.8354
191,Sunflower Manor,1000 Main Street,Gove,Gove,KS,66191,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70191,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.gove-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.876400000000004,-100.47540000000001
192,Prairie Village,1100 Kansas Avenue,Gove,Gove,KS,66192,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70192,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.gove-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.8864,-100.4654
193,Wheat Country Commons,1200 Sunflower Boulevard,Gove,Gove,KS,66193,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70193,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.gove-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.8964,-100.4554
194,Jayhawk Village,1300 Prairie Drive,Gove,Gove,KS,66194,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70194,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.gove-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.9064,-100.4454
195,Wichita Commons,1400 Wheat Street,Gove,Gove,KS,66195,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70195,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.gove-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.9164,-100.4354
196,Sunflower Manor,1000 Main Street,Hill City,Graham,KS,66196,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70196,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.graham-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.3264,-99.87540000000001
197,Prairie Village,1100 Kansas Avenue,Hill City,Graham,KS,66197,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70197,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.graham-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.3364,-99.86540000000001
198,Wheat Country Commons,1200 Sunflower Boulevard,Hill City,Graham,KS,66198,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70198,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.graham-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.346399999999996,-99.8554
199,Jayhawk Village,1300 Prairie Drive,Hill City,Graham,KS,66199,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70199,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.graham-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.356399999999994,-99.84540000000001
200,Wichita Commons,1400 Wheat Street,Hill City,Graham,KS,66200,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70200,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.graham-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.3664,-99.8354
201,Sunflower Manor,1000 Main Street,Ulysses,Grant,KS,66201,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70201,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.grant-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.5264,-101.37540000000001
202,Prairie Village,1100 Kansas Avenue,Ulysses,Grant,KS,66202,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70202,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.grant-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.5364,-101.36540000000001
203,Wheat Country Commons,1200 Sunflower Boulevard,Ulysses,Grant,KS,66203,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70203,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.grant-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.5464,-101.3554
204,Jayhawk Village,1300 Prairie Drive,Ulysses,Grant,KS,66204,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70204,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.grant-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.5564,-101.34540000000001
205,Wichita Commons,1400 Wheat Street,Ulysses,Grant,KS,66205,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70205,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.grant-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.5664,-101.3354
206,Sunflower Manor,1000 Main Street,Cimarron,Gray,KS,66206,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70206,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.gray-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.6764,-100.47540000000001
207,Prairie Village,1100 Kansas Avenue,Cimarron,Gray,KS,66207,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70207,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.gray-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.6864,-100.4654
208,Wheat Country Commons,1200 Sunflower Boulevard,Cimarron,Gray,KS,66208,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70208,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.gray-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.6964,-100.4554
209,Jayhawk Village,1300 Prairie Drive,Cimarron,Gray,KS,66209,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70209,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.gray-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.706399999999995,-100.4454
210,Wichita Commons,1400 Wheat Street,Cimarron,Gray,KS,66210,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70210,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.gray-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.7164,-100.4354
211,Sunflower Manor,1000 Main Street,Tribune,Greeley,KS,66211,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70211,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.greeley-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.4264,-101.87540000000001
212,Prairie Village,1100 Kansas Avenue,Tribune,Greeley,KS,66212,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70212,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.greeley-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.4364,-101.86540000000001
213,Wheat Country Commons,1200 Sunflower Boulevard,Tribune,Greeley,KS,66213,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70213,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.greeley-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.4464,-101.8554
214,Jayhawk Village,1300 Prairie Drive,Tribune,Greeley,KS,66214,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70214,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.greeley-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.456399999999995,-101.84540000000001
215,Wichita Commons,1400 Wheat Street,Tribune,Greeley,KS,66215,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70215,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.greeley-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.4664,-101.8354
216,Sunflower Manor,1000 Main Street,Eureka,Greenwood,KS,66216,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70216,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.greenwood-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.7764,-96.0754
217,Prairie Village,1100 Kansas Avenue,Eureka,Greenwood,KS,66217,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70217,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.greenwood-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.7864,-96.0654
218,Wheat Country Commons,1200 Sunflower Boulevard,Eureka,Greenwood,KS,66218,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70218,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.greenwood-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.7964,-96.05539999999999
219,Jayhawk Village,1300 Prairie Drive,Eureka,Greenwood,KS,66219,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70219,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.greenwood-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.8064,-96.0454
220,Wichita Commons,1400 Wheat Street,Eureka,Greenwood,KS,66220,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70220,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.greenwood-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.8164,-96.0354
221,Sunflower Manor,1000 Main Street,Syracuse,Hamilton,KS,66221,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70221,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.hamilton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.9264,-101.7754
222,Prairie Village,1100 Kansas Avenue,Syracuse,Hamilton,KS,66222,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70222,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.hamilton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.9364,-101.7654
223,Wheat Country Commons,1200 Sunflower Boulevard,Syracuse,Hamilton,KS,66223,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70223,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.hamilton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.9464,-101.7554
224,Jayhawk Village,1300 Prairie Drive,Syracuse,Hamilton,KS,66224,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70224,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.hamilton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.956399999999995,-101.7454
225,Wichita Commons,1400 Wheat Street,Syracuse,Hamilton,KS,66225,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70225,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.hamilton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.9664,-101.7354
226,Sunflower Manor,1000 Main Street,Anthony,Harper,KS,66226,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70226,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.harper-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.226400000000005,-98.0754
227,Prairie Village,1100 Kansas Avenue,Anthony,Harper,KS,66227,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70227,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.harper-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.2364,-98.0654
228,Wheat Country Commons,1200 Sunflower Boulevard,Anthony,Harper,KS,66228,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70228,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.harper-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.2464,-98.05539999999999
229,Jayhawk Village,1300 Prairie Drive,Anthony,Harper,KS,66229,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70229,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.harper-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.2564,-98.0454
230,Wichita Commons,1400 Wheat Street,Anthony,Harper,KS,66230,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70230,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.harper-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.266400000000004,-98.0354
231,Sunflower Manor,1000 Main Street,Newton,Harvey,KS,66231,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70231,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.harvey-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.976400000000005,-97.37540000000001
232,Prairie Village,1100 Kansas Avenue,Newton,Harvey,KS,66232,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70232,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.harvey-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.9864,-97.36540000000001
233,Wheat Country Commons,1200 Sunflower Boulevard,Newton,Harvey,KS,66233,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70233,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.harvey-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.9964,-97.3554
234,Jayhawk Village,1300 Prairie Drive,Newton,Harvey,KS,66234,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70234,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.harvey-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.0064,-97.34540000000001
235,Wichita Commons,1400 Wheat Street,Newton,Harvey,KS,66235,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70235,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.harvey-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.016400000000004,-97.3354
236,Topeka Manor,1500 Jayhawk Avenue,Newton,Harvey,KS,66236,(321) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,KS-ACH-70236,Kansas Department for Aging and Disability Services,2024-08-06,80,False,False,False,https://www.harvey-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.0264,-97.3254
237,Overland Park Village,1600 Wichita Boulevard,Newton,Harvey,KS,66237,(322) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,KS-ACH-70237,Kansas Department for Aging and Disability Services,2024-09-07,81,True,True,False,https://www.harvey-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.0364,-97.31540000000001
238,Kansas City Commons,1700 Topeka Drive,Newton,Harvey,KS,66238,(323) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,KS-ACH-70238,Kansas Department for Aging and Disability Services,2024-10-08,82,False,False,False,https://www.harvey-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.046400000000006,-97.3054
239,Lawrence Manor,1800 Overland Park Street,Newton,Harvey,KS,66239,(324) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,KS-ACH-70239,Kansas Department for Aging and Disability Services,2024-11-09,83,False,True,True,https://www.harvey-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.056400000000004,-97.37540000000001
240,Manhattan Village,1900 Kansas City Avenue,Newton,Harvey,KS,66240,(325) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,KS-ACH-70240,Kansas Department for Aging and Disability Services,2024-03-10,84,True,False,False,https://www.harvey-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.0664,-97.36540000000001
241,Sunflower Manor,1000 Main Street,Sublette,Haskell,KS,66241,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70241,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.haskell-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.5264,-100.97540000000001
242,Prairie Village,1100 Kansas Avenue,Sublette,Haskell,KS,66242,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70242,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.haskell-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.5364,-100.9654
243,Wheat Country Commons,1200 Sunflower Boulevard,Sublette,Haskell,KS,66243,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70243,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.haskell-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.5464,-100.9554
244,Jayhawk Village,1300 Prairie Drive,Sublette,Haskell,KS,66244,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70244,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.haskell-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.5564,-100.9454
245,Wichita Commons,1400 Wheat Street,Sublette,Haskell,KS,66245,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70245,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.haskell-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.5664,-100.9354
246,Sunflower Manor,1000 Main Street,Jetmore,Hodgeman,KS,66246,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70246,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.hodgeman-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.0764,-99.87540000000001
247,Prairie Village,1100 Kansas Avenue,Jetmore,Hodgeman,KS,66247,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70247,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.hodgeman-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.0864,-99.86540000000001
248,Wheat Country Commons,1200 Sunflower Boulevard,Jetmore,Hodgeman,KS,66248,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70248,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.hodgeman-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.096399999999996,-99.8554
249,Jayhawk Village,1300 Prairie Drive,Jetmore,Hodgeman,KS,66249,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70249,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.hodgeman-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.106399999999994,-99.84540000000001
250,Wichita Commons,1400 Wheat Street,Jetmore,Hodgeman,KS,66250,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70250,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.hodgeman-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.1164,-99.8354
251,Sunflower Manor,1000 Main Street,Holton,Jackson,KS,66251,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70251,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.jackson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.3264,-95.7754
252,Prairie Village,1100 Kansas Avenue,Holton,Jackson,KS,66252,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70252,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.jackson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.3364,-95.7654
253,Wheat Country Commons,1200 Sunflower Boulevard,Holton,Jackson,KS,66253,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70253,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.jackson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.346399999999996,-95.7554
254,Jayhawk Village,1300 Prairie Drive,Holton,Jackson,KS,66254,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70254,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.jackson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.356399999999994,-95.7454
255,Wichita Commons,1400 Wheat Street,Holton,Jackson,KS,66255,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70255,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.jackson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.3664,-95.7354
256,Sunflower Manor,1000 Main Street,Oskaloosa,Jefferson,KS,66256,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70256,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.jefferson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.1764,-95.37540000000001
257,Prairie Village,1100 Kansas Avenue,Oskaloosa,Jefferson,KS,66257,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70257,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.jefferson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.1864,-95.36540000000001
258,Wheat Country Commons,1200 Sunflower Boulevard,Oskaloosa,Jefferson,KS,66258,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70258,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.jefferson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.1964,-95.3554
259,Jayhawk Village,1300 Prairie Drive,Oskaloosa,Jefferson,KS,66259,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70259,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.jefferson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.206399999999995,-95.34540000000001
260,Wichita Commons,1400 Wheat Street,Oskaloosa,Jefferson,KS,66260,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70260,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.jefferson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.2164,-95.3354
261,Sunflower Manor,1000 Main Street,Mankato,Jewell,KS,66261,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70261,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.jewell-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.726400000000005,-98.2754
262,Prairie Village,1100 Kansas Avenue,Mankato,Jewell,KS,66262,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70262,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.jewell-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.7364,-98.2654
