name,address,city,state,zip_code,county,phone,care_types,facility_type,description,license_number,operator_name,ownership_type,latitude,longitude,data_source,verification_status,last_updated
The Bristal at Armonk,90 Business Park Drive,Armonk,NY,10504,Westchester,(914) 432-8200,['Enriched Housing'],Senior Living Community,Enriched Housing Program,800-S-151,Armonk Senior Care LLC,LLC,41.121438,-73.707979,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202133
Loretto EHP #1 Bernardine Apartments,417 Churchill Avenue,Syracuse,NY,13205,Onondaga,(315) 469-7786,['Enriched Housing'],Senior Living Community,Enriched Housing Program,520-S-054,"Loretto Adult Community, Inc.",Not for Profit Corporation,43.008584,-76.139309,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202137
Greenfield Court,5951 Broadway,Lancaster,NY,14086,Erie,(716) 684-8400,['Enriched Housing'],Senior Living Community,Enriched Housing Program,240-S-105,Lutheran Church Home at Greenfield Inc.,Not for Profit Corporation,42.894888,-78.631851,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202141
Brightview Harrison,600 Lake Street,Harrison,NY,10604,Westchester,(914) 435-8388,['Enriched Housing'],Senior Living Community,Enriched Housing Program,810-S-006,"BV Harrison Operator, LLC",LLC,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202156
"Moffat Gardens ALP, Inc",22 Moffat Street,Brooklyn,NY,11207,Kings,(718) 366-3800,['Enriched Housing'],Senior Living Community,Enriched Housing Program,331-S-009,"Ridgewood Bushwick Senior Citizens Council, Inc",Not for Profit Corporation,40.683504,-73.910089,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202159
Clark Meadows at Ferris Hills,One Clark Meadows,Canandaigua,NY,14424,Ontario,(585) 393-4330,['Enriched Housing'],Senior Living Community,Enriched Housing Program,530-S-003,"FF Thompson Senior Communities, Inc.",Business Corporation,42.8649,-77.2909,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202163
The Bristal at Mount Sinai,400 Sutton Court,Mount Sinai,NY,11766,Suffolk,(631) 250-8989,['Enriched Housing'],Senior Living Community,Enriched Housing Program,700-S-315,"EB Care at Mount Sinai, LLC",LLC,40.9305,-72.9992,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202167
"Bristol Village, Inc.",8455 Clarence Center Road,Clarence Center,NY,14032,Erie,(716) 319-9500,['Enriched Housing'],Senior Living Community,Enriched Housing Program,240-S-107,"Bristol Village, Inc.",Not for Profit Corporation,43.012133,-78.67917,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202170
The Watermark at Brooklyn Heights,21 Clark Street,Brooklyn,NY,11201,Kings,(347) 343-4900,['Enriched Housing'],Senior Living Community,Enriched Housing Program,331-S-016,"Brooklyn Operating Company, LLC",LLC,40.698126,-73.995162,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202174
Sunrise at Sheepshead Bay,2211 Emmons Avenue,Brooklyn,NY,11235,Kings,(718) 616-1850,['Enriched Housing'],Senior Living Community,Enriched Housing Program,331-S-012,"GWC-Sheepshead Bay, Inc.",Business Corporation,40.584142,-73.9457,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202178
The New Jewish Home University Avenue Assisted Living,2553 University Avenue,Bronx,NY,10468,Bronx,(347) 418-4270,['Enriched Housing'],Senior Living Community,Enriched Housing Program,020-S-003,"Jewish Home Lifecare, University Avenue Assisted Living",Not for Profit Corporation,40.867719,-73.901978,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202181
A O Fox Memorial Adult Day Center,21 Ford Avenue,Oneonta,NY,13820,Otsego,,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,3801000N,Aurelia Osborn Fox Memorial Hospital Society Inc,Not for Profit Corporation,42.456699,-75.06176,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202185
Friends for the Day,101 Candy Apple Lane,Newark,NY,14513,Wayne,(315) 332-2316,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,5820000N,Newark-Wayne Community Hospital,Not for Profit Corporation,43.060822,-77.098625,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202188
Castle Senior Living at Forest Hills,108-25 Horace Harding,Forest Hills,NY,11368,Queens,(718) 760-4600,['Enriched Housing'],Senior Living Community,Enriched Housing Program,590-S-307,"Midway A.L., LLC",LLC,40.738472,-73.851472,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202192
NY Found-Sr Citizens EHP#5 Clinton Gardens,404-412 W. 54 St.- Clinton Gardens,New York,NY,10019,New York,(212) 489-9339,['Enriched Housing'],Senior Living Community,Enriched Housing Program,420-S-376,"New York Foundation for Senior Citizens, Inc.",Not for Profit Corporation,40.766074,-73.990123,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202195
Atria on the Hudson,321 North Highland Avenue,Ossining,NY,10562,Westchester,(914) 762-1980,['Enriched Housing'],Senior Living Community,Enriched Housing Program,800-S-147,"ATR New York LH, Inc.",Business Corporation,41.178938,-73.870363,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202199
The Baptist Home at Brookmeade,34 Brookmeade Drive,Rhinebeck,NY,12572,Dutchess,(845) 876-2071,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,1327301N,Baptist Home of Brooklyn NY Inc,Not for Profit Corporation,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202203
"The New Jewish Home Adult Day Health Care Program, Bronx",1200 Waters Place,Bronx,NY,10461,Bronx,(718) 484-5639,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,7002340N,"Jewish Home Lifecare, Manhattan",Not for Profit Corporation,40.853,-73.839428,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202211
RiverSpring Residences,5901 Palisade Avenue,New York,NY,10471,Bronx,(718) 581-1100,['Enriched Housing'],Senior Living Community,Enriched Housing Program,020-S-007,The Hebrew Home for the Aged at Riverdale,Not for Profit Corporation,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202214
Elderwood Village at Williamsville,5271 Main Street,Williamsville,NY,14221,Erie,(716) 565-9663,['Enriched Housing'],Senior Living Community,Enriched Housing Program,240-S-115,"5271 Main Street Operating Company, Llc",LLC,42.960489,-78.757226,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202234
Geneva General Hospital Adult Day Care Center,116 Lewis St,Geneva,NY,14456,Ontario,(315) 787-4710,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,3402302N,Geneva Nursing Home Inc,Not for Profit Corporation,42.870983,-76.98558,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202238
Cumberland Gardens NY Foundation EHP #6,425 Cumberland Street,Brooklyn,NY,11201,Kings,(718) 623-8181,['Enriched Housing'],Senior Living Community,Enriched Housing Program,331-S-003,"New York Foundation for Senior Citizens, Inc.",Not for Profit Corporation,40.682787,-73.971469,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202241
St Mary's Center ADHCP,512 126th Street,New York,NY,10027,New York,(212) 662-1826,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,7002349N,St Marys Center Inc,Not for Profit Corporation,40.814484,-73.956093,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202245
Bushwick Center for Rehabilitation and Health Care,59-25 67th Avenue,Ridgewood,NY,11385,Richmond,(718) 821-3723,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,7001364N,"Wartburg Receiver, LLC",LLC,40.704689,-73.900902,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202249
The Bristal at Massapequa,400 County Line Road,Massapequa,NY,11758,Nassau,(516) 691-0706,['Enriched Housing'],Senior Living Community,Enriched Housing Program,400-S-314,"EB CARE at Massapequa, LLC",LLC,40.6787,-73.4247,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202252
The Bristal at Holtsville,5535 Expressway Drive North,Holtsville,NY,11742,Suffolk,(631) 732-2300,['Enriched Housing'],Senior Living Community,Enriched Housing Program,700-S-309,EB Care at Farmingville LLC,LLC,40.823524,-73.026374,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202256
Atria Cutter Mill,96 Cutter Mill Road,Great Neck,NY,11021,Nassau,(516) 773-8730,['Enriched Housing'],Senior Living Community,Enriched Housing Program,400-S-328,"ATR New York LH, Inc.",Business Corporation,40.783942,-73.732257,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202259
Garden House,2720 North Forest Road,Getzville,NY,14068,Erie,(716) 639-3311,['Enriched Housing'],Senior Living Community,Enriched Housing Program,240-S-121,"Menorah Campus Adult Home, Inc.",Not for Profit Corporation,43.015818,-78.786379,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202263
Bishop's Commons at St. Luke,4 Burkle Street,Oswego,NY,13126,Oswego,(315) 349-0799,['Enriched Housing'],Senior Living Community,Enriched Housing Program,560-S-002,"Bishop's Commons, Inc.",Not for Profit Corporation,43.447041,-76.495129,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202266
Meadowview at the Wartburg,2 Wartburg Place,Mount Vernon,NY,10552,Westchester,(914) 699-0800,['Enriched Housing'],Senior Living Community,Enriched Housing Program,800-S-125,"Wartburg Senior Housing, Inc.",Not for Profit Corporation,40.917765,-73.813192,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202269
Inspir Carnegie Hill,1802 2nd Avenue,New York,NY,10128,New York,(646) 978-9040,['Enriched Housing'],Senior Living Community,Enriched Housing Program,420-S-397,"Inspir Carnegie Hill, LLC",LLC,40.782372,-73.948109,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202273
Assisted Living at Jennings Hall,260 Powers Street,Brooklyn,NY,11211,Kings,(718) 782-3390,['Enriched Housing'],Senior Living Community,Enriched Housing Program,331-S-007,St. Nicks Alliance Corp.,Not for Profit Corporation,40.712743,-73.940017,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202276
The Chelsea at Brookhaven,1 Meadow Lane,Yaphank,NY,11980,Suffolk,(631) 816-2339,['Enriched Housing'],Senior Living Community,Enriched Housing Program,700-S-319,"Brookhaven Senior Living, LLC",LLC,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202280
All American Assisted Living at Coram,463 Middle Country Road,Coram,NY,11727,Suffolk,(631) 448-3768,['Enriched Housing'],Senior Living Community,Enriched Housing Program,700-S-317,"GK Coram Operating, LLC",LLC,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202283
The Terraces at Brookmeade,54 Brookmeade Drive,Rhinebeck,NY,12572,Dutchess,(845) 876-5522,['Enriched Housing'],Senior Living Community,Enriched Housing Program,230-S-001,"Brookview, Inc.",Not for Profit Corporation,41.926896,-73.892458,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202287
Glenmere at Cloverwood,One Wheatley Terrace,Pittsford,NY,14534,Monroe,(585) 248-1200,['Enriched Housing'],Senior Living Community,Enriched Housing Program,370-S-845,"Cloverwood Senior Living, Inc.",Not for Profit Corporation,43.08423,-77.545065,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202291
Brookdale Lakewood,220 Southwestern Drive,Lakewood,NY,14750,Chautauqua,(716) 665-2414,['Enriched Housing'],Senior Living Community,Enriched Housing Program,060-S-001,"Painted Post Properties, Inc.",Business Corporation,42.094459,-79.297159,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202295
The Terrace at the Glen at Hiland Meadows,71 Longview Drive,Queensbury,NY,12804,Warren,(518) 832-7864,['Enriched Housing'],Senior Living Community,Enriched Housing Program,750-S-002,The Glen at Hiland Meadows Inc.,Not for Profit Corporation,43.352725,-73.641503,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202298
The Osborn,101 Theall Road,Rye,NY,10580,Westchester,(914) 925-8200,['Enriched Housing'],Senior Living Community,Enriched Housing Program,800-S-141,The Osborn,Not for Profit Corporation,40.971889,-73.700658,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202302
The Ambassador at Scarsdale,9 Saxon Woods Road,White Plains,NY,10605,Westchester,(914) 428-3782,['Enriched Housing'],Senior Living Community,Enriched Housing Program,800-S-153,"KARP Scarsdale, LLC",LLC,40.989063,-73.746672,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202306
Ateret Avot Assisted Living,1410 East 10th Street,Brooklyn,NY,11230,Kings,(718) 998-5400,['Enriched Housing'],Senior Living Community,Enriched Housing Program,331-S-018,Ateret Of Midwood Llc,LLC,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202310
"Glen Arden, Inc.",214 Harriman Drive,Goshen,NY,10924,Orange,(845) 291-7822,['Enriched Housing'],Senior Living Community,Enriched Housing Program,540-S-003,"Glen Arden, Inc.",Not for Profit Corporation,41.386551,-74.315868,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202313
"The Shores at Peconic Landing Assisted Living Residence, Inc.",1600 Brecknock Road,Greenport,NY,11944,Suffolk,(631) 477-3800,['Enriched Housing'],Senior Living Community,Enriched Housing Program,700-S-298,"The Shores at Peconic Landing Assisted Living Residence, Inc.",Not for Profit Corporation,41.119609,-72.361823,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202317
Elderwood Assisted Living at Waverly,44 Ball Street,Waverly,NY,14892,Tioga,(607) 565-6216,['Enriched Housing'],Senior Living Community,Enriched Housing Program,720-S-004,"44 Ball Street Operating Company, LLC",LLC,42.012609,-76.528607,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202321
The Bristal at Westbury,117 Post Ave.,Westbury,NY,11590,Nassau,(516) 333-9828,['Enriched Housing'],Senior Living Community,Enriched Housing Program,400-S-300,Westbury Senior Living Inc.,Business Corporation,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202325
Friedwald Center Adult Health Care at Summit,50 Sanatorium Road,Pomona,NY,10970,Rockland,(845) 678-2000,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,4350305N,"Friedwald Center for Rehabilitation and Nursing, LLC",LLC,41.159513,-74.038291,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202329
Peregrine Delmar Place,467 Delaware Ave,Delmar,NY,12054,Albany,(518) 434-4663,['Enriched Housing'],Senior Living Community,Enriched Housing Program,000-S-013,PSL of Delmar Place LLC,LLC,42.618927,-73.842097,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202333
The Lodge at Ives Hill,1200 Jewell Drive,Watertown,NY,13601,Jefferson,(315) 681-4038,['Enriched Housing'],Senior Living Community,Enriched Housing Program,330-S-038,"The Lodge at Ives Hill, Inc.",Not for Profit Corporation,43.962459,-75.935333,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202338
Sherburne Adult Day Health Care Program,38 Main Street,Sherburne,NY,13460,Chenango,(607) 234-4051,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,2623300N,Crouse Community Center Inc,Not for Profit Corporation,42.679839,-75.500144,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202344
The Hearth at Greenpoint Senior Living,150 Old Liverpool Road,Liverpool,NY,13088,Onondaga,(315) 453-7911,['Enriched Housing'],Senior Living Community,Enriched Housing Program,520-S-129,"Hearth Management, L.L.C.",LLC,43.083122,-76.180158,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202350
Maplewood Commons,1015 Saw Mill River Road,Ardsley,NY,10502,Westchester,(914) 400-1103,['Enriched Housing'],Senior Living Community,Enriched Housing Program,800-S-149,"ATR New York LH, Inc.",Business Corporation,41.022796,-73.842498,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202354
Dr. Susan Smith McKinney - Neponsit ADHCP,230 Beach 102nd Street,Rockaway Park,NY,11694,Queens,(718) 634-1400,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,7001380N,New York City Health and Hospital Corporation,Municipality,40.583904,-73.822968,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202362
Terrace at Beverwyck,41 Beverwyck Lane,Slingerlands,NY,12159,Albany,(518) 459-4062,['Enriched Housing'],Senior Living Community,Enriched Housing Program,000-S-005,"Beverwyck, Inc.",Not for Profit Corporation,42.660286,-73.835365,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202366
"Rebekah Rehab Assisted Living Program, Inc.",1050 Havemeyer Avenue,Bronx,NY,10462,Bronx,(718) 863-6200,['Enriched Housing'],Senior Living Community,Enriched Housing Program,020-S-005,"Rebekah Rehab Assisted Living Program, Inc.",Not for Profit Corporation,40.829869,-73.847294,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202391
Quail Summit,5102 Parrish Street Ext.,Canandaigua,NY,14424,Ontario,(585) 396-1010,['Enriched Housing'],Senior Living Community,Enriched Housing Program,530-S-001,"Quail Summit, Inc.",Not for Profit Corporation,42.874196,-77.297697,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202395
The Knolls,55 Grasslands Road,Valhalla,NY,10595,Westchester,(914) 989-7878,['Enriched Housing'],Senior Living Community,Enriched Housing Program,800-S-155,The Bethel Methodist Home,Not for Profit Corporation,41.076408,-73.816574,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202399
Bethel Nursing Home Company Inc,51 Grasslands Road,Valhalla,NY,10595,Westchester,,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,5905303N,Bethel Nursing Home Company Inc,Not for Profit Corporation,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202403
Middle Island Adult Day Health Services East,45 Rocky Point Road,Middle Island,NY,11953,Suffolk,(516) 361-8800,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,5157320N,Nesconset Operating LLC,LLC,40.899822,-72.946953,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202407
Atria Park of Great Neck,51 Great Neck Road,Great Neck,NY,11021,Nassau,(516) 829-4100,['Enriched Housing'],Senior Living Community,Enriched Housing Program,400-S-326,"ATR New York LH, Inc.",Business Corporation,40.786019,-73.728476,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202410
Gurwin Jewish Fay J. Lindner Residence,50 Hauppauge Road,Commack,NY,11725,Suffolk,(631) 715-8500,['Enriched Housing'],Senior Living Community,Enriched Housing Program,700-S-289,"Gurwin Jewish - Fay J. Lindner Residences, Inc.",Not for Profit Corporation,40.829629,-73.297862,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202415
Parkwood Heights Senior Living Community,1340 Parkwood Drive,Macedon,NY,14502,Wayne,(315) 986-9100,['Enriched Housing'],Senior Living Community,Enriched Housing Program,770-S-039,Parkwood Heights LLC,LLC,43.061363,-77.313689,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202419
Geneva Adult Day Care at Waterloo,369 East Main Street,Waterloo,NY,13165,Seneca,(315) 787-4991,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,3402302N,Geneva Nursing Home Inc,Not for Profit Corporation,42.901783,-76.846703,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202422
Brandywine Senior Living at Huntington Terrace,70 Pinelawn Road,Melville,NY,11747,Suffolk,(631) 531-0000,['Enriched Housing'],Senior Living Community,Enriched Housing Program,700-S-321,"GWC-Huntington Terrace, Inc",Not for Profit Corporation,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202426
Elderwood Assisted Living at Hamburg,76 Buffalo Street,Hamburg,NY,14075,Erie,(716) 649-7676,['Enriched Housing'],Senior Living Community,Enriched Housing Program,240-S-117,"76 Buffalo Street Operating Company, Llc",LLC,42.718304,-78.829423,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202442
Sunrise/Parkshore Adult Day Health Care Center,9517 Avenue J & 95th Street,Brooklyn,NY,11236,Kings,,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,7001808N,"FSNR SNF, LLC",LLC,40.640915,-73.900511,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202445
VillageCare at 46 and Ten,510 West 46th Street,New York,NY,10036,New York,(212) 977-4600,['Enriched Housing'],Senior Living Community,Enriched Housing Program,420-S-379,Village Housing Development Fund Corporation,Not for Profit Corporation,40.762227,-73.994309,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202449
Seabury Woods,110 Dalaker Drive,Rochester,NY,14624,Monroe,(585) 426-4950,['Enriched Housing'],Senior Living Community,Enriched Housing Program,370-S-841,"CH Services, Inc.",Not for Profit Corporation,43.13963,-77.741368,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202454
The Bristal at West Babylon,520 Montauk Highway (Unit A),West Babylon,NY,11704,Suffolk,(631) 635-5501,['Enriched Housing'],Senior Living Community,Enriched Housing Program,700-S-313,EB Care at West Babylon LLC,LLC,40.68791,-73.340597,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202460
Fort Tryon Center for Rehabilitation and Nursing,1916 Park Avenue,New York,NY,10037,New York,(212) 543-6400,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,7002359N,Fort Tryon Rehabilitation & Health Care Facility LLC,LLC,40.808659,-73.936847,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202467
The Landing of Brighton,1350 Westfall Road,Rochester,NY,14618,Monroe,(585) 271-1925,['Enriched Housing'],Senior Living Community,Enriched Housing Program,370-S-197,"Brighton Senior Care, LLC",LLC,43.116728,-77.582663,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202473
Vista on 5th,1261 Fifth Avenue,New York,NY,10029,New York,(212) 534-6464,['Enriched Housing'],Senior Living Community,Enriched Housing Program,420-S-395,Vista on 5th Corp.,Not for Profit Corporation,40.795262,-73.949974,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202477
Atria West 86,333 West 86th Street,New York,NY,10024,New York,(212) 712-0200,['Enriched Housing'],Senior Living Community,Enriched Housing Program,420-S-389,"ATR New York LH, Inc.",Business Corporation,40.789742,-73.979182,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202493
NY Found-Sr Citizens EHP#2 Brown Gardens,225 East 93rd Street,New York,NY,10128,New York,(212) 369-5523,['Enriched Housing'],Senior Living Community,Enriched Housing Program,420-S-272,"New York Foundation for Senior Citizens, Inc.",Not for Profit Corporation,40.782966,-73.949447,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202497
Peregrine's Landing Senior Community,575 Cayuga Creek Road,Cheektowaga,NY,14227,Erie,(716) 893-3000,['Enriched Housing'],Senior Living Community,Enriched Housing Program,240-S-109,"Peregrine's Landing, L.L.C",LLC,42.877798,-78.765619,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202501
Laurelwood at the Highlands,300 Hahnemann Trail,Pittsford,NY,14534,Monroe,(585) 389-1630,['Enriched Housing'],Senior Living Community,Enriched Housing Program,370-S-835,Highland Community Development Corp.,Not for Profit Corporation,43.085477,-77.498486,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202504
Fredonia Place,50 Howard Street,Fredonia,NY,14063,Chautauqua,(716) 679-2250,['Enriched Housing'],Senior Living Community,Enriched Housing Program,060-S-003,"Water/Howard Associates, LLC",LLC,42.431527,-79.326426,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202507
Northern Manor ADHCP,1 Prospect Park West,Brooklyn,NY,11215,Kings,,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,4350304N,Northern Manor Geriatric Center Inc,Not for Profit Corporation,40.672401,-73.970551,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202511
E.R.I.E.  EHP #1 Toomey Abbott Tower,1207 Almond Street,Syracuse,NY,13210,Onondaga,(315) 428-8562,['Enriched Housing'],Senior Living Community,Enriched Housing Program,520-S-118,Enriched Resources for the Independent Elderly Inc,Not for Profit Corporation,43.038662,-76.142011,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202515
Brookdale Hospital Medical Center ALP,558-578 Rockaway Parkway,Brooklyn,NY,11212,Kings,(718) 240-6225,['Enriched Housing'],Senior Living Community,Enriched Housing Program,331-S-001,Brookdale Hospital Medical Center,Not for Profit Corporation,40.655053,-73.913481,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202519
The Terrace at The Eddy Memorial,2256 Burdett Avenue,Troy,NY,12180,Rensselaer,(518) 274-9890,['Enriched Housing'],Senior Living Community,Enriched Housing Program,600-S-001,"The James A. Eddy Memorial Geriatric Center, Inc.",Not for Profit Corporation,42.735108,-73.670593,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202523
Palm Gardens NH ADHCP,2900 Bragg St,Brooklyn,NY,11245,Kings,,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,7001391N,"Palm Gardens Care Center, LLC",LLC,40.584465,-73.933128,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202526
The Bristal at Bethpage,1075 Stewart Ave,Bethpage,NY,11714,Nassau,(516) 595-7800,['Enriched Housing'],Senior Living Community,Enriched Housing Program,400-S-347,Engel Burman Senior Care at Bethpage LLC,LLC,,,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202530
The Glen at Maple Pointe,260 Maple Avenue,Rockville Center,NY,11570,Nassau,(516) 764-4848,['Enriched Housing'],Senior Living Community,Enriched Housing Program,400-S-316,"Maple Pointe Senior Care, Llc",LLC,40.658021,-73.631837,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202533
Atria Forest Hills,112-50 72nd Avenue,Forest Hills,NY,11375,Queens,(718) 261-5300,['Enriched Housing'],Senior Living Community,Enriched Housing Program,590-S-313,"ATR New York LH, Inc.",Business Corporation,40.722018,-73.836734,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202537
Woodlawn Commons,156 Lawrence Street,Saratoga Springs,NY,12866,Saratoga,(518) 587-4100,['Enriched Housing'],Senior Living Community,Enriched Housing Program,640-S-001,"Woodlawn Apartments, Inc.",Business Corporation,43.089687,-73.789571,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202540
Brookdale Manlius,100 Flume Road,Manlius,NY,13104,Onondaga,(315) 682-9261,['Enriched Housing'],Senior Living Community,Enriched Housing Program,520-S-137,"WW Manlius Operator, Inc.",Business Corporation,43.000305,-75.97873,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202546
Ken-Ton Enriched Housing,3735 Delaware Avenue,Kenmore,NY,14217,Erie,(716) 874-6070,['Enriched Housing'],Senior Living Community,Enriched Housing Program,240-S-131,Ken-Ton Enriched Housing LLC,Not for Profit Corporation,42.985495,-78.872452,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202552
Metro Interfaith EHP,110 Chenango Place,Binghamton,NY,13901,Broome,(607) 724-3774,['Enriched Housing'],Senior Living Community,Enriched Housing Program,030-S-041,Metro Interfaith Housing Management Corporation,Not for Profit Corporation,42.101831,-75.908618,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202558
River View Gardens NY Foundation EHP #8,4-12 49th Avenue,Long Island City,NY,11101,Queens,(718) 361-8442,['Enriched Housing'],Senior Living Community,Enriched Housing Program,590-S-303,"New York Foundation for Senior Citizens, Inc.",Not for Profit Corporation,40.744068,-73.958026,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202564
St. Francis Park,5229 South Park Avenue,Hamburg,NY,14075,Erie,(716) 649-1205,['Enriched Housing'],Senior Living Community,Enriched Housing Program,240-S-129,"St. Francis Geriatric and Healthcare Services, Inc.",Not for Profit Corporation,42.754333,-78.826332,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202569
St. Ann's Adult Day Services at Durand,4250 Culver Road,Rochester,NY,14621,Monroe,(585) 697-6086,['Senior Living'],Senior Living Community,Adult Day Health Care Program - Offsite,2757300N,St Anns Home for the Aged,Not for Profit Corporation,43.225882,-77.547233,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.202574
