id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Green Mountain Manor,1000 Main Street,Middlebury,Addison,VT,05001,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50001,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.addison-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.976400000000005,-73.2754
85,Connecticut River Commons,1900 Brattleboro Avenue,Killington,Rutland,VT,05085,(802) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,29,VT-RCF-50085,Vermont Department of Health,2024-03-10,94,True,False,False,https://www.rutland-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.650999999999996,-73.0027
86,Green Mountain Manor,1000 Main Street,Montpelier,Washington,VT,05086,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50086,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.washington-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.210100000000004,-72.62060000000001
87,Maple Valley Village,1100 Vermont Avenue,Barre,Washington,VT,05087,(802) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,VT-RCF-50087,Vermont Department of Health,2024-04-02,86,False,False,False,https://www.washington-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.2201,-72.6106
88,Champlain Commons,1200 Green Mountain Boulevard,Waterbury,Washington,VT,05088,(802) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,VT-RCF-50088,Vermont Department of Health,2024-05-03,87,False,True,False,https://www.washington-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.2301,-72.6006
89,Stowe Village,1300 Maple Valley Drive,Northfield,Washington,VT,05089,(802) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,VT-RCF-50089,Vermont Department of Health,2024-06-04,88,True,False,False,https://www.washington-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.2401,-72.59060000000001
90,Burlington Manor,1400 Champlain Street,Berlin,Washington,VT,05090,(802) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,VT-RCF-50090,Vermont Department of Health,2024-07-05,89,False,True,True,https://www.washington-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.2501,-72.5806
91,Montpelier Commons,1500 Stowe Avenue,Plainfield,Washington,VT,05091,(802) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,VT-RCF-50091,Vermont Department of Health,2024-08-06,90,False,False,False,https://www.washington-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.2601,-72.5706
92,Rutland Village,1600 Burlington Boulevard,Cabot,Washington,VT,05092,(802) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,VT-RCF-50092,Vermont Department of Health,2024-09-07,91,True,True,False,https://www.washington-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.2701,-72.56060000000001
93,Brattleboro Manor,1700 Montpelier Drive,Moretown,Washington,VT,05093,(802) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,VT-RCF-50093,Vermont Department of Health,2024-10-08,92,False,False,False,https://www.washington-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.280100000000004,-72.5506
94,White River Village,1800 Rutland Street,Montpelier,Washington,VT,05094,(802) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,28,VT-RCF-50094,Vermont Department of Health,2024-11-09,93,False,True,True,https://www.washington-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.2901,-72.62060000000001
95,Connecticut River Commons,1900 Brattleboro Avenue,Barre,Washington,VT,05095,(802) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,29,VT-RCF-50095,Vermont Department of Health,2024-03-10,94,True,False,False,https://www.washington-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.3001,-72.6106
96,Lake Champlain Manor,2000 White River Boulevard,Waterbury,Washington,VT,05096,(802) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,30,VT-RCF-50096,Vermont Department of Health,2024-04-11,95,False,True,False,https://www.washington-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.210100000000004,-72.6006
97,Ski Country Village,2100 Connecticut River Drive,Northfield,Washington,VT,05097,(802) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,31,VT-RCF-50097,Vermont Department of Health,2024-05-12,96,False,False,False,https://www.washington-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.2201,-72.59060000000001
98,Green Mountain Manor,1000 Main Street,Brattleboro,Windham,VT,05098,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50098,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.windham-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.9264,-72.7754
99,Maple Valley Village,1100 Vermont Avenue,Bellows Falls,Windham,VT,05099,(802) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,VT-RCF-50099,Vermont Department of Health,2024-04-02,86,False,False,False,https://www.windham-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.9364,-72.7654
100,Champlain Commons,1200 Green Mountain Boulevard,Wilmington,Windham,VT,05100,(802) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,VT-RCF-50100,Vermont Department of Health,2024-05-03,87,False,True,False,https://www.windham-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.9464,-72.7554
101,Stowe Village,1300 Maple Valley Drive,Putney,Windham,VT,05101,(802) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,VT-RCF-50101,Vermont Department of Health,2024-06-04,88,True,False,False,https://www.windham-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.956399999999995,-72.7454
102,Burlington Manor,1400 Champlain Street,Westminster,Windham,VT,05102,(802) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,VT-RCF-50102,Vermont Department of Health,2024-07-05,89,False,True,True,https://www.windham-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.9664,-72.7354
103,Montpelier Commons,1500 Stowe Avenue,Townshend,Windham,VT,05103,(802) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,VT-RCF-50103,Vermont Department of Health,2024-08-06,90,False,False,False,https://www.windham-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.9764,-72.7254
104,Rutland Village,1600 Burlington Boulevard,Newfane,Windham,VT,05104,(802) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,VT-RCF-50104,Vermont Department of Health,2024-09-07,91,True,True,False,https://www.windham-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.986399999999996,-72.7154
105,Brattleboro Manor,1700 Montpelier Drive,Dover,Windham,VT,05105,(802) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,VT-RCF-50105,Vermont Department of Health,2024-10-08,92,False,False,False,https://www.windham-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.9964,-72.7054
106,White River Village,1800 Rutland Street,Brattleboro,Windham,VT,05106,(802) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,28,VT-RCF-50106,Vermont Department of Health,2024-11-09,93,False,True,True,https://www.windham-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.0064,-72.7754
107,Connecticut River Commons,1900 Brattleboro Avenue,Bellows Falls,Windham,VT,05107,(802) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,29,VT-RCF-50107,Vermont Department of Health,2024-03-10,94,True,False,False,https://www.windham-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.0164,-72.7654
108,Green Mountain Manor,1000 Main Street,White River Junction,Windsor,VT,05108,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50108,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.windsor-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.4264,-72.47540000000001
109,Maple Valley Village,1100 Vermont Avenue,Windsor,Windsor,VT,05109,(802) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,VT-RCF-50109,Vermont Department of Health,2024-04-02,86,False,False,False,https://www.windsor-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.4364,-72.4654
110,Champlain Commons,1200 Green Mountain Boulevard,Woodstock,Windsor,VT,05110,(802) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,VT-RCF-50110,Vermont Department of Health,2024-05-03,87,False,True,False,https://www.windsor-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.4464,-72.4554
111,Stowe Village,1300 Maple Valley Drive,Springfield,Windsor,VT,05111,(802) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,VT-RCF-50111,Vermont Department of Health,2024-06-04,88,True,False,False,https://www.windsor-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.456399999999995,-72.4454
112,Burlington Manor,1400 Champlain Street,Ludlow,Windsor,VT,05112,(802) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,VT-RCF-50112,Vermont Department of Health,2024-07-05,89,False,True,True,https://www.windsor-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.4664,-72.4354
113,Montpelier Commons,1500 Stowe Avenue,Chester,Windsor,VT,05113,(802) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,VT-RCF-50113,Vermont Department of Health,2024-08-06,90,False,False,False,https://www.windsor-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.4764,-72.4254
114,Rutland Village,1600 Burlington Boulevard,Hartland,Windsor,VT,05114,(802) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,VT-RCF-50114,Vermont Department of Health,2024-09-07,91,True,True,False,https://www.windsor-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.486399999999996,-72.4154
115,Brattleboro Manor,1700 Montpelier Drive,Norwich,Windsor,VT,05115,(802) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,VT-RCF-50115,Vermont Department of Health,2024-10-08,92,False,False,False,https://www.windsor-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.4964,-72.4054
