id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Palmetto Manor,1000 Main Street,Abbeville,Abbeville,SC,29001,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50001,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.abbeville-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.1282,-82.41900000000001
77,Pee Dee Village,1600 Tiger Drive,Charleston,Charleston,SC,29077,(809) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,SC-ALF-50077,South Carolina Department of Health and Environmental Control,2024-09-07,81,True,True,False,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.7865,-79.9111
78,Coastal Manor,1700 Clemson Street,Charleston,Charleston,SC,29078,(810) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,SC-ALF-50078,South Carolina Department of Health and Environmental Control,2024-10-08,82,False,False,False,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.7965,-79.9011
79,Carolina Commons,1800 USC Avenue,Charleston,Charleston,SC,29079,(811) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,43,SC-ALF-50079,South Carolina Department of Health and Environmental Control,2024-11-09,83,False,True,True,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.8065,-79.9711
80,Gamecock Village,1900 Citadel Drive,Charleston,Charleston,SC,29080,(812) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,44,SC-ALF-50080,South Carolina Department of Health and Environmental Control,2024-03-10,84,True,False,False,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.8165,-79.9611
81,Tiger Manor,2000 Ashley Street,Charleston,Charleston,SC,29081,(813) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,45,SC-ALF-50081,South Carolina Department of Health and Environmental Control,2024-04-11,85,False,True,False,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.7265,-79.9511
82,Clemson Commons,2100 Cooper Avenue,Charleston,Charleston,SC,29082,(814) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,46,SC-ALF-50082,South Carolina Department of Health and Environmental Control,2024-05-12,86,False,False,False,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.7365,-79.9411
83,USC Village,2200 Congaree Drive,Charleston,Charleston,SC,29083,(815) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,47,SC-ALF-50083,South Carolina Department of Health and Environmental Control,2024-06-13,87,True,True,True,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.7465,-79.9311
84,Citadel Manor,2300 Santee Street,Charleston,Charleston,SC,29084,(816) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,48,SC-ALF-50084,South Carolina Department of Health and Environmental Control,2024-07-14,88,False,False,False,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.756499999999996,-79.9211
85,Ashley River Commons,2400 Edisto Avenue,Charleston,Charleston,SC,29085,(817) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,49,SC-ALF-50085,South Carolina Department of Health and Environmental Control,2024-08-15,89,False,True,False,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.7665,-79.9111
86,Cooper River Village,2500 Hilton Head Boulevard,Charleston,Charleston,SC,29086,(818) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,50,SC-ALF-50086,South Carolina Department of Health and Environmental Control,2024-09-16,90,True,False,False,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.7765,-79.9011
87,Congaree Manor,2600 Myrtle Beach Drive,Charleston,Charleston,SC,29087,(819) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,51,SC-ALF-50087,South Carolina Department of Health and Environmental Control,2024-10-17,91,False,True,True,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.7865,-79.9711
88,Santee Commons,2700 Grand Strand Avenue,Charleston,Charleston,SC,29088,(820) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,52,SC-ALF-50088,South Carolina Department of Health and Environmental Control,2024-11-18,92,False,False,False,https://www.charleston-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.7965,-79.9611
89,Palmetto Manor,1000 Main Street,Gaffney,Cherokee,SC,29089,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50089,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.cherokee-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,35.0857,-81.644
90,Magnolia Village,1100 Palmetto Avenue,Gaffney,Cherokee,SC,29090,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50090,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.cherokee-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,35.0957,-81.634
91,Azalea Commons,1200 Magnolia Drive,Gaffney,Cherokee,SC,29091,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50091,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.cherokee-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,35.1057,-81.624
92,Lowcountry Village,1300 Azalea Street,Gaffney,Cherokee,SC,29092,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50092,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.cherokee-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,35.1157,-81.614
93,Upstate Manor,1400 Carolina Avenue,Gaffney,Cherokee,SC,29093,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50093,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.cherokee-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,35.1257,-81.604
94,Midlands Commons,1500 Gamecock Boulevard,Gaffney,Cherokee,SC,29094,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50094,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.cherokee-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,35.1357,-81.594
95,Palmetto Manor,1000 Main Street,Chester,Chester,SC,29095,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50095,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.chester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.6548,-81.254
96,Magnolia Village,1100 Palmetto Avenue,Chester,Chester,SC,29096,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50096,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.chester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.6648,-81.244
97,Azalea Commons,1200 Magnolia Drive,Chester,Chester,SC,29097,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50097,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.chester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.6748,-81.234
98,Lowcountry Village,1300 Azalea Street,Chester,Chester,SC,29098,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50098,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.chester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.684799999999996,-81.224
99,Upstate Manor,1400 Carolina Avenue,Chester,Chester,SC,29099,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50099,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.chester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.6948,-81.214
100,Midlands Commons,1500 Gamecock Boulevard,Chester,Chester,SC,29100,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50100,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.chester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.7048,-81.204
101,Palmetto Manor,1000 Main Street,Chesterfield,Chesterfield,SC,29101,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50101,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.chesterfield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.686,-80.1251
102,Magnolia Village,1100 Palmetto Avenue,Chesterfield,Chesterfield,SC,29102,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50102,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.chesterfield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.696,-80.1151
103,Azalea Commons,1200 Magnolia Drive,Chesterfield,Chesterfield,SC,29103,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50103,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.chesterfield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.705999999999996,-80.1051
104,Lowcountry Village,1300 Azalea Street,Chesterfield,Chesterfield,SC,29104,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50104,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.chesterfield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.715999999999994,-80.0951
105,Upstate Manor,1400 Carolina Avenue,Chesterfield,Chesterfield,SC,29105,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50105,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.chesterfield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.726,-80.0851
106,Midlands Commons,1500 Gamecock Boulevard,Chesterfield,Chesterfield,SC,29106,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50106,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.chesterfield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.736,-80.07509999999999
107,Palmetto Manor,1000 Main Street,Manning,Clarendon,SC,29107,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50107,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.clarendon-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.617900000000006,-80.24980000000001
108,Magnolia Village,1100 Palmetto Avenue,Manning,Clarendon,SC,29108,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50108,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.clarendon-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.627900000000004,-80.2398
109,Azalea Commons,1200 Magnolia Drive,Manning,Clarendon,SC,29109,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50109,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.clarendon-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.6379,-80.2298
110,Lowcountry Village,1300 Azalea Street,Manning,Clarendon,SC,29110,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50110,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.clarendon-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.6479,-80.2198
111,Upstate Manor,1400 Carolina Avenue,Manning,Clarendon,SC,29111,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50111,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.clarendon-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.657900000000005,-80.2098
112,Midlands Commons,1500 Gamecock Boulevard,Manning,Clarendon,SC,29112,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50112,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.clarendon-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.6679,-80.1998
113,Palmetto Manor,1000 Main Street,Walterboro,Colleton,SC,29113,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50113,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.colleton-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.804,-80.73870000000001
114,Magnolia Village,1100 Palmetto Avenue,Walterboro,Colleton,SC,29114,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50114,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.colleton-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.814,-80.7287
115,Azalea Commons,1200 Magnolia Drive,Walterboro,Colleton,SC,29115,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50115,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.colleton-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.824,-80.7187
116,Lowcountry Village,1300 Azalea Street,Walterboro,Colleton,SC,29116,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50116,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.colleton-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.833999999999996,-80.70870000000001
117,Upstate Manor,1400 Carolina Avenue,Walterboro,Colleton,SC,29117,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50117,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.colleton-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.844,-80.6987
118,Midlands Commons,1500 Gamecock Boulevard,Walterboro,Colleton,SC,29118,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50118,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.colleton-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.854,-80.6887
119,Palmetto Manor,1000 Main Street,Darlington,Darlington,SC,29119,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50119,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.darlington-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.249900000000004,-79.9163
120,Magnolia Village,1100 Palmetto Avenue,Darlington,Darlington,SC,29120,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50120,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.darlington-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.2599,-79.9063
121,Azalea Commons,1200 Magnolia Drive,Darlington,Darlington,SC,29121,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50121,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.darlington-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.2699,-79.8963
122,Lowcountry Village,1300 Azalea Street,Darlington,Darlington,SC,29122,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50122,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.darlington-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.2799,-79.8863
123,Upstate Manor,1400 Carolina Avenue,Darlington,Darlington,SC,29123,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50123,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.darlington-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.2899,-79.8763
124,Midlands Commons,1500 Gamecock Boulevard,Darlington,Darlington,SC,29124,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50124,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.darlington-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.2999,-79.8663
125,Palmetto Manor,1000 Main Street,Dillon,Dillon,SC,29125,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50125,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.dillon-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.3671,-79.40140000000001
126,Magnolia Village,1100 Palmetto Avenue,Dillon,Dillon,SC,29126,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50126,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.dillon-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.3771,-79.3914
127,Azalea Commons,1200 Magnolia Drive,Dillon,Dillon,SC,29127,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50127,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.dillon-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.3871,-79.3814
128,Lowcountry Village,1300 Azalea Street,Dillon,Dillon,SC,29128,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50128,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.dillon-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.397099999999995,-79.37140000000001
129,Upstate Manor,1400 Carolina Avenue,Dillon,Dillon,SC,29129,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50129,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.dillon-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.4071,-79.3614
130,Midlands Commons,1500 Gamecock Boulevard,Dillon,Dillon,SC,29130,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50130,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.dillon-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.4171,-79.3514
131,Palmetto Manor,1000 Main Street,Summerville,Dorchester,SC,29131,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50131,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.dorchester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.951800000000006,-80.3845
132,Magnolia Village,1100 Palmetto Avenue,Summerville,Dorchester,SC,29132,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50132,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.dorchester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.961800000000004,-80.3745
133,Azalea Commons,1200 Magnolia Drive,Summerville,Dorchester,SC,29133,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50133,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.dorchester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.9718,-80.36449999999999
134,Lowcountry Village,1300 Azalea Street,Summerville,Dorchester,SC,29134,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50134,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.dorchester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.9818,-80.3545
135,Upstate Manor,1400 Carolina Avenue,Summerville,Dorchester,SC,29135,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50135,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.dorchester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,32.991800000000005,-80.3445
136,Midlands Commons,1500 Gamecock Boulevard,Summerville,Dorchester,SC,29136,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50136,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.dorchester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.0018,-80.33449999999999
137,Pee Dee Village,1600 Tiger Drive,Summerville,Dorchester,SC,29137,(809) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,SC-ALF-50137,South Carolina Department of Health and Environmental Control,2024-09-07,81,True,True,False,https://www.dorchester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.0118,-80.3245
138,Coastal Manor,1700 Clemson Street,Summerville,Dorchester,SC,29138,(810) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,SC-ALF-50138,South Carolina Department of Health and Environmental Control,2024-10-08,82,False,False,False,https://www.dorchester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.021800000000006,-80.3145
139,Carolina Commons,1800 USC Avenue,Summerville,Dorchester,SC,29139,(811) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,43,SC-ALF-50139,South Carolina Department of Health and Environmental Control,2024-11-09,83,False,True,True,https://www.dorchester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.031800000000004,-80.3845
140,Gamecock Village,1900 Citadel Drive,Summerville,Dorchester,SC,29140,(812) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,44,SC-ALF-50140,South Carolina Department of Health and Environmental Control,2024-03-10,84,True,False,False,https://www.dorchester-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.0418,-80.3745
141,Palmetto Manor,1000 Main Street,Edgefield,Edgefield,SC,29141,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50141,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.edgefield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.7379,-81.97040000000001
142,Magnolia Village,1100 Palmetto Avenue,Edgefield,Edgefield,SC,29142,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50142,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.edgefield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.7479,-81.9604
143,Azalea Commons,1200 Magnolia Drive,Edgefield,Edgefield,SC,29143,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50143,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.edgefield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.7579,-81.9504
144,Lowcountry Village,1300 Azalea Street,Edgefield,Edgefield,SC,29144,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50144,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.edgefield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.7679,-81.94040000000001
145,Upstate Manor,1400 Carolina Avenue,Edgefield,Edgefield,SC,29145,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50145,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.edgefield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.7779,-81.9304
146,Midlands Commons,1500 Gamecock Boulevard,Edgefield,Edgefield,SC,29146,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50146,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.edgefield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.7879,-81.9204
147,Palmetto Manor,1000 Main Street,Winnsboro,Fairfield,SC,29147,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50147,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.fairfield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.331500000000005,-81.1332
148,Magnolia Village,1100 Palmetto Avenue,Winnsboro,Fairfield,SC,29148,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50148,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.fairfield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.3415,-81.1232
149,Azalea Commons,1200 Magnolia Drive,Winnsboro,Fairfield,SC,29149,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50149,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.fairfield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.3515,-81.11319999999999
150,Lowcountry Village,1300 Azalea Street,Winnsboro,Fairfield,SC,29150,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50150,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.fairfield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.3615,-81.1032
151,Upstate Manor,1400 Carolina Avenue,Winnsboro,Fairfield,SC,29151,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50151,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.fairfield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.371500000000005,-81.0932
152,Midlands Commons,1500 Gamecock Boulevard,Winnsboro,Fairfield,SC,29152,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50152,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.fairfield-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.3815,-81.08319999999999
153,Palmetto Manor,1000 Main Street,Florence,Florence,SC,29153,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50153,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.florence-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.1454,-79.80260000000001
154,Magnolia Village,1100 Palmetto Avenue,Florence,Florence,SC,29154,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50154,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.florence-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.1554,-79.79260000000001
