id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Buckeye Manor,1000 Main Street,West Union,Adams,OH,43001,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40001,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
148,Lakeside Living,1700 Cedar Avenue,Cleveland,Cuyahoga,OH,43148,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40148,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.cuyahoga-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.5193,-81.6644
149,Meadowbrook,1800 First Street,Cleveland,Cuyahoga,OH,43149,(224) 408-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,OH-ALF-40149,Ohio Department of Health,2024-11-09,83,False,True,True,https://www.cuyahoga-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.5293,-81.73440000000001
150,Maple Ridge,1900 Second Street,Cleveland,Cuyahoga,OH,43150,(225) 409-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,OH-ALF-40150,Ohio Department of Health,2024-03-10,84,True,False,False,https://www.cuyahoga-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.5393,-81.7244
151,Cedar Grove,2000 Third Street,Cleveland,Cuyahoga,OH,43151,(226) 410-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,OH-ALF-40151,Ohio Department of Health,2024-04-11,85,False,True,False,https://www.cuyahoga-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.4493,-81.7144
152,Woodland Manor,2100 Fourth Street,Cleveland,Cuyahoga,OH,43152,(227) 411-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,OH-ALF-40152,Ohio Department of Health,2024-05-12,86,False,False,False,https://www.cuyahoga-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.4593,-81.7044
153,Golden Years,2200 Washington Street,Cleveland,Cuyahoga,OH,43153,(228) 412-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,42,OH-ALF-40153,Ohio Department of Health,2024-06-13,87,True,True,True,https://www.cuyahoga-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.4693,-81.6944
154,Autumn Ridge,2300 Jefferson Street,Cleveland,Cuyahoga,OH,43154,(229) 413-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,43,OH-ALF-40154,Ohio Department of Health,2024-07-14,88,False,False,False,https://www.cuyahoga-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.479299999999995,-81.6844
155,Hillcrest,2400 Lincoln Avenue,Cleveland,Cuyahoga,OH,43155,(230) 414-1014,Senior Living,Assisted Living; Memory Care; Independent Living,44,OH-ALF-40155,Ohio Department of Health,2024-08-15,89,False,True,False,https://www.cuyahoga-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.4893,-81.6744
156,Garden View,2500 Madison Street,Cleveland,Cuyahoga,OH,43156,(231) 415-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,45,OH-ALF-40156,Ohio Department of Health,2024-09-16,90,True,False,False,https://www.cuyahoga-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.4993,-81.6644
157,Evergreen Care,2600 Franklin Street,Cleveland,Cuyahoga,OH,43157,(232) 416-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,46,OH-ALF-40157,Ohio Department of Health,2024-10-17,91,False,True,True,https://www.cuyahoga-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.509299999999996,-81.73440000000001
158,Timber Ridge,2700 Jackson Street,Cleveland,Cuyahoga,OH,43158,(233) 417-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,47,OH-ALF-40158,Ohio Department of Health,2024-11-18,92,False,False,False,https://www.cuyahoga-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.5193,-81.7244
159,Buckeye Manor,1000 Main Street,Greenville,Darke,OH,43159,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40159,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.darke-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
160,Heartland Commons,1100 State Street,Greenville,Darke,OH,43160,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40160,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.darke-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
161,Ohio Valley Care,1200 High Street,Greenville,Darke,OH,43161,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40161,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.darke-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
162,River View Manor,1300 Broad Street,Greenville,Darke,OH,43162,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40162,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.darke-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
163,Prairie Village,1400 Oak Street,Greenville,Darke,OH,43163,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40163,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.darke-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
164,Heritage House,1500 Maple Avenue,Greenville,Darke,OH,43164,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40164,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.darke-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
165,Sunrise Manor,1600 Pine Street,Greenville,Darke,OH,43165,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40165,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.darke-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
166,Lakeside Living,1700 Cedar Avenue,Greenville,Darke,OH,43166,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40166,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.darke-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
167,Buckeye Manor,1000 Main Street,Defiance,Defiance,OH,43167,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40167,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.defiance-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
168,Heartland Commons,1100 State Street,Defiance,Defiance,OH,43168,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40168,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.defiance-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
169,Ohio Valley Care,1200 High Street,Defiance,Defiance,OH,43169,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40169,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.defiance-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
170,River View Manor,1300 Broad Street,Defiance,Defiance,OH,43170,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40170,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.defiance-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
171,Prairie Village,1400 Oak Street,Defiance,Defiance,OH,43171,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40171,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.defiance-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
172,Heritage House,1500 Maple Avenue,Defiance,Defiance,OH,43172,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40172,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.defiance-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
173,Sunrise Manor,1600 Pine Street,Defiance,Defiance,OH,43173,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40173,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.defiance-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
174,Lakeside Living,1700 Cedar Avenue,Defiance,Defiance,OH,43174,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40174,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.defiance-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
175,Buckeye Manor,1000 Main Street,Delaware,Delaware,OH,43175,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40175,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.delaware-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.248900000000006,-83.10820000000001
176,Heartland Commons,1100 State Street,Delaware,Delaware,OH,43176,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40176,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.delaware-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.258900000000004,-83.0982
177,Ohio Valley Care,1200 High Street,Delaware,Delaware,OH,43177,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40177,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.delaware-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.2689,-83.0882
178,River View Manor,1300 Broad Street,Delaware,Delaware,OH,43178,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40178,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.delaware-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.2789,-83.07820000000001
179,Prairie Village,1400 Oak Street,Delaware,Delaware,OH,43179,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40179,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.delaware-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.288900000000005,-83.0682
180,Heritage House,1500 Maple Avenue,Delaware,Delaware,OH,43180,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40180,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.delaware-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.2989,-83.0582
181,Sunrise Manor,1600 Pine Street,Delaware,Delaware,OH,43181,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40181,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.delaware-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.3089,-83.04820000000001
182,Lakeside Living,1700 Cedar Avenue,Delaware,Delaware,OH,43182,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40182,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.delaware-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.318900000000006,-83.0382
183,Meadowbrook,1800 First Street,Delaware,Delaware,OH,43183,(224) 408-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,OH-ALF-40183,Ohio Department of Health,2024-11-09,83,False,True,True,https://www.delaware-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.328900000000004,-83.10820000000001
184,Maple Ridge,1900 Second Street,Delaware,Delaware,OH,43184,(225) 409-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,OH-ALF-40184,Ohio Department of Health,2024-03-10,84,True,False,False,https://www.delaware-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.3389,-83.0982
185,Buckeye Manor,1000 Main Street,Sandusky,Erie,OH,43185,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40185,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.erie-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
186,Heartland Commons,1100 State Street,Sandusky,Erie,OH,43186,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40186,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.erie-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
187,Ohio Valley Care,1200 High Street,Sandusky,Erie,OH,43187,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40187,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.erie-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
188,River View Manor,1300 Broad Street,Sandusky,Erie,OH,43188,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40188,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.erie-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
189,Prairie Village,1400 Oak Street,Sandusky,Erie,OH,43189,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40189,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.erie-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
190,Heritage House,1500 Maple Avenue,Sandusky,Erie,OH,43190,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40190,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.erie-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
191,Sunrise Manor,1600 Pine Street,Sandusky,Erie,OH,43191,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40191,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.erie-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
192,Lakeside Living,1700 Cedar Avenue,Sandusky,Erie,OH,43192,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40192,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.erie-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
193,Buckeye Manor,1000 Main Street,Lancaster,Fairfield,OH,43193,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40193,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.fairfield-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.6862,-82.6393
194,Heartland Commons,1100 State Street,Lancaster,Fairfield,OH,43194,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40194,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.fairfield-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.6962,-82.6293
195,Ohio Valley Care,1200 High Street,Lancaster,Fairfield,OH,43195,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40195,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.fairfield-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.706199999999995,-82.6193
196,River View Manor,1300 Broad Street,Lancaster,Fairfield,OH,43196,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40196,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.fairfield-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.71619999999999,-82.6093
197,Prairie Village,1400 Oak Street,Lancaster,Fairfield,OH,43197,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40197,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.fairfield-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.7262,-82.5993
198,Heritage House,1500 Maple Avenue,Lancaster,Fairfield,OH,43198,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40198,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.fairfield-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.7362,-82.5893
199,Sunrise Manor,1600 Pine Street,Lancaster,Fairfield,OH,43199,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40199,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.fairfield-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.746199999999995,-82.5793
200,Lakeside Living,1700 Cedar Avenue,Lancaster,Fairfield,OH,43200,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40200,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.fairfield-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.7562,-82.5693
201,Meadowbrook,1800 First Street,Lancaster,Fairfield,OH,43201,(224) 408-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,OH-ALF-40201,Ohio Department of Health,2024-11-09,83,False,True,True,https://www.fairfield-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.7662,-82.6393
202,Maple Ridge,1900 Second Street,Lancaster,Fairfield,OH,43202,(225) 409-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,OH-ALF-40202,Ohio Department of Health,2024-03-10,84,True,False,False,https://www.fairfield-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.776199999999996,-82.6293
203,Buckeye Manor,1000 Main Street,Washington Court House,Fayette,OH,43203,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40203,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.fayette-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
204,Heartland Commons,1100 State Street,Washington Court House,Fayette,OH,43204,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40204,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.fayette-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
205,Ohio Valley Care,1200 High Street,Washington Court House,Fayette,OH,43205,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40205,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.fayette-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
206,River View Manor,1300 Broad Street,Washington Court House,Fayette,OH,43206,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40206,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.fayette-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
207,Prairie Village,1400 Oak Street,Washington Court House,Fayette,OH,43207,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40207,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.fayette-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
208,Heritage House,1500 Maple Avenue,Washington Court House,Fayette,OH,43208,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40208,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.fayette-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
209,Sunrise Manor,1600 Pine Street,Washington Court House,Fayette,OH,43209,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40209,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.fayette-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
210,Lakeside Living,1700 Cedar Avenue,Washington Court House,Fayette,OH,43210,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40210,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.fayette-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
211,Buckeye Manor,1000 Main Street,Columbus,Franklin,OH,43211,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40211,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.franklin-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
212,Heartland Commons,1100 State Street,Columbus,Franklin,OH,43212,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40212,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.franklin-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
213,Ohio Valley Care,1200 High Street,Columbus,Franklin,OH,43213,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40213,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.franklin-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
214,River View Manor,1300 Broad Street,Columbus,Franklin,OH,43214,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40214,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.franklin-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
215,Prairie Village,1400 Oak Street,Columbus,Franklin,OH,43215,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40215,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.franklin-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
216,Heritage House,1500 Maple Avenue,Columbus,Franklin,OH,43216,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40216,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.franklin-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
217,Sunrise Manor,1600 Pine Street,Columbus,Franklin,OH,43217,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40217,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.franklin-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
218,Lakeside Living,1700 Cedar Avenue,Columbus,Franklin,OH,43218,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40218,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.franklin-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
219,Meadowbrook,1800 First Street,Columbus,Franklin,OH,43219,(224) 408-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,OH-ALF-40219,Ohio Department of Health,2024-11-09,83,False,True,True,https://www.franklin-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9912,-83.03880000000001
220,Maple Ridge,1900 Second Street,Columbus,Franklin,OH,43220,(225) 409-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,OH-ALF-40220,Ohio Department of Health,2024-03-10,84,True,False,False,https://www.franklin-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.0012,-83.0288
221,Cedar Grove,2000 Third Street,Columbus,Franklin,OH,43221,(226) 410-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,OH-ALF-40221,Ohio Department of Health,2024-04-11,85,False,True,False,https://www.franklin-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.0188
222,Woodland Manor,2100 Fourth Street,Columbus,Franklin,OH,43222,(227) 411-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,OH-ALF-40222,Ohio Department of Health,2024-05-12,86,False,False,False,https://www.franklin-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.00880000000001
223,Golden Years,2200 Washington Street,Columbus,Franklin,OH,43223,(228) 412-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,42,OH-ALF-40223,Ohio Department of Health,2024-06-13,87,True,True,True,https://www.franklin-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-82.9988
224,Autumn Ridge,2300 Jefferson Street,Columbus,Franklin,OH,43224,(229) 413-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,43,OH-ALF-40224,Ohio Department of Health,2024-07-14,88,False,False,False,https://www.franklin-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-82.9888
225,Hillcrest,2400 Lincoln Avenue,Columbus,Franklin,OH,43225,(230) 414-1014,Senior Living,Assisted Living; Memory Care; Independent Living,44,OH-ALF-40225,Ohio Department of Health,2024-08-15,89,False,True,False,https://www.franklin-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9788
226,Buckeye Manor,1000 Main Street,Wauseon,Fulton,OH,43226,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40226,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.fulton-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
227,Heartland Commons,1100 State Street,Wauseon,Fulton,OH,43227,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40227,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.fulton-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
228,Ohio Valley Care,1200 High Street,Wauseon,Fulton,OH,43228,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40228,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.fulton-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
229,River View Manor,1300 Broad Street,Wauseon,Fulton,OH,43229,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40229,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.fulton-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
230,Prairie Village,1400 Oak Street,Wauseon,Fulton,OH,43230,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40230,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.fulton-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
231,Heritage House,1500 Maple Avenue,Wauseon,Fulton,OH,43231,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40231,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.fulton-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
232,Sunrise Manor,1600 Pine Street,Wauseon,Fulton,OH,43232,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40232,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.fulton-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
233,Lakeside Living,1700 Cedar Avenue,Wauseon,Fulton,OH,43233,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40233,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.fulton-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
234,Buckeye Manor,1000 Main Street,Gallipolis,Gallia,OH,43234,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40234,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.gallia-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
