id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Pine Tree Manor,1000 Main Street,Lewiston,Androscoggin,ME,04001,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40001,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.046400000000006,-70.25540000000001
80,Caribou Commons,2100 Waterville Drive,Hallowell,Kennebec,ME,04080,(207) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,36,ME-ALF-40080,Maine Department of Health and Human Services,2024-05-12,91,False,False,False,https://www.kennebec-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.3364,-69.72540000000001
81,Bar Harbor Village,2200 Presque Isle Street,Winthrop,Kennebec,ME,04081,(207) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,37,ME-ALF-40081,Maine Department of Health and Human Services,2024-06-13,92,True,True,True,https://www.kennebec-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.346399999999996,-69.7154
82,Camden Manor,2300 Caribou Avenue,Oakland,Kennebec,ME,04082,(207) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,38,ME-ALF-40082,Maine Department of Health and Human Services,2024-07-14,93,False,False,False,https://www.kennebec-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.356399999999994,-69.7054
83,Rockland Commons,2400 Bar Harbor Boulevard,Vassalboro,Kennebec,ME,04083,(207) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,39,ME-ALF-40083,Maine Department of Health and Human Services,2024-08-15,94,False,True,False,https://www.kennebec-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.3664,-69.6954
84,Pine Tree Manor,1000 Main Street,Rockland,Knox,ME,04084,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40084,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.knox-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0264,-69.1554
85,Lighthouse Village,1100 Maine Avenue,Thomaston,Knox,ME,04085,(207) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,ME-ALF-40085,Maine Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.knox-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0364,-69.1454
86,Acadia Commons,1200 Pine Tree Boulevard,Camden,Knox,ME,04086,(207) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,ME-ALF-40086,Maine Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.knox-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0464,-69.13539999999999
87,Downeast Village,1300 Lighthouse Drive,Rockport,Knox,ME,04087,(207) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,ME-ALF-40087,Maine Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.knox-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0564,-69.1254
88,Portland Manor,1400 Acadia Street,Owls Head,Knox,ME,04088,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,ME-ALF-40088,Maine Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.knox-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0664,-69.1154
89,Bangor Commons,1500 Downeast Avenue,Warren,Knox,ME,04089,(207) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,ME-ALF-40089,Maine Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.knox-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0764,-69.10539999999999
90,Augusta Village,1600 Portland Boulevard,Union,Knox,ME,04090,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,ME-ALF-40090,Maine Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.knox-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0864,-69.0954
91,Lewiston Manor,1700 Bangor Drive,Cushing,Knox,ME,04091,(207) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,ME-ALF-40091,Maine Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.knox-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0964,-69.08539999999999
92,Biddeford Commons,1800 Augusta Street,Rockland,Knox,ME,04092,(207) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,ME-ALF-40092,Maine Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.knox-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.1064,-69.1554
93,Waterville Village,1900 Lewiston Avenue,Thomaston,Knox,ME,04093,(207) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,ME-ALF-40093,Maine Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.knox-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.1164,-69.1454
94,Pine Tree Manor,1000 Main Street,Damariscotta,Lincoln,ME,04094,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40094,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.lincoln-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.976400000000005,-69.5254
95,Lighthouse Village,1100 Maine Avenue,Wiscasset,Lincoln,ME,04095,(207) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,ME-ALF-40095,Maine Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.lincoln-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.9864,-69.5154
96,Acadia Commons,1200 Pine Tree Boulevard,Waldoboro,Lincoln,ME,04096,(207) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,ME-ALF-40096,Maine Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.lincoln-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.9964,-69.5054
97,Downeast Village,1300 Lighthouse Drive,Boothbay Harbor,Lincoln,ME,04097,(207) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,ME-ALF-40097,Maine Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.lincoln-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0064,-69.4954
98,Portland Manor,1400 Acadia Street,Newcastle,Lincoln,ME,04098,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,ME-ALF-40098,Maine Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.lincoln-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.016400000000004,-69.4854
99,Bangor Commons,1500 Downeast Avenue,Edgecomb,Lincoln,ME,04099,(207) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,ME-ALF-40099,Maine Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.lincoln-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0264,-69.4754
100,Augusta Village,1600 Portland Boulevard,Dresden,Lincoln,ME,04100,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,ME-ALF-40100,Maine Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.lincoln-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0364,-69.4654
101,Lewiston Manor,1700 Bangor Drive,Alna,Lincoln,ME,04101,(207) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,ME-ALF-40101,Maine Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.lincoln-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.046400000000006,-69.4554
102,Pine Tree Manor,1000 Main Street,Norway,Oxford,ME,04102,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40102,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.oxford-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.226400000000005,-70.8554
103,Lighthouse Village,1100 Maine Avenue,South Paris,Oxford,ME,04103,(207) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,ME-ALF-40103,Maine Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.oxford-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.2364,-70.8454
104,Acadia Commons,1200 Pine Tree Boulevard,Rumford,Oxford,ME,04104,(207) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,ME-ALF-40104,Maine Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.oxford-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.2464,-70.83539999999999
105,Downeast Village,1300 Lighthouse Drive,Bethel,Oxford,ME,04105,(207) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,ME-ALF-40105,Maine Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.oxford-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.2564,-70.8254
106,Portland Manor,1400 Acadia Street,Dixfield,Oxford,ME,04106,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,ME-ALF-40106,Maine Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.oxford-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.266400000000004,-70.8154
107,Bangor Commons,1500 Downeast Avenue,Oxford,Oxford,ME,04107,(207) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,ME-ALF-40107,Maine Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.oxford-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.2764,-70.80539999999999
108,Augusta Village,1600 Portland Boulevard,Fryeburg,Oxford,ME,04108,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,ME-ALF-40108,Maine Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.oxford-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.2864,-70.7954
109,Lewiston Manor,1700 Bangor Drive,Lovell,Oxford,ME,04109,(207) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,ME-ALF-40109,Maine Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.oxford-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.296400000000006,-70.7854
110,Biddeford Commons,1800 Augusta Street,Norway,Oxford,ME,04110,(207) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,ME-ALF-40110,Maine Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.oxford-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.306400000000004,-70.8554
111,Waterville Village,1900 Lewiston Avenue,South Paris,Oxford,ME,04111,(207) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,ME-ALF-40111,Maine Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.oxford-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.3164,-70.8454
112,Pine Tree Manor,1000 Main Street,Bangor,Penobscot,ME,04112,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40112,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.126400000000004,-68.72540000000001
113,Lighthouse Village,1100 Maine Avenue,Brewer,Penobscot,ME,04113,(207) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,ME-ALF-40113,Maine Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.1364,-68.7154
114,Acadia Commons,1200 Pine Tree Boulevard,Orono,Penobscot,ME,04114,(207) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,ME-ALF-40114,Maine Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.1464,-68.7054
115,Downeast Village,1300 Lighthouse Drive,Old Town,Penobscot,ME,04115,(207) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,ME-ALF-40115,Maine Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.1564,-68.6954
116,Portland Manor,1400 Acadia Street,Millinocket,Penobscot,ME,04116,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,ME-ALF-40116,Maine Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.1664,-68.6854
117,Bangor Commons,1500 Downeast Avenue,Lincoln,Penobscot,ME,04117,(207) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,ME-ALF-40117,Maine Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.1764,-68.6754
118,Augusta Village,1600 Portland Boulevard,Dexter,Penobscot,ME,04118,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,ME-ALF-40118,Maine Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.1864,-68.6654
119,Lewiston Manor,1700 Bangor Drive,Newport,Penobscot,ME,04119,(207) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,ME-ALF-40119,Maine Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.196400000000004,-68.6554
120,Biddeford Commons,1800 Augusta Street,Bangor,Penobscot,ME,04120,(207) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,ME-ALF-40120,Maine Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.2064,-68.72540000000001
121,Waterville Village,1900 Lewiston Avenue,Brewer,Penobscot,ME,04121,(207) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,ME-ALF-40121,Maine Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.2164,-68.7154
122,Presque Isle Manor,2000 Biddeford Boulevard,Orono,Penobscot,ME,04122,(207) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,35,ME-ALF-40122,Maine Department of Health and Human Services,2024-04-11,90,False,True,False,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.126400000000004,-68.7054
123,Caribou Commons,2100 Waterville Drive,Old Town,Penobscot,ME,04123,(207) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,36,ME-ALF-40123,Maine Department of Health and Human Services,2024-05-12,91,False,False,False,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.1364,-68.6954
124,Bar Harbor Village,2200 Presque Isle Street,Millinocket,Penobscot,ME,04124,(207) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,37,ME-ALF-40124,Maine Department of Health and Human Services,2024-06-13,92,True,True,True,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.1464,-68.6854
125,Camden Manor,2300 Caribou Avenue,Lincoln,Penobscot,ME,04125,(207) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,38,ME-ALF-40125,Maine Department of Health and Human Services,2024-07-14,93,False,False,False,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.1564,-68.6754
126,Rockland Commons,2400 Bar Harbor Boulevard,Dexter,Penobscot,ME,04126,(207) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,39,ME-ALF-40126,Maine Department of Health and Human Services,2024-08-15,94,False,True,False,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.1664,-68.6654
127,Bath Village,2500 Camden Drive,Newport,Penobscot,ME,04127,(207) 215-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,40,ME-ALF-40127,Maine Department of Health and Human Services,2024-09-16,95,True,False,False,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.1764,-68.6554
128,Saco Manor,2600 Rockland Street,Bangor,Penobscot,ME,04128,(207) 216-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,41,ME-ALF-40128,Maine Department of Health and Human Services,2024-10-17,96,False,True,True,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.1864,-68.72540000000001
129,Westbrook Commons,2700 Bath Avenue,Brewer,Penobscot,ME,04129,(207) 217-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,42,ME-ALF-40129,Maine Department of Health and Human Services,2024-11-18,97,False,False,False,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.196400000000004,-68.7154
130,Gorham Village,2800 Saco Boulevard,Orono,Penobscot,ME,04130,(207) 218-1018,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,43,ME-ALF-40130,Maine Department of Health and Human Services,2024-03-19,98,True,True,False,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.2064,-68.7054
131,Scarborough Manor,2900 Westbrook Drive,Old Town,Penobscot,ME,04131,(207) 219-1019,Senior Living,Assisted Living; Personal Care; Hospice Care,44,ME-ALF-40131,Maine Department of Health and Human Services,2024-04-20,99,False,False,False,https://www.penobscot-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.2164,-68.6954
132,Pine Tree Manor,1000 Main Street,Dover-Foxcroft,Piscataquis,ME,04132,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40132,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.piscataquis-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.3264,-69.1554
133,Lighthouse Village,1100 Maine Avenue,Milo,Piscataquis,ME,04133,(207) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,ME-ALF-40133,Maine Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.piscataquis-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.3364,-69.1454
134,Acadia Commons,1200 Pine Tree Boulevard,Greenville,Piscataquis,ME,04134,(207) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,ME-ALF-40134,Maine Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.piscataquis-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.346399999999996,-69.13539999999999
135,Downeast Village,1300 Lighthouse Drive,Guilford,Piscataquis,ME,04135,(207) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,ME-ALF-40135,Maine Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.piscataquis-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.356399999999994,-69.1254
136,Portland Manor,1400 Acadia Street,Sangerville,Piscataquis,ME,04136,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,ME-ALF-40136,Maine Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.piscataquis-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.3664,-69.1154
137,Bangor Commons,1500 Downeast Avenue,Brownville,Piscataquis,ME,04137,(207) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,ME-ALF-40137,Maine Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.piscataquis-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.3764,-69.10539999999999
138,Augusta Village,1600 Portland Boulevard,Monson,Piscataquis,ME,04138,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,ME-ALF-40138,Maine Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.piscataquis-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.386399999999995,-69.0954
139,Lewiston Manor,1700 Bangor Drive,Sebec,Piscataquis,ME,04139,(207) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,ME-ALF-40139,Maine Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.piscataquis-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.3964,-69.08539999999999
140,Pine Tree Manor,1000 Main Street,Bath,Sagadahoc,ME,04140,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40140,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.sagadahoc-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.876400000000004,-69.8554
141,Lighthouse Village,1100 Maine Avenue,Topsham,Sagadahoc,ME,04141,(207) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,ME-ALF-40141,Maine Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.sagadahoc-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.8864,-69.8454
142,Acadia Commons,1200 Pine Tree Boulevard,Richmond,Sagadahoc,ME,04142,(207) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,ME-ALF-40142,Maine Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.sagadahoc-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.8964,-69.83539999999999
143,Downeast Village,1300 Lighthouse Drive,Bowdoinham,Sagadahoc,ME,04143,(207) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,ME-ALF-40143,Maine Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.sagadahoc-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.9064,-69.8254
144,Portland Manor,1400 Acadia Street,Phippsburg,Sagadahoc,ME,04144,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,ME-ALF-40144,Maine Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.sagadahoc-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.9164,-69.8154
145,Bangor Commons,1500 Downeast Avenue,West Bath,Sagadahoc,ME,04145,(207) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,ME-ALF-40145,Maine Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.sagadahoc-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.9264,-69.80539999999999
146,Augusta Village,1600 Portland Boulevard,Woolwich,Sagadahoc,ME,04146,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,ME-ALF-40146,Maine Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.sagadahoc-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.9364,-69.7954
147,Lewiston Manor,1700 Bangor Drive,Arrowsic,Sagadahoc,ME,04147,(207) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,ME-ALF-40147,Maine Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.sagadahoc-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.946400000000004,-69.7854
148,Pine Tree Manor,1000 Main Street,Skowhegan,Somerset,ME,04148,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40148,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.somerset-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.9264,-69.6554
149,Lighthouse Village,1100 Maine Avenue,Pittsfield,Somerset,ME,04149,(207) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,ME-ALF-40149,Maine Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.somerset-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.9364,-69.6454
150,Acadia Commons,1200 Pine Tree Boulevard,Fairfield,Somerset,ME,04150,(207) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,ME-ALF-40150,Maine Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.somerset-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.9464,-69.63539999999999
151,Downeast Village,1300 Lighthouse Drive,Madison,Somerset,ME,04151,(207) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,ME-ALF-40151,Maine Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.somerset-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.956399999999995,-69.6254
152,Portland Manor,1400 Acadia Street,Hartland,Somerset,ME,04152,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,ME-ALF-40152,Maine Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.somerset-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.9664,-69.6154
153,Bangor Commons,1500 Downeast Avenue,Palmyra,Somerset,ME,04153,(207) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,ME-ALF-40153,Maine Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.somerset-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.9764,-69.60539999999999
154,Augusta Village,1600 Portland Boulevard,Canaan,Somerset,ME,04154,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,ME-ALF-40154,Maine Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.somerset-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.986399999999996,-69.5954
155,Lewiston Manor,1700 Bangor Drive,Norridgewock,Somerset,ME,04155,(207) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,ME-ALF-40155,Maine Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.somerset-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.9964,-69.58539999999999
156,Biddeford Commons,1800 Augusta Street,Skowhegan,Somerset,ME,04156,(207) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,ME-ALF-40156,Maine Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.somerset-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.0064,-69.6554
157,Waterville Village,1900 Lewiston Avenue,Pittsfield,Somerset,ME,04157,(207) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,ME-ALF-40157,Maine Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.somerset-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,45.0164,-69.6454
158,Pine Tree Manor,1000 Main Street,Belfast,Waldo,ME,04158,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40158,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.waldo-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.376400000000004,-69.0554
159,Lighthouse Village,1100 Maine Avenue,Searsport,Waldo,ME,04159,(207) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,ME-ALF-40159,Maine Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.waldo-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.3864,-69.0454
160,Acadia Commons,1200 Pine Tree Boulevard,Unity,Waldo,ME,04160,(207) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,ME-ALF-40160,Maine Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.waldo-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.3964,-69.0354
